"PC1"	"PC2"	"PC3"	"PC4"
"St6galnac5"	0.0273959204874234	-0.000118021460523239	-0.00117750753205897	0.00111907716395452
"Abca2"	0.0273891790543788	-0.000917246117794824	6.71134712110594e-05	0.000136260933610274
"Fahd2a"	0.0273671939047452	0.000650785136288918	-0.00238466698240525	0.000596056635575546
"Ndufa4l2"	0.027349304031959	0.000911626682866121	-0.00280409908023243	-0.00193576573097206
"P2rx2"	0.0273478243907082	0.00133789947356197	-0.00223986355152455	0.00149855498739165
"Retsat"	0.0273424056706773	-0.00189451626973813	-0.000441649041102872	0.000166414563623427
"Shmt1"	0.0273422089431197	0.0010576714503889	0.00288330784023744	0.00123384231791232
"Scnn1g"	0.0273398924699627	-0.000767267714906648	0.0032404986583514	-0.00102521129170817
"Cnga2"	0.0273292088349265	0.000812147432448703	-0.00351608405346226	0.00153770085971233
"Kdm3b"	0.027326084589219	0.0012890340180848	0.00311414151999383	0.000938709151352039
"Suox"	0.0273075492802557	-0.00232036057811223	-0.00107417902750477	-0.000693639023587031
"Amt"	0.027301604425682	0.000181320812216323	0.00445182795164282	0.000161283555142068
"Mtap"	0.0272942131437313	-0.00100375988657291	-0.00425179992838316	-0.000690948941263728
"Slc9a1"	0.0272880646211135	-0.00147245949244142	0.00393511887599965	-0.000789895353166405
"Atp6v1d"	0.0272844872895289	-0.00262125569328275	-0.000896872073472947	-0.00458719042912557
"Slc6a2"	0.0272825950111099	-0.00054873217545849	-0.00476039032938193	-0.000296441729782614
"Car14"	0.0272751874310217	0.000142938893498489	0.00500280813644386	0.00094044537079215
"Ip6k2"	0.0272693751653042	0.00160124518209131	0.00422444344958225	-0.0013638938978498
"Slc22a14"	0.0272688539894257	0.00247636476197185	0.00250547076890279	0.000805945394687926
"Aldh1b1"	0.0272663937093973	0.00172098083415906	-0.00413858092391539	-0.000896828259803727
"Abhd1"	0.0272376291323573	0.00265421331485985	-0.00306505948075926	0.000367533510947295
"Sfxn2"	0.0272307506395233	0.00301056893535115	-0.00203362862161058	0.000590061663246611
