"PC1"	"PC2"	"PC3"	"PC4"	"PC5"
"Pnpla7"	0.0261160772280119	0.000650716105337051	0.000135961921665438	0.000146783987908735	-0.000639420533015836
"Hs6st2"	0.0261145208898946	0.000165114907219443	0.000369493025502421	0.00147379150542398	0.000158072765155592
"Gpx2"	0.0261129119048275	-1.13204249895435e-07	-0.000772253143351155	0.00110166678475677	-0.00262010025527614
"Slc39a3"	0.0260972811746757	0.000989630931142501	-0.00125700679301197	0.000804822653197233	-0.00267383593754498
"Cyp2u1"	0.0260763049233166	-0.000431637650264102	-0.00189292164551961	-0.00260969765765943	0.00109098413485249
"Dio1"	0.0260702663600006	-0.0021980933482488	0.000615364937361103	0.00131635665175942	0.00016467548840477
"Pde8a"	0.0260688900338201	0.00103395472263449	0.00044587989578014	-0.00454400865854526	-0.000715152112388668
"Prg3"	0.0260667304697319	-0.000673822468347733	0.00115242266829158	0.004461943325984	-0.000206698712090978
"Aspg"	0.0260523175554463	-0.000763856877049925	-0.00275570434974897	0.000792507704770003	-0.00275268785054039
"Dhrsx"	0.0260433341508354	0.00141217655445717	-0.000320401991441203	0.00547160464605585	-0.00223450880245469
"Tyw5"	0.026036894827264	-0.0020934553691372	-0.00039839505366963	0.00468447354419269	-0.000545622782673267
"Slc30a4"	0.0260271032960959	-0.00198230295039849	-0.000591263975962999	-0.00531942378190372	-0.000709615567272695
"Rhcg"	0.0260265322798106	-0.00194044551707309	0.00258606937136726	0.0017132331577869	0.00277088929254495
"Sds"	0.0260254220321833	0.00202476862572524	-7.98506360268485e-05	-0.00545926371436476	-0.00195524472808592
"Cybrd1"	0.0260219759929417	0.00247241436761083	0.00217908658767903	-0.00157318151826651	-0.00191193455625264
"Slc25a30"	0.0260211527834374	0.00260499436821528	-0.00131122624521098	-0.00352152149514489	0.0022876618921343
"Rdh5"	0.02602091463328	0.00298477911514478	-0.00110157263281156	0.00218712444517028	0.000496863297861383
"Kcnj2"	0.0260128241626377	0.00315047207756322	7.46945149721138e-05	0.00304444076474976	-0.0035506072386682
"Sucla2"	0.0259933394060442	-0.000154230259163675	-0.00378426211231649	-0.00236013620820035	0.000204208527606132
"Adad2"	0.0259857188467553	-0.00375825439546606	-1.75600674187892e-05	-0.00193933774019929	0.00301881907634728
"Aldh3a1"	0.0259824661394906	-0.00226642730280026	-0.00322359254940057	0.00195457554142869	0.00177358334699857
"Man1a2"	0.0259801951400137	-0.00117140910211779	0.00291436766117273	0.0055103043418826	-0.000246222741209943
"Chst13"	0.025979745938206	0.00293448294125248	0.000724012106140697	0.00549790663879951	-0.0029007536033094
"Nt5m"	0.0259692147801534	-0.00229306930926655	-0.00326427664615887	0.00299511496093983	-0.00138796533517946
