"PC1"	"PC2"	"PC3"	"PC4"	"PC5"
"Slc44a1.3"	0.0100549012180027	4.62043818436194e-05	-5.31749161552112e-05	0.000420786967355895	0.000110014912485752
"B3galt5.4"	0.0100540520723258	0.000265345272745988	-3.29813391066265e-05	8.08532615373081e-05	5.09189071885446e-05
"Cyp2d22.1"	0.0100539763308175	0.000109614585072742	0.000268299306756811	8.1338104874905e-05	-0.0002117579743006
"Atp2b3.3"	0.0100537612360995	-0.000208079267261453	0.000134811308665905	-0.000419399762328355	0.000102992537226928
"Atp9a.4"	0.0100537012023233	-2.62258457372498e-05	0.000317091334879888	5.69068025097893e-05	0.000218697719698841
"Gba2.1"	0.0100534158860752	-0.000266329414814094	-8.88850284595905e-05	-0.000402219638722742	0.000188802544947297
"Lipf.5"	0.0100530236247609	-0.000282546369556026	0.000200833009553281	-0.000203005424412165	2.69043143282507e-05
"Grin3a.1"	0.0100525088958786	-0.000381826644718969	-1.54378564093749e-05	2.51304998646977e-06	5.72597961369572e-05
"Ampd2"	0.0100515486332691	-0.000310433123346526	-0.000125363508238296	-0.000728841864046943	-0.000264488812347393
"Gcnt3.4"	0.0100514191547756	-0.000394446747223992	4.90496324210337e-05	0.000511882612050114	0.000132462443855682
"Kcnf1.4"	0.0100497579104509	0.000506278941608908	2.32210229437748e-05	0.000364655813990279	0.00014480543916645
"Fabp6.2"	0.0100494658524715	-2.99442797287493e-05	0.000109328865657045	0.00134881507018449	-3.53773786636534e-05
"Uprt.5"	0.0100493117819857	0.00042504349356215	0.000305383231491227	0.000485879585090402	-4.75927830481568e-05
"P2rx7"	0.010049064139713	-1.9501745258492e-05	-0.000590732067738099	0.000176750157141628	0.000114344412613741
"Slc9a6.2"	0.0100490327953029	0.000144934327423783	0.000286977835627431	0.00119272598540992	5.70091111454575e-05
"Lta4h.5"	0.0100485524142259	0.000276558429751051	-0.000235151202149815	0.00116820657432347	-8.46179696650657e-05
"Control-target.708"	0.0100479755275992	-0.000481806370429772	0.000371410160566375	0.000248431512632475	-0.000134492971038395
"Slc19a1.3"	0.0100474410740778	0.000563693147428951	3.77015669986683e-05	0.000668573741554804	0.000138270796549758
