"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"	"PC25"	"PC26"	"PC27"	"PC28"	"PC29"	"PC30"	"PC31"	"PC32"	"PC33"
"P7_1"	1.22015997953388	-3.44288413163967	4.31687033013789	-2.11110697826394	1.98544044561389	5.6025709225887	-1.47897703186398	-0.172854689647502	-4.06442731885776	4.87100292620182	4.08557296193532	4.97571141395	-3.66182585248236	-1.58477371898794	-3.31833850305248	-3.45181384841354	-3.82140014103756	1.40007057030994	3.11268623490597	0.714446372952083	1.66389466336218	-8.52006266895624	-1.7011533007863	-8.74487383475659	5.32101193987884	-2.82925709512376	0.861594096461991	-9.68019789491512	8.27277796538019	-1.79543463860787	3.69857725944403	0.563055988525687	9.58337142281662e-15
"P7_2"	1.38234940505266	-3.49906955356384	5.02778253096339	-2.46904362666798	2.22715896721407	6.4295054688369	-1.66571614949437	-0.184255682150781	-3.83110809587765	4.78000946304354	4.25401326412374	4.71730763212944	-3.78134485094227	-2.3105206333992	-3.98372788142654	-3.44194765511803	-3.4048503745145	1.01846121890156	3.17621842936946	0.685198006754442	1.30175238125052	-8.76008905443107	-2.48816724566524	-8.50580742901782	5.6577720076567	-2.9490283491733	0.601721382407443	-7.70112684229442	-3.03235424736171	8.17217038096759	-1.61384630429995	-3.15264788626986	7.32660460078804e-15
"P7_3"	1.92468923799899	-2.75170962652709	4.84539087084817	-1.83656466689824	2.27537773175098	6.1801464111312	-1.32212630229055	-0.549424468974642	-4.19731276477866	5.26345816596192	4.09457628031822	4.98158764218801	-3.55459304957205	-1.97262273188695	-3.83065849899457	-3.93255858519092	-4.06233443924295	1.42037410650319	3.52448072531198	0.157761622639669	1.09198967836984	-8.63753168646141	-2.74764214574398	-9.13801340039434	5.28009209014559	-2.9212924069987	0.313172148309987	-6.87163475301065	-6.52927683882179	-6.53684245706498	-2.41612629498701	2.54126942729023	6.90072998743574e-15
"P3_1"	-5.52149331960401	-2.71255624583473	3.43628713886864	-2.77754567551924	2.46392134946292	5.91265270302449	-0.740582134937846	0.187981541816734	-4.26915366501156	5.4351204652683	3.75192669102636	4.81758365946767	-3.06840243125075	-1.24891671337478	-3.05195563572345	-3.62218348547017	-3.1961492682469	1.38609954370267	2.76828201025985	-0.425009559905509	0.704372811027582	-7.45072084930307	-2.70176334459549	-7.62540938158738	5.09578198732979	-0.449629917071539	0.374636060810483	8.18115454826842	6.55852270096547	-1.30647531369123	-5.45454271158976	-0.867561671601608	-1.6152443965689e-15
"P3_2"	-4.91725720242611	-3.66223924101494	4.00524446030027	-2.98199292744314	2.57999615477103	6.41610751833858	-1.02304620749293	0.154558377337702	-4.3621864959999	5.48019788123687	3.9257123256713	4.86009822454139	-3.38944369385254	-1.69597544040137	-3.26042797207966	-3.98823960091814	-3.15256737561356	1.30982237003554	3.3065483724353	-0.16400528608455	0.659222702145685	-7.45486637958852	-2.73148357316396	-7.54083846871186	5.30287707813475	-0.810112162170424	0.232274558253933	8.65686394712499	-1.33189106152248	5.03163000558042	2.04180831149879	5.26408182048066	-2.56511391988345e-15
"P3_3"	-4.94424003170761	-3.17215621849947	4.04891665259821	-2.62484926680977	2.58413436892336	6.03667163951023	-0.626931269288384	-0.0321851735926114	-4.30369358793013	5.60862315217274	3.84203411943094	4.7117392215772	-3.55294603393493	-1.21401509560042	-3.24874770915016	-3.78441028868551	-3.46550584907188	1.18917427462351	3.04426779638285	-0.587991605843335	0.450482515363012	-7.47808762029614	-2.77192983362437	-7.69816111332622	5.10306433466563	-1.25985962798914	0.479545212279539	9.03650134147379	-3.4175363594366	-3.57421096551334	3.74090578092066	-4.41219955815217	3.58968497288226e-15
"B6_R1C1"	2.02250370630912	-1.98866757436191	6.23071254515281	0.175237669276873	-2.28738572982709	13.6011925353533	-17.9106397273212	-6.65888660301838	1.14346349374996	-8.14261633861691	-2.5919772201213	-2.3129598173651	-8.51294220515229	33.6087733030145	29.1710291857023	2.05797109366642	-18.525054261466	-5.35282464738072	7.57036001756688	9.54267299906474	0.151369816262346	3.71640972961518	-0.268303204337994	3.27358991115463	-1.34771124552509	0.570670376106167	0.118990256728051	0.031750320326998	-0.0626246188405301	0.0411111085210237	-0.041689958855638	-0.00196087802985791	1.44672685289948e-14
"B6_R1C2"	1.5495086873317	-1.64789746149238	4.70203008362325	-4.24321367029915	2.91735546436477	3.25761157824307	-10.3272247825188	-4.71909270423069	-16.4338910461944	3.1149107216035	3.89957265888909	-7.76172602737782	-8.81419024916784	-11.4533443369788	8.77397372245652	-5.93267395066535	21.6323102765229	-35.5494626933612	4.82055304670284	-9.44048843359531	-15.1997534317382	3.94556802949085	5.25489985742084	6.27849305502312	2.03278106856109	-0.0408926309710926	0.260863535799772	-0.281976639600862	0.0619203370926024	-0.099541005778875	-0.012405342067923	0.0131006368503392	1.35867879447193e-14
"B6_R1C3"	1.64554857724061	3.67047936318713	6.47725863795314	-6.11219895754219	4.35968233011258	19.299965845073	-18.10212554624	-4.24049685325865	11.7778199689636	-27.0769718459638	-12.2137549159289	12.4585906448934	34.2682208634677	-7.60468526791983	-11.7443037172145	-6.70502216122455	-1.29477984311976	-8.40386460537496	-3.51651344351523	0.197930177042972	-0.488455506565857	2.04485162756738	-0.812062023404069	-1.27136375125579	-1.92188805713419	1.35994387421843	-0.269000055585434	0.142117766085412	0.0485817451963322	-0.0709287995343713	0.0448150452281299	-0.0156119698224245	1.40033384193883e-14
"B6_R1C4"	-4.96863287233428	13.8076587262807	3.61507794609198	13.0357924443859	1.86348504689967	14.5414852168079	-12.4046716737464	15.6530385771025	22.9865907699376	20.9272414185553	-8.96038008677299	-35.1889659184025	5.78870414502049	-5.6610650282931	1.03545821977989	6.46715243141831	3.12017315547432	-0.311450681380071	1.10227914743809	-3.70761488751521	11.1414646617783	-2.31473852215711	2.6143264689107	-1.64935062996513	2.55489256694881	-2.6202795469131	-1.04319678568786	0.0745370304395474	0.0254530464620583	-0.0281549987607195	0.0213124622381446	0.0183484074744662	1.49906129176536e-14
