"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"	"PC25"	"PC26"	"PC27"	"PC28"	"PC29"	"PC30"	"PC31"	"PC32"	"PC33"
"V2241"	0.0611346087509665	0.0173468943049409	-0.00275709465351705	0.000797450573531714	0.00690658568476559	0.0128029628982622	-0.000679280236572024	0.00515148909054415	-0.00179046702321747	0.00862441139909339	0.000491722252759278	-0.000932965972656332	-0.000519904395040054	0.000882279834647039	-0.00098775819634291	-0.00375474012696946	0.00234163413108963	-0.00577178784252505	0.00494756980792883	0.000568598205370958	-0.00227567214591892	0.000929250816029203	-0.0046539486902788	0.00129866661634881	-0.000147712158248894	0.00957233804937806	0.00191815065336184	-0.000517600636984368	-0.0220235224224263	0.011269410726593	-0.0164995486362654	0.0129384856927268	0.0102351633659527
"V1288"	0.0599951947207725	0.00421405340570407	0.00323837644338757	0.00404262838002102	0.0107414676121744	0.00921580972907639	-0.00457425771392336	0.0125524665750116	-0.00444068354699397	0.00996704957835782	-0.000675554194877546	0.00136923721901107	-0.0021664187493805	0.00388084011649701	-0.00767278795596341	0.00384192613985277	0.00282999646068031	0.00254691183464306	0.0100302685311291	-0.00287028651953011	0.00641772225461397	0.0117781914061319	-0.00961874643050134	-0.0053590593415403	0.00174777312949445	-0.0164480318585779	0.00741193580509424	0.0200939093148863	-6.02262085529668e-05	0.0160899399842323	-0.0223309448872377	0.0384853133725256	-0.0150885623981021
"V891"	0.0582178837859837	0.0206570223502284	0.00392461672909762	-0.00301718399959486	0.00798463757781153	0.0185898536799172	-0.00364064749113941	-0.000207256277273757	-0.0062080065071388	0.00823848309317001	0.00168239874051785	-0.00194865299809151	-0.00233418251648888	0.00262222493929385	0.00116936921797244	-0.00155159053683802	0.000872023270002841	-0.00326205760845139	0.0140817980639795	0.00222954941174829	-0.0066179499785575	-0.00312051913223039	-0.000916039532466957	-0.0125951038435315	0.0043660817022895	-0.00197245271865073	-0.00115398979918026	0.00398444628766014	-0.0197101275351562	-0.0420586015616215	-0.0295985387782386	0.0121502363998838	-0.00732340325856389
"V1529"	0.0580254324627126	0.0246963838688663	0.00500529418801497	-7.72188713901434e-05	0.00689050399595546	0.0157227852196553	-0.00597641294723075	0.00580968475766433	-0.00179923897558538	0.00661612500475165	0.00403497100715245	0.00469351782251851	-0.00310577492149214	-0.00461884332140079	0.000838179615655154	-0.00570985385821676	0.00298646760724713	-0.00293149922883006	0.00430099571788187	0.000241046115334219	-0.00198508847350427	-0.00714068380003891	-0.0113831067455077	-0.00788600620617596	0.0052254392270345	-0.00133099958622397	0.000545625538736389	0.0188407835546084	-0.0299686810246245	-0.00727844035727592	0.00143255160262704	0.00171486204433739	0.0054591166054271
"V49"	0.0566057244999479	0.0146282220622608	-0.00362485677053013	0.00412715318537396	0.00210888124581375	0.0229254989249954	0.00454807042268507	-0.000232433340603895	0.000617048753871403	0.0102527653445104	0.00544251587324204	0.00127357362818547	-0.00689203628975221	0.00748992975134429	0.00114951911779928	-0.0160874883653078	0.00549157350793708	0.00359225176083946	-0.000647542210323079	0.00108225582583284	-0.0091299460482952	-0.00846611523832392	-0.00333345736292874	-0.00818265779303303	0.0134077583264914	0.0196266710810937	-0.00172939975146886	-0.0163093163470593	0.000193672281116689	-0.0449643709307067	-0.0365401583209116	-0.0305252657739701	-0.0117194976837579
"V2226"	0.0549634314228322	0.00705872518607436	-0.00134960840227188	0.00377769726884686	0.0138475331319741	-0.000945804755073593	-0.0119008997456079	0.00954349802501007	0.00837194619801422	0.0141505041822173	-0.00773633753748043	0.00114935240201279	-0.00346224076313858	0.0122731231050872	0.0176320604441833	-0.00709640371203698	-0.00876180209086694	-0.00827095349446786	0.014448460328084	0.00765230554916192	-0.0119882240849496	0.0141869556234615	-0.000229101212702684	-0.000243379711901129	-0.00219677775485467	0.0176603033083013	-0.00200641797383012	-0.0457931839721761	-0.00910339189154889	0.0121468030966283	-0.00647721981612079	0.0679391169506041	-0.0115806544135429
"V2242"	0.0542966873467148	0.0204485071911553	0.0067875025268288	-0.00508688896875161	0.0151922082780197	0.0118353941851991	-0.00115099939635282	0.00485539671028304	-0.0114067250527071	0.0118764591709401	0.00189657259691675	-0.00697380022974608	0.00144330106888346	-0.00874088907069331	-0.00376191961640386	-0.00269234065334312	0.0188281613233501	0.00794158043550211	0.00287023355733896	0.00579231728934543	-0.0108279403572386	-0.00371330293972193	0.00270703715417564	-0.0225594416547412	0.0027028874241259	0.016177734551397	-0.00397146029981991	0.0175078403398915	-0.0127596161331593	-0.000176997169326817	-0.0366396886182676	0.0566929047001108	-0.0323887322773123
"V345"	0.053481436852774	0.0271599141308092	-0.00441904209312213	0.00298365570479971	-0.00363694149338665	0.0102573760070733	0.00220276028665856	-0.00278641940835807	0.00753286705037266	0.00051539963723252	-0.00537901705864441	-0.0147783296721404	-0.000505605668638082	0.00750122791642528	-0.0101960717752961	-0.00221207433249045	0.0127897925245592	0.00418541546558688	-0.0125333203211712	-0.00505799734396655	-0.00724176894605247	0.0150207003600811	0.0102200546184876	0.0110150474229986	-0.0133223509761147	-0.00642322192437214	-0.0116191422886402	0.0535977776560729	0.00204214128685123	-0.0073347282320119	-0.00346115073581421	0.00831550333936736	-0.00033087632208336
"V2163"	0.0534082828259034	0.00835811088658155	-0.00563742110339407	0.00524915530881726	0.00661149708689103	0.0163790053323874	-0.00302379045284866	0.00227284269499309	0.00751737116229699	0.00133447456063853	-0.00315069873177276	0.0071014604151286	-0.0128937720560744	0.0109775211510651	-0.00784971674217723	0.00647842310568508	0.0206469480838842	0.00646663603375416	0.0210729214153842	0.00604637232521174	-0.00817694681741125	-0.00585538967291863	0.0169437586914118	-0.0164462595896077	0.00036962163182504	0.0292543658163828	-0.00902860412299004	0.00580009025237017	-0.0439317161404811	0.00519816668414395	0.00938043947048783	0.0450342887283601	-0.0224157290320005
"V383"	0.052708669851547	-0.00357945935411058	-0.00740289619026057	0.0271203453377875	0.00995940596370503	0.0126850116457358	0.00703173721314258	-0.0142956498514325	-0.0177873718643179	0.00487677196872084	0.00129707599063716	-0.000917281329291894	0.0137622274416575	-0.00412765170123952	-0.00493832743501339	-0.00863778081267174	0.016056464238927	0.00102098204334268	-0.00362158975083463	-0.0102541263445529	-0.00817617307918378	0.0108170020036876	0.00897986056957615	-0.00838607596240715	-0.0095455423883137	-0.00401420646004235	-0.0053860730162938	0.0202273313492973	-0.0416153758761624	0.00362289529939298	0.0137917260459718	-0.0107608763000004	-0.0152147603898563
