"GeneID"	"FR_2DB6"	"P7"	"P3"	"B6"	"FR_Nude"	"Nude"	"FR_3D"	"ThreeD"
"Cox8c"	5.59743031516352	5.63244789210867	5.42589597299833	3.48350432200266	5.47876035913684	4.32911818114226	5.679663025	5.623471971
"Ak2"	3.91469840515045	0.979195985480712	2.24466397394686	1.3050404487327	3.89718690018766	0.537392243673978	3.980001698	4.031601255
"Control-target"	5.48269953598722	5.04430466771793	4.89666477615381	3.49235679893827	5.04989299842158	2.42329357325728	5.488473941	4.266438671
"Abca6"	5.15393694296182	4.93518291812093	4.8393658505413	3.63226746388401	4.98277847811793	2.88682093787222	5.220430543	4.774191765
"Galnt3"	4.88231397395241	5.75384024504124	5.33318281805749	3.33489849083616	5.10014127158123	3.29156100500669	4.981437692	5.05477131
"Rdh10"	4.61700783694261	4.31689141567419	4.19240804099918	2.78933686109604	4.5283151269155	2.2533667676913	4.757700683	4.13666242
"Cyp8b1"	5.8144157663948	5.99699127644272	6.23808994072598	5.71433673061992	5.98163528199344	5.314770254886	5.947188659	5.659554411
"Slc26a7"	5.16036122162438	4.40501367485296	4.709933073254	2.47193807622158	5.00042105791358	3.15150256866618	5.260647602	4.37315026
"Ugt2b38"	5.95007733495419	5.4272131168858	5.62036900908326	3.29304907066062	5.69871248067732	4.49232872175253	5.851890601	6.967949584
"Ugt2b5"	5.6293329010451	5.4844162608993	5.62616570780547	4.52943939227626	5.55454650289132	3.88722647129894	5.570043303	5.423942757
"Gabrg3"	5.15185765094549	5.13167375743225	5.17078349049459	4.06450259386992	5.22570869533933	4.47935263356919	5.092355954	5.175987949
"Cyb5r2"	5.57909566358906	5.4204629843181	5.48173757399969	3.91521595461459	5.45211530691477	3.6306744076333	5.666313309	5.650757847
"Kcna2"	4.66805128244729	3.78651079956738	4.31009764882423	2.50738381222175	4.45650035687848	2.25452002286818	4.661969208	3.912659494
"Ugt2b37"	6.00888494135484	5.62604997526776	5.29123391555748	4.4903473888002	5.7058528808342	2.83342116478687	6.044212276	4.881330542
