	baseMean	log2FoldChange	lfcSE	pvalue	padj	HumanSymbol	F_13D_1	F_13D_2	F_13D_3	Tom3D1	Tom3D2	Tom3D3
ENSMUSG00000037411	11944.4512066352	2.61412540333551	0.27817069265917105	2.56035742616496e-22	3.74145030685486e-18	SERPINE1	356.81028266199996	461.915145134	543.639699456	67.4963189584	62.6144335841	72.05218275909999
ENSMUSG00000000792	42.1247480501042	-2.63179398184243	0.30521415561822696	2.67711190997668e-19	1.95603181702446e-15	SLC5A5	0.354263844801	0.392217143047	0.36123267831	2.68112742395	2.44509791805	2.81264495599
ENSMUSG00000038624	31.5087009520852	-2.06697265038568	0.271956861714974	1.9261963032558103e-15	7.840249122551009e-12	NEPNP	0.986637163199	1.19164191544	1.04262908421	4.96488378059	5.178870161590001	4.703379623469999
ENSMUSG00000072620	568.320397281281	2.22535673568139	0.294027242136281	2.4484786491251696e-15	7.840249122551009e-12	SLFN12L	6.20087226727	8.42711084272	7.53222235143	1.5827300599399998	1.18798493134	1.5554544770299998
ENSMUSG00000046731	1159.72395692854	2.04054438416684	0.270102066882595	2.68262818126018e-15	7.840249122551009e-12	KCTD11	28.407581691199997	31.105140961799997	24.794845694299998	7.3250316823800015	5.92692236462	5.871227116919999
ENSMUSG00000020439	1082.14160039001	1.88712728705724	0.252013908900126	3.7728237022923104e-15	9.188712126932927e-12	SMTNL2	10.7059553728	13.5130370985	16.8836697274	3.2757744418400003	3.28200252675	3.94363628779
ENSMUSG00000026712	898.5243447200819	2.24560289289078	0.3110774413942	3.17809940282532e-14	6.63450951049805e-11	MRC2	5.82457586889	6.80997081553	9.041346161369999	1.41002558405	1.32769422456	1.35190743785
ENSMUSG00000040035	442.820393644735	1.99743145506385	0.280842084086292	6.545360719910781e-14	1.1955919525007e-10	DISP2	8.78314547998	7.224666318610001	7.127350806719999	2.01030126539	1.88680472759	1.45596309636
ENSMUSG00000002565	422.456637197348	-2.08573654879457	0.301588660130989	2.69703476373512e-13	4.3790854447179206e-10	VIL1	2.5884264007700004	3.10790644769	2.66629518524	12.294034095	13.7537169133	14.043235078099999
ENSMUSG00000060568	249.49325773256402	1.94597768157872	0.283665798352157	3.5678328336626707e-13	5.21367411983125e-10	FAM78B	3.6023667623300004	3.35792922468	3.2562235218799995	1.0767389417	0.6857885498199999	0.6842797218000001
ENSMUSG00000001588	411.10171386919603	1.9218021566257304	0.29125504088485604	1.97741628355977e-12	2.6269076501508104e-09	ACAP2	6.94130605633	8.17288122093	8.858547973110003	1.70357759563	1.67128520736	2.49306491356
ENSMUSG00000004791	556.27170761308	2.37946794620738	0.374538072458255	9.302403251006053e-12	1.13280015589126e-08	PGF	15.1151316607	26.706362518899997	25.506223838	3.4896096391199998	3.27587849451	4.12737995239
ENSMUSG00000001473	2228.45685786637	1.2288276050358302	0.2010961112322	1.45747457485921e-11	1.6383135355705906e-08	TUBB6	30.5440104376	36.0179477339	26.9087711494	13.8076757876	13.622875336300002	10.7805783674
ENSMUSG00000036944	155.81010771379	1.13966367562601	0.186565382825695	1.69768289958134e-11	1.77201715797016e-08	TMEM71	4.76835356389	4.49556952496	6.008367979119999	2.2809456749200003	2.22385538504	2.14746408864
ENSMUSG00000020407	432.874761434424	1.4496427720116298	0.24215696830358	3.6940230677971597e-11	3.59871727264799e-08	UPP2	7.69530630028	8.945712781810002	8.86239257508	2.49865606957	2.71947448991	3.68516587141
ENSMUSG00000010651	148.499426974	1.7356995369274	0.286757400245389	4.41989075913344e-11	4.03674147895106e-08	ACAA1	12.4121174918	12.9187827721	9.70644397419	3.11860606246	2.94181818915	3.76142196804
ENSMUSG00000031538	1475.4655851105	1.24888789107727	0.211137837220994	4.8462138171872214e-11	4.16574838297393e-08	PLAT	11.6047137852	15.1644136856	18.0739081195	5.643048621469999	5.2561739779300005	7.158409225
ENSMUSG00000036006	445.0843248769661	1.47944248943802	0.249462287385903	5.46204578873922e-11	4.43427083949145e-08	RIPOR2	3.84532803084	3.80461524494	3.90409560258	1.3456592235799998	1.3051940703799998	1.25872596767
ENSMUSG00000037447	616.641229521971	0.906990088493884	0.15071214286776902	7.63811877176586e-11	5.874517347990231e-08	ARID5A	3.5906613621	4.21693437518	3.88178115884	2.00601833179	1.64047950607	2.44745664806
ENSMUSG00000027977	313.73751850063803	1.9799267328621104	0.34133264618340803	2.6492555127502097e-10	1.93567854039094e-07	NDST4	2.28872246893	2.15164745767	3.44026148855	0.530818032392	0.646841950132	0.5846305226290001
ENSMUSG00000037762	231.29568254084305	1.2702801584081005	0.23000841921583895	4.86618003186694e-10	3.386166133603411e-07	SLC16A9	8.779214459610001	7.51510997409	6.85695793901	3.42503459191	3.08671604991	2.55281869442
ENSMUSG00000030760	916.762163061075	-0.588972745286301	0.106039836677838	5.30476712431682e-10	3.52357099943826e-07	ACER3	6.74509534244	7.53924653854	7.234845030160002	11.6159275027	11.1280351489	10.8042085521
ENSMUSG00000020399	319.735444022289	1.2847253070383602	0.23380014895565	5.6850403591045e-10	3.61197803337365e-07	HAVCR2	11.0552192538	10.1293212334	12.166730808299999	4.63476410056	4.18228468453	4.08593273871
ENSMUSG00000024421	778.4252501815871	2.7578910459684103	0.521755457460594	1.2186559910647801e-09	7.420091665595659e-07	LAMA5	0.967867236127	2.0113193820200004	1.5091224587999998	0.144048242088	0.162084836434	0.133844050563
ENSMUSG00000048424	257.488993245556	-0.9908542785489428	0.181397270532293	1.28654952170811e-09	7.52013926428823e-07	RANBP3L	8.19723139965	8.334164413139996	11.2885631035	17.5595427797	19.2493807907	22.4223166244
ENSMUSG00000038187	478.92383812204804	-0.616792404670091	0.115170302665279	2.02838231002543e-09	1.1400288729385201e-06	BTBD10	6.78161847497	6.75314288212	6.75276987872	11.2647324738	9.955036096619999	11.2056310417
ENSMUSG00000005057	49.873891285868396	2.42699737342519	0.4553990705036871	2.62010887804798e-09	1.4180611494413e-06	SH2B2	1.53353716377	1.78272085243	2.0797261164700003	0.248968773474	0.318912444368	0.185891903793
ENSMUSG00000038365	496.80826685320295	-0.593872833964052	0.113416076893916	2.91545485899232e-09	1.52155506623053e-06	FBXO25	12.805646288499998	14.3882584906	14.854002865999998	22.8014019791	19.2369899768	24.168416176999997
ENSMUSG00000023067	1449.8495229032196	1.34250043729313	0.260316090953355	3.6406039672307996e-09	1.83448778528081e-06	CDKN1A	74.7450831017	92.0564869439	72.4877104846	28.638298885700003	27.3849438278	32.4612466358
ENSMUSG00000021636	132.813539910596	-1.31003988124133	0.25641679159791103	4.64238978165928e-09	2.26130806264623e-06	MARVELD2	1.2484725946200002	1.3427328882799998	2.02139245352	4.20268864006	4.18900078741	4.1509583169
ENSMUSG00000039497	751.066260784807	0.6806248247300071	0.12924935685259	5.11803410528308e-09	2.4125752380807004e-06	DSEL	6.56574642505	7.097441315810001	7.850037640519999	4.58032487044	4.0601647162	4.51210348296
ENSMUSG00000025743	585.152774276322	1.57009727831927	0.30637325957636	5.5503771274624786e-09	2.53461440511279e-06	SDC3	2.8762533348000003	2.81976924236	2.3182813542700003	0.926786634739	0.8917069735330001	0.638753438972
ENSMUSG00000071552	154.461853656586	2.55274654899603	0.500965060953234	5.9576648501808616e-09	2.63816231683918e-06	TIGIT	2.38104337204	1.63189083816	1.6474910936000002	0.0525933145568	0.38835981253	0.244338360217
ENSMUSG00000079092	1386.28061384586	2.27037855418076	0.442255232178308	8.12822756285371e-09	3.4934643934112197e-06	PRL	118.27593624200001	152.952670816	274.745874593	25.9605639533	24.4421506922	38.2535112584
ENSMUSG00000037613	1948.1507218554505	1.25067887486921	0.250626614081198	8.6674062056548e-09	3.61876591094953e-06	TNFRSF10D	38.8979666327	40.2350624906	41.386469970300006	17.098960242	17.6072388015	12.3333121194
ENSMUSG00000031910	539.445264499469	1.45219093780191	0.298829346079078	1.77513973280152e-08	7.205588032063499e-06	HAS3	5.706874904049998	4.86649824037	5.367164827930001	1.78190989157	1.8977867023	1.64175168077
ENSMUSG00000004105	911.920316955867	1.03615825612257	0.211630544070489	2.03215231213374e-08	8.02590317221903e-06	ANGPTL2	3.4974471623800003	4.2797322178	4.10118350459	1.99230982539	1.5312098480899998	1.95034737461
ENSMUSG00000033032	310.649348316292	-0.959416139895408	0.194370952385845	2.12272422214105e-08	8.16299185740716e-06	AFAP1L1	2.4253397861900003	2.6149727586	2.79470745268	5.25003141835	5.445108068380001	5.773132275009999
ENSMUSG00000028300	326.357387295919	0.7327701793171341	0.146896851060713	2.2785741861410097e-08	8.38817738500989e-06	C9orf72	7.13416046631	6.81818034781	8.18136450255	4.45186304584	3.85089208776	4.65356116614
ENSMUSG00000026204	1657.23846475449	1.09672681068332	0.22668204824635	2.29608632998286e-08	8.38817738500989e-06	PTPRN2	20.9220380324	23.1294618515	19.1360216203	8.878251681210001	9.24528326922	9.69924977217
ENSMUSG00000090362	21.0567948579113	1.96050562581714	0.404185975993915	3.083558596138721e-08	1.0990254089115899e-05		1.046597116	0.8749533895299999	0.8276128967849999	0.15852069457999998	0.250831991594	0.184114116502
ENSMUSG00000038463	323.847040054238	1.39843344781676	0.295925983298258	3.2133062679464605e-08	1.113586861891e-05	OLFML2B	1.67574238704	2.01150267611	2.49471139233	0.58911309501	0.638709830613	0.931308093989
ENSMUSG00000041842	1110.26198202607	0.977304373067388	0.202274683689523	3.2768244071246804e-08	1.113586861891e-05	FHDC1	23.5847846248	24.121904843699998	24.460017636	11.2563214258	12.1437156757	11.2786927577
ENSMUSG00000022707	326.590407438123	1.04436540583307	0.218472658435635	3.43543121450392e-08	1.14095355312604e-05	GBE1	12.135231953699998	10.699689854099999	16.0749509263	5.81888544802	6.038105087409999	5.81312957205
ENSMUSG00000051076	472.0764397975351	-1.51035052388443	0.319609926393237	3.5361941882072596e-08	1.1483201260505e-05	VTCN1	18.3299393496	16.8748727535	18.829783811	56.3401400888	59.7423961646	58.6538308961
ENSMUSG00000057963	1435.43317696246	1.11885176815613	0.238212465057007	4.26680488464544e-08	1.35545260389834e-05	ITPK1	37.8303332307	36.0626408647	31.716179637699998	15.3261208272	17.0827933027	12.901869274300001
ENSMUSG00000044367	532.850791261972	-0.456732018838049	0.103029556937606	4.41311250630074e-08	1.37210240541644e-05	SLC16A13	12.4028074842	12.9434838072	13.435286613699999	17.2493188358	18.449381753900003	20.1504571366
ENSMUSG00000094845	74.71833094187791	2.28717697762085	0.484826893458755	4.73559615931746e-08	1.4416930557522103e-05	TMEM95	12.748863381800001	14.3423417732	14.3415495877	2.38452739728	1.91170822972	1.99404949906
ENSMUSG00000046318	677.5640326971869	2.00818030184866	0.424396893771957	5.16081694511992e-08	1.5390820003885198e-05	CCBE1	1.03959016328	1.40166955193	1.55542541484	0.30556477778700003	0.33240913818100004	0.166358767597
ENSMUSG00000050379	688.4018261632318	0.594570603410925	0.129979341771986	6.570408052592631e-08	1.92026745745072e-05	SEPTIN8	9.15934852467	8.019364465539999	8.58962299494	5.7226208202	5.476489536980001	5.475848533430001
ENSMUSG00000076867	25.1387411622103	2.8840388692307903	0.7280105085285521	6.98827040375667e-08	2.0023450080410998e-05	ZNF845	4.58905439965	5.43108552862	11.8031992349	0.440411842767	0.464584471386	0.5115170454119999
ENSMUSG00000029674	474.96825069042	1.18812055440444	0.261527799449558	7.725325133872041e-08	2.16888239886863e-05	LIMK2	12.1197565956	13.174530266500001	11.268212910299999	4.987445371730001	5.29195556811	4.53929033677
ENSMUSG00000056457	949.2879441822812	2.41338239355496	0.53342420912583	7.8663359433407e-08	2.16888239886863e-05		93.70886317790001	125.50754290399999	233.002727143	16.0284004188	15.085331070899999	26.713225465700003
ENSMUSG00000002808	727.85522108725	-0.8335373533478029	0.17849285860890102	9.342010881707268e-08	2.5280519447109e-05	EPDR1	14.3234684899	17.0485979161	13.5646655624	29.080840665500002	27.3853658752	29.80669422
ENSMUSG00000064080	10048.042388681999	1.6093234946871298	0.36062367818755897	1.2184986102246196e-07	3.2374400347658805e-05	FBLN2	28.243742879899997	31.168543225500002	22.7626402121	8.91038001152	8.964072923139998	5.73987106641
ENSMUSG00000024014	857.139037317737	1.02829685755967	0.22984984909927	1.3857097318431001e-07	3.6159600556112893e-05	PIM3	12.189469547	12.739255375499999	10.1238265249	5.43335990252	4.86070182345	5.820009142540001
ENSMUSG00000026504	377.19246439279	0.559154316673489	0.129804616340664	1.56824513046686e-07	4.02048527921268e-05	SDCCAG8	9.077548965660002	8.50389077298	11.231941046800001	6.375669255269999	6.52779493706	6.11806065591
ENSMUSG00000078771	94.57954811524692	2.54424706520437	0.6110951236263361	1.68764951851399e-07	4.2520038644905e-05	EVI2A	0.524712235329	0.739360563233	1.08587584662	0.0442528282378	0.0466817074787	0.154192556284
ENSMUSG00000039384	796.3891833970848	0.94497281244516	0.212925044433477	1.94946261405176e-07	4.82838935239635e-05	DUSP10	21.1375468466	21.7567835511	27.2188305581	11.119925808	11.3092706296	11.714326605899998
