	baseMean	log2FoldChange	lfcSE	pvalue	padj	HumanSymbol	F_13D_1	F_13D_2	F_13D_3	F_12D_1	F_12D_2	F_12D_3
ENSMUSG00000023015	1803.7207512567602	-3.0407771903485696	0.109360875716846	2.5833608065095367e-171	4.404888511179414e-167	RACGAP1	4.855504215880001	4.45722895969	4.73892069406	38.8969285936	33.1129403669	38.224263779299996
ENSMUSG00000028678	595.637625714137	-3.8197799696224495	0.152952885379875	3.335344228113237e-139	2.843547721677938e-135	KIF2C	1.38309727593	1.59507545859	1.99107588289	21.625937856500002	18.8510317166	20.346982985
ENSMUSG00000036768	583.3497105633239	-3.6230025545736497	0.145168563916596	6.921921630543604e-139	3.934189524079967e-135	KIF15	1.03178546122	0.8410514319769999	1.5486416279799995	11.6563327402	10.1424675001	11.746835808299998
ENSMUSG00000027715	1767.34333318657	-3.8708608896485	0.157038953836171	9.723271604236562e-136	4.1447876030959364e-132	CCNA2	3.38909643643	4.629048182209999	5.72736605181	58.912772401000005	53.32252100220001	57.6214627441
ENSMUSG00000020493	659.20730699419	-3.03472647763144	0.127200120031173	5.6400553693628455e-127	1.9233716820601184e-123	PRR11	1.79885834253	1.81770750395	2.17125022605	14.7692463191	12.5230781349	15.466514078800001
ENSMUSG00000027379	835.68625846167	-3.387397492152	0.14611392032494	3.5989719898262666e-120	1.0227678566421291e-116	BUB1	2.21822721462	2.20851819805	2.47340375818	23.4246628888	19.4249089252	24.3456559708
ENSMUSG00000027469	1766.12147271578	-3.5024846288332796	0.156187954648268	1.0391431941655393e-112	2.5312043719595184e-109	TPX2	2.86414853928	3.6002540140900003	4.2767962952800005	39.8194897494	29.2346133729	37.5813873308
ENSMUSG00000037544	575.993979100132	-3.3486839501714103	0.153305613958088	5.0215546496943355e-107	1.0702816041492299e-103	DLGAP5	1.12552038871	1.2461006049	1.3538614508000002	12.9319520627	9.39672282711	12.790119728399999
ENSMUSG00000017861	544.2306480956411	-4.21416977740956	0.201587035594714	6.836393172005696e-99	1.2951926663985487e-95	MYBL2	0.957001115842	0.8774211121200001	0.767701067527	17.1235230701	17.3766574219	15.419734203800001
ENSMUSG00000023940	395.28332054085604	-3.7619023869893398	0.18152942731198496	6.555223863253243e-97	1.1177312209233094e-93	SGO1	0.872780467409	0.8496634587270001	1.19529384139	11.266061331900001	11.1251813185	11.7107640635
ENSMUSG00000041431	1464.54394101148	-3.72021363718512	0.185337941960994	4.2091780478631994e-91	6.524608626737754e-88	CCNB1	4.2552113571199985	4.44396097473	4.483174739280001	53.875670013999994	53.2626491946	60.3583600415
ENSMUSG00000038943	1271.01915495701	-2.9105883683345097	0.146632835454014	6.925097494705232e-89	9.839986448518244e-86	PRC1	3.48981730208	3.64812063916	4.6428061765300015	30.326211776799997	18.9653107265	28.952362544499998
ENSMUSG00000020330	898.041931833186	-3.6976943700973695	0.19067077476181105	2.999759955866548e-85	3.934531308267737e-82	HMMR	1.6411842226499995	1.91018892689	2.29637061502	25.220003359899998	17.160099294400002	25.570936060900003
ENSMUSG00000058290	859.855255308101	-3.4107944607937206	0.18049457734649	6.169467399313936e-81	7.513970616121565e-78	ESPL1	1.08693783409	1.13045219148	1.10873914186	14.3037769886	8.50106696488	11.878306764400001
ENSMUSG00000038379	323.151463751762	-3.6732898948653103	0.20036590011576705	1.5894134509283095e-76	1.8067392501185685e-73	TTK	1.00782930011	0.757902520932	0.902590993076	12.4657889126	9.5924504931	11.2733410695
ENSMUSG00000079553	662.088331481196	-3.3559386713290205	0.18288895311160505	1.7983344628482295e-76	1.9164625578765683e-73	KIFC1	2.6948489666000004	2.36626842386	2.18289064602	24.5256758915	28.0642016604	22.5207743152
ENSMUSG00000024590	2019.4684549291198	-3.2967640502818	0.179881724030123	2.865831152859278e-76	2.87442864631786e-73	LMNB2	6.54819829523	6.84578184533	8.05451036133	57.524944983500006	75.0834667613	57.03309492060001
ENSMUSG00000040204	1419.4036787006796	-4.14232874773614	0.228191104984167	1.938354091144049e-75	1.8361597560053998e-72	PCLAF	3.58205186681	3.20131434385	3.32356908799	48.3867452078	70.1818360162	57.3175392625
ENSMUSG00000026683	434.5257101010701	-3.72426063850479	0.205171983156235	4.017432704675309e-75	3.6053286867062476e-72	NUF2	0.998807739432	1.30686975231	1.97904439476	13.667260143800002	14.765908118199999	16.1317024027
ENSMUSG00000037313	1425.8993103430896	-3.4705816614478	0.19228455263936706	3.7707718801102276e-74	3.2147715663879678e-71	TACC3	4.72682810645	4.00310569179	4.35991270127	42.8702715962	54.7296272697	42.6213164719
ENSMUSG00000015176	2446.44128490705	-1.8065972793835101	0.10056475308841599	4.57416583137463e-74	3.7140048376556595e-71	NOLC1	15.3836480966	16.6159282659	19.5588111603	57.664011057799996	45.163614600600006	58.8487920312
ENSMUSG00000027306	815.7763445191611	-3.1023959642949803	0.173608282263973	1.2842774991561293e-72	9.95373438095962e-70	NUSAP1	2.41538627134	2.2113192455200004	3.07467814561	16.9311220893	21.5026710184	18.9563366795
ENSMUSG00000051378	381.286557249127	-3.61450693421937	0.20300805931667398	2.4922764236016396e-72	1.8476437086448487e-69	KIF18B	0.8371287055159999	0.781430312659	0.842716956567	11.229618974500001	7.47564076987	10.650365105599999
ENSMUSG00000025758	777.9426719058521	-2.8764355180981602	0.16208083037111498	1.0725439047138094e-71	7.619977549697955e-69	PLK4	2.4480172442500003	2.72765392037	3.98267594004	18.6501293794	16.0083610049	20.5760880227
ENSMUSG00000020897	543.760206431168	-3.71153975277148	0.213675824130633	4.58749230683487e-69	3.12885325295366e-66	AURKC	1.62381924911	2.2627276929400004	2.5221821342200004	24.0066575573	28.188899004	21.9772527163
ENSMUSG00000034311	721.954919441158	-3.5720298318186403	0.20837174023745	2.9064679382546678e-67	1.906084031353089e-64	KIF4B	1.35854835556	1.2008488618100002	1.2417183022700002	18.374907953399997	10.3151570348	16.6612330398
ENSMUSG00000021377	2400.6156983302303	-1.8241295775392496	0.107018268661109	4.569116974098749e-67	2.88548198242066e-64	DEK	21.2309700673	20.738760070799998	27.931935266500002	74.30350765600001	58.4315859601	82.51353053449999
