geneID	F_12D_1	F_12D_2	F_12D_3	F_13D_1	F_13D_2	F_13D_3	F_1T_1	F_1T_2	F_1T_3	F_22D_1	F_22D_2	F_22D_3	F_23D_1	F_23D_2	F_23D_3	F_2T_1	F_2T_2	F_2T_3	Tom2D1	Tom2D2	Tom2D3	Tom3D1	Tom3D2	Tom3D3	TomT1	TomT2	TomT3
ENSMUSG00000000001	6423	4001	6773	5098	4908	5099	4301	3807	5071	6955	6637	7199	5881	5882	8195	3947	4386	4160	9228	6667	7957	6131	5295	4635	4442	4393	4897
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	715	945	683	71	67	117	253	460	643	817	822	1119	144	90	159	391	598	558	1463	778	806	99	85	113	512	621	458
ENSMUSG00000000031	1	0	0	2	1	0	173	542	149	0	0	0	0	3	0	239	182	159	0	0	0	0	2	1	760	312	151
ENSMUSG00000000037	0	0	0	0	0	0	1	26	2	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	5	8	1
ENSMUSG00000000049	1	1	0	0	0	0	0	2	0	0	0	2	2	0	1	1	2	0	1	0	1	0	2	1	2	1	0
ENSMUSG00000000056	1047	409	982	1343	1190	1106	869	706	764	872	816	862	881	1102	1388	713	667	533	1366	1050	1288	1465	1440	1069	818	842	997
ENSMUSG00000000058	3793	3093	4199	2114	2121	2360	1809	1793	2933	4058	3918	4943	2889	2369	3443	1835	2626	2014	5732	4066	4597	2420	2170	2152	2497	2490	2405
ENSMUSG00000000078	5037	2932	4868	5282	4815	5474	5752	3508	6369	5662	4948	5679	3667	4057	5420	6194	5920	4937	6533	4614	5664	4158	3957	3319	5773	6670	6538
ENSMUSG00000000085	467	597	452	453	409	579	316	740	641	454	442	713	721	547	812	465	654	543	941	484	539	606	568	730	520	448	637
ENSMUSG00000000088	604	1354	550	297	392	411	363	630	532	572	619	777	660	561	757	475	683	677	1067	663	733	481	406	578	532	560	511
ENSMUSG00000000093	2	4	1	3	16	11	60	849	86	0	2	2	8	14	6	100	127	90	7	4	6	9	7	16	147	84	68
ENSMUSG00000000094	0	0	0	0	0	0	0	44	1	0	0	0	0	0	0	0	26	2	0	0	0	0	0	0	7	7	3
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000120	0	0	0	0	0	3	3	59	3	0	0	0	3	0	0	4	45	15	0	0	0	0	0	0	18	18	21
ENSMUSG00000000125	0	2	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0
ENSMUSG00000000126	6	3	9	5	4	5	18	101	37	1	4	8	0	0	0	25	77	64	13	4	2	1	0	4	71	67	36
ENSMUSG00000000127	701	370	719	620	511	673	630	491	616	792	735	706	439	503	692	503	554	411	900	698	811	591	539	427	627	636	648
ENSMUSG00000000131	2004	652	1444	1276	1068	1113	1205	1254	1125	1818	1698	1543	855	1385	1591	984	1533	965	1880	1640	1960	1175	1121	770	1393	1173	1271
