EnsemblID	baseMean	log2FoldChange	lfcSE	pvalue	padj	HumanSymbol
ENSMUSG00000023015	1803.72075125676	-3.03135943477579	0.0951809759811266	2.6236614314981078e-223	4.6913690056617666e-219	RACGAP1
ENSMUSG00000020493	659.20730699419	-3.522976713909049	0.111078041686919	8.655619409867553e-222	7.738556533392084e-218	PRR11
ENSMUSG00000028678	595.637625714137	-3.9595489509667097	0.129840399999259	1.0455160938339492e-205	6.231624424614925e-202	KIF2C
ENSMUSG00000027379	835.68625846167	-3.8769475341154895	0.129374947167857	1.150964980277119e-198	5.145101203083786e-195	BUB1
ENSMUSG00000036768	583.3497105633239	-3.3155680911945	0.111648095217998	1.123590614617959e-194	4.018184755996745e-191	KIF15
ENSMUSG00000027715	1767.34333318657	-4.08831879427902	0.13818639096210195	5.600400734633146e-194	1.6690127589329185e-190	CCNA2
ENSMUSG00000037544	575.993979100132	-3.45034167160786	0.127794597328245	1.6018997242834289e-161	4.091938424273148e-158	DLGAP5
ENSMUSG00000027469	1766.12147271578	-3.52540909644575	0.136261342028354	1.2570345680653493e-148	2.809629388947058e-145	TPX2
ENSMUSG00000038943	1271.01915495701	-3.13961115717738	0.12710947734935	1.7829245145409088e-135	3.542274804945108e-132	PRC1
ENSMUSG00000041431	1464.54394101148	-3.9725186834259	0.163612524538934	1.0672787059652396e-131	1.908401054136449e-128	CCNB1
ENSMUSG00000048424	257.488993245556	4.4493036099821515	0.18792361795622306	4.7400089177545675e-126	7.705099950760847e-123	RANBP3L
ENSMUSG00000058290	859.855255308101	-3.76217345029238	0.158463654917757	7.570708751701565e-126	1.1280986932431295e-122	ESPL1
ENSMUSG00000051378	381.286557249127	-4.26657881947164	0.180699423232746	4.0987973990602277e-125	5.637738176353525e-122	KIF18B
ENSMUSG00000020330	898.041931833186	-3.8727123528819294	0.16597382990478302	8.819145233514795e-122	1.1263938280034196e-118	HMMR
