	baseMean	log2FoldChange	lfcSE	pvalue	padj	HumanSymbol	Tom3D1	Tom3D2	Tom3D3	Tom2D1	Tom2D2	Tom2D3
ENSMUSG00000023015	1803.7207512567602	-3.03135943477579	0.0951809759811266	2.6236614314981063e-223	4.691369005661765e-219	RACGAP1	4.94589880631	4.4413237286900005	4.640231163909999	37.7691303763	37.8918725256	38.7749945324
ENSMUSG00000020493	659.20730699419	-3.522976713909049	0.11107804168691901	8.655619409867548e-222	7.73855653339208e-218	PRR11	1.5761077584399998	1.57878535713	1.43061579516	18.875866718399998	17.6841753504	16.4075520299
ENSMUSG00000028678	595.637625714137	-3.9595489509667097	0.129840399999259	1.0455160938339488e-205	6.231624424614922e-202	KIF2C	1.49696636211	1.31594123669	1.36608528314	22.7028155884	21.2871078043	21.481440684699997
ENSMUSG00000027379	835.68625846167	-3.8769475341154895	0.129374947167857	1.1509649802771185e-198	5.145101203083784e-195	BUB1	2.10228745758	1.7491517075299998	1.59914492858	26.1400246043	27.1247775624	27.485220022800004
ENSMUSG00000036768	583.3497105633239	-3.3155680911945	0.11164809521799801	1.1235906146179587e-194	4.0181847559967433e-191	KIF15	1.34638885265	1.1983674215200002	1.22169180109	13.318691465399999	11.871699530799999	12.4268585648
ENSMUSG00000027715	1767.34333318657	-4.08831879427902	0.13818639096210195	5.600400734633143e-194	1.6690127589329175e-190	CCNA2	4.08391346102	3.42482142368	3.71125980485	68.4302819233	63.0402365349	60.9280469929
ENSMUSG00000037544	575.993979100132	-3.45034167160786	0.127794597328245	1.6018997242834283e-161	4.091938424273147e-158	DLGAP5	1.3424878442299997	1.33144394269	1.09279695021	14.6013019717	13.7059266832	13.241239705999998
ENSMUSG00000027469	1766.12147271578	-3.52540909644575	0.136261342028354	1.2570345680653488e-148	2.809629388947057e-145	TPX2	3.9450407908800007	3.6964533084199993	2.78961357755	41.961277389	38.6036109568	40.865480476100004
ENSMUSG00000038943	1271.01915495701	-3.13961115717738	0.12710947734935	1.7829245145409082e-135	3.542274804945107e-132	PRC1	3.5988111760800003	4.00154443873	3.711831509230001	36.6538062448	32.210558853	31.319635293
ENSMUSG00000041431	1464.54394101148	-3.9725186834259	0.163612524538934	1.0672787059652393e-131	1.9084010541364485e-128	CCNB1	4.0696956141600005	3.32712663819	4.96309226464	74.84780866770001	63.7401383572	57.284357082700005
ENSMUSG00000048424	257.488993245556	4.449303609982152	0.18792361795622306	4.7400089177545675e-126	7.705099950760845e-123	RANBP3L	17.5595427797	19.2493807907	22.4223166244	0.8384330383040001	0.971626309732	0.819771708784
ENSMUSG00000058290	859.855255308101	-3.76217345029238	0.158463654917757	7.570708751701564e-126	1.1280986932431294e-122	ESPL1	1.01600288614	1.04759243548	0.97597143657	14.4068365935	14.0799123023	13.2461711008
ENSMUSG00000051378	381.286557249127	-4.26657881947164	0.18069942323274601	4.0987973990602277e-125	5.637738176353524e-122	KIF18B	0.502514414703	0.72285767872	0.7251361602869999	13.6361416355	12.2022490042	12.145651535799999
ENSMUSG00000020330	898.041931833186	-3.8727123528819294	0.16597382990478302	8.819145233514793e-122	1.1263938280034191e-118	HMMR	1.63966279591	2.04538923875	1.67767602381	28.231040334499998	26.0498171864	25.4411178216
ENSMUSG00000017861	544.2306480956411	-3.85111617265394	0.16655326589910502	1.256637482798059e-119	1.4979956553274686e-116	MYBL2	1.09590292839	1.15605311491	1.01504820433	15.818180488900001	15.905772940599999	16.0797519306
