p-value=0 means <3.586916362818826e-07, FDR=0 means <0.00032449636695635107
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Pten	6	4;33;85;103;124;135	BRDN0003505887;BRDN0003505884;BRDN0003505883;BRDN0003505882;BRDN0003505886;BRDN0003505885	6	12.798677523688355	7.268758646303091	0.0	0.0	0.0
Kctd10	6	22;29;41;47;64;3402	BRDN0003501977;BRDN0003501976;BRDN0003501979;BRDN0003501981;BRDN0003501980;BRDN0003501978	5	11.509700341364677	6.3866025162207425	0.0	0.0	0.0
Hsd17b10	6	182;236;342;448;494;1043	BRDN0003500981;BRDN0003500982;BRDN0003500985;BRDN0003500984;BRDN0003500980;BRDN0003500983	6	7.470974284099211	4.605574701080092	0.0	0.0	0.0
Nfkbia	6	82;134;211;229;1975;2050	BRDN0003503729;BRDN0003503733;BRDN0003503730;BRDN0003503731;BRDN0003503732;BRDN0003503728	4	6.449266172004499	4.248704401280879	1.0760749090676924e-06	0.0007301168258024289	0.0007301168258024289
Cox11	6	217;241;511;572;1111;1679	BRDN0003497281;BRDN0003497282;BRDN0003497278;BRDN0003497283;BRDN0003497280;BRDN0003497279	6	6.230375957830103	3.938156316585944	1.7934581818535023e-06	0.0009734891011101244	0.0008112409175917541
Pcyt2	6	231;521;637;808;964;1741	BRDN0003504486;BRDN0003504484;BRDN0003504488;BRDN0003504485;BRDN0003504487;BRDN0003504489	6	6.135887507954407	3.7174244677203294	1.7934581818535023e-06	0.0008112409175917541	0.0008112409175917541
Kctd5	6	185;245;260;393;890;5574	BRDN0003502068;BRDN0003502066;BRDN0003502069;BRDN0003502070;BRDN0003502071;BRDN0003502067	5	5.813733646735405	3.755884650627917	4.304299636603837e-06	0.001668838459106133	0.001668838459106133
Dohh	6	380;425;568;574;946;2705	BRDN0003498315;BRDN0003498314;BRDN0003498311;BRDN0003498313;BRDN0003498312;BRDN0003498310	5	5.682623803272487	3.648822634783919	5.739066182175456e-06	0.0019469782023030225	0.0019469782023030225
Nme6	6	377;539;689;863;1993;2241	BRDN0003503796;BRDN0003503799;BRDN0003503795;BRDN0003503798;BRDN0003503794;BRDN0003503797	6	5.478028995448028	3.27717827237908	1.1478132364350913e-05	0.0034612945818721266	0.0034612945818721266
Mtf1	6	275;347;427;914;1103;12963	BRDN0003503155;BRDN0003503152;BRDN0003503157;BRDN0003503156;BRDN0003503153;BRDN0003503154	5	5.35313925241097	3.288450561736597	1.5423740364561844e-05	0.004186003134942145	0.004159453432191137
Cox15	6	392;591;686;911;1578;2362	BRDN0003497289;BRDN0003497285;BRDN0003497286;BRDN0003497287;BRDN0003497284;BRDN0003497288	6	5.341000774993419	3.307655296103667	1.6858506910133464e-05	0.004159453432191137	0.004159453432191137
Pmvk	6	222;840;1809;1963;2379;2442	BRDN0003505573;BRDN0003505572;BRDN0003505575;BRDN0003505570;BRDN0003505571;BRDN0003505574	6	5.254206177005213	2.7295542030980484	2.3673648001487635e-05	0.00535419005633645	0.00535419005633645
