p-value=0 means <3.586916362818826e-07, FDR=0 means <0.0001384549716048062
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Pcyt1a	6	4;44;48;135;209;307	BRDN0003504472;BRDN0003504473;BRDN0003504474;BRDN0003504475;BRDN0003504476;BRDN0003504477	6	10.657849881795276	6.727455529060207	0.0	0.0	0.0
Rrm1	6	9;17;21;22;543;669	BRDN0003506146;BRDN0003506149;BRDN0003506150;BRDN0003506151;BRDN0003506147;BRDN0003506148	4	10.509047213650224	6.827180547975439	0.0	0.0	0.0
Eif4a3	4	6;28;30;53	BRDN0003510556;BRDN0003510554;BRDN0003510555;BRDN0003510557	4	10.156683278035775	6.413431309214007	0.0	0.0	0.0
Atp1a1	6	7;14;51;217;391;397	BRDN0003495469;BRDN0003495466;BRDN0003495467;BRDN0003495471;BRDN0003495468;BRDN0003495470	6	9.987937094079703	6.364802247992116	0.0	0.0	0.0
Kras	4	1;2;11;620	BRDN0003510591;BRDN0003510590;BRDN0003510593;BRDN0003510592	3	9.064362552222589	6.439204283809159	0.0	0.0	0.0
Hmgcs1	6	29;67;91;208;266;11251	BRDN0003500817;BRDN0003500816;BRDN0003500814;BRDN0003500815;BRDN0003500812;BRDN0003500813	5	8.421018368460253	5.2772751570373035	0.0	0.0	0.0
Control-target	1000	15;84;95;119;120;145;157;177;183;186;202;210;233;234;241;249;284;296;309;331;339;347;354;360;363;367;394;411;429;433;437;461;470;498;555;577;582;586;588;616;649;680;692;693;722;741;749;754;761;767;792;859;866;874;898;907;934;941;949;958;960;972;980;987;989;1015;1020;1024;1032;1037;1038;1059;1078;1086;1087;1115;1126;1127;1130;1158;1187;1207;1214;1223;1224;1230;1240;1256;1287;1292;1325;1333;1359;1465;1510;1528;1560;1569;1570;1597;1619;1641;1644;1655;1656;1658;1659;1660;1678;1679;1684;1687;1688;1699;1730;1739;1742;1778;1783;1806;1826;1888;1908;1916;1920;1928;1930;1931;1933;1960;1979;1984;2020;2041;2091;2101;2108;2139;2151;2153;2222;2253;2259;2262;2271;2313;2319;2327;2329;2353;2360;2363;2374;2384;2390;2417;2438;2439;2444;2448;2466;2483;2494;2495;2583;2608;2639;2667;2669;2717;2738;2760;2783;2785;2792;2795;2811;2819;2891;2904;2939;2955;2975;2990;3002;3020;3026;3027;3076;3083;3099;3117;3128;3156;3177;3179;3192;3201;3202;3213;3215;3234;3260;3263;3360;3393;3404;3410;3418;3434;3435;3482;3494;3508;3515;3561;3618;3634;3641;3646;3660;3676;3692;3696;3700;3701;3725;3787;3819;3821;3869;3870;3876;3894;3901;3921;3972;3988;3990;3995;4003;4004;4008;4032;4075;4078;4085;4086;4098;4099;4109;4186;4197;4205;4213;4240;4248;4249;4276;4289;4292;4350;4360;4371;4378;4403;4450;4483;4485;4493;4518;4522;4528;4539;4556;4577;4584;4590;4613;4620;4635;4655;4663;4673;4674;4680;4704;4708;4717;4760;4761;4768;4839;4849;4852;4861;4869;4881;4884;4901;4912;4913;4939;4954;4966;4971;4978;5014;5041;5054;5058;5090;5111;5118;5132;5172;5175;5178;5204;5205;5226;5244;5245;5260;5279;5281;5333;5335;5354;5359;5377;5378;5395;5406;5443;5506;5512;5522;5546;5569;5577;5582;5605;5613;5623;5645;5658;5678;5680;5692;5697;5702;5707;5734;5739;5743;5766;5775;5778;5798;5803;5824;5840;5862;5872;5935;5966;6001;6016;6023;6072;6082;6092;6119;6155;6158;6201;6204;6205;6217;6225;6242;6248;6276;6282;6285;6292;6313;6318;6325;6335;6350;6359;6407;6410;6424;6432;6433;6440;6467;6471;6488;6493;6516;6547;6557;6570;6571;6574;6595;6602;6608;6637;6645;6646;6663;6687;6710;6731;6735;6743;6744;6769;6801;6812;6816;6821;6824;6841;6842;6846;6855;6868;6898;6905;6912;6933;6940;6951;6969;6983;7008;7019;7028;7032;7064;7080;7084;7123;7128;7132;7138;7140;7155;7168;7172;7205;7206;7208;7218;7223;7248;7264;7272;7281;7287;7292;7293;7294;7298;7344;7347;7372;7452;7466;7512;7513;7573;7631;7633;7643;7659;7667;7685;7728;7748;7767;7792;7802;7806;7838;7854;7914;7919;7933;7964;7971;7972;7987;7996;8000;8006;8017;8018;8025;8027;8032;8070;8076;8109;8121;8126;8129;8135;8139;8178;8238;8248;8249;8263;8266;8280;8287;8291;8297;8326;8328;8359;8360;8368;8371;8376;8384;8399;8436;8483;8516;8518;8522;8542;8558;8582;8583;8598;8611;8613;8616;8629;8665;8702;8703;8788;8848;8869;8927;8936;8945;8946;8955;9013;9015;9016;9030;9037;9044;9079;9125;9135;9140;9153;9180;9188;9247;9256;9262;9268;9288;9295;9302;9303;9307;9308;9334;9418;9419;9452;9454;9470;9492;9495;9500;9530;9538;9578;9583;9613;9629;9631;9640;9674;9739;9753;9802;9817;9820;9835;9879;9884;9922;9933;9962;9990;10000;10023;10094;10115;10124;10125;10157;10161;10186;10215;10241;10267;10305;10346;10394;10397;10402;10410;10422;10463;10495;10519;10524;10563;10572;10573;10576;10584;10619;10626;10640;10657;10676;10679;10736;10751;10758;10759;10773;10859;10868;10871;10914;10921;11019;11041;11046;11059;11071;11090;11097;11109;11154;11174;11178;11187;11192;11208;11257;11288;11361;11364;11369;11373;11383;11403;11414;11426;11443;11488;11502;11577;11587;11629;11642;11658;11685;11713;11721;11737;11744;11757;11809;11812;11878;11901;11902;11923;11953;11957;11962;11972;11997;12017;12025;12043;12123;12128;12147;12156;12237;12253;12268;12285;12311;12345;12376;12381;12385;12519;12522;12523;12536;12542;12573;12611;12616;12627;12649;12697;12698;12759;12773;12781;12830;12835;12843;12853;12854;12873;12878;12908;12920;12936;12958;12971;13004;13008;13009;13034;13054;13062;13106;13112;13128;13138;13147;13186;13194;13200;13201;13219;13239;13260;13330;13338;13352;13376;13388;13391;13425;13484;13490;13516;13525;13528;13540;13618;13624;13644;13680;13686;13731;13736;13739;13740;13749;13790;13802;13809;13813;13817;13837;13852;13869;13884;13913;13921;13932;13945;13961;13964;13969;13970;13977;13981;13992;14024;14127;14129;14197;14202;14203;14211;14233;14277;14318;14333;14351;14365;14371;14412;14475;14515;14544;14547;14549;14613;14632;14662;14696;14728;14735;14766;14771;14782;14841;14844;14868;14915;14948;14962;15027;15061;15074;15134;15197;15204;15211;15219;15238;15243;15281;15338;15348;15377;15394;15395;15491;15500;15502;15510;15514;15522;15572;15587;15588;15602;15618;15623;15643;15655;15685;15695;15696;15728;15750;15755;15764;15773;15783;15835;15838;15843;15854;15876;15898;15904;15906;15933;15948;15971;15978;16006;16023;16026;16039;16046;16056;16081;16136;16142;16149;16181;16201;16209;16232;16237;16275;16302;16318;16336;16355;16369;16451;16477;16541;16556;16589;16593;16607;16642;16648;16702;16712;16724;16747;16756;16758;16793;16844;16854;16859;16882;16890;16983;16990;17057;17092;17114;17138;17178;17224;17234;17255;17261;17309;17339;17391;17417;17424;17440;17459;17476;17477;17482;17597;17602;17629;17635;17646;17698;17796;17811;17837;17862;17866;17895;17915;17921;17928;17932;17940;17942;17950;17956;17957;17988;18005;18024;18040;18048;18058;18098;18105;18133;18150;18163;18183;18206;18214;18237;18254;18294;18297;18320;18323;18342	BRDN0003511057;BRDN0003511033;BRDN0003511163;BRDN0003511315;BRDN0003511537;BRDN0003511787;BRDN0003511021;BRDN0003510837;BRDN0003511109;BRDN0003511535;BRDN0003511158;BRDN0003511169;BRDN0003511249;BRDN0003511281;BRDN0003511227;BRDN0003511224;BRDN0003511366;BRDN0003511116;BRDN0003510933;BRDN0003511533;BRDN0003510970;BRDN0003511177;BRDN0003511637;BRDN0003511803;BRDN0003511561;BRDN0003510922;BRDN0003510958;BRDN0003511250;BRDN0003511743;BRDN0003511731;BRDN0003510969;BRDN0003511026;BRDN0003511054;BRDN0003510906;BRDN0003511231;BRDN0003511382;BRDN0003511049;BRDN0003510843;BRDN0003510968;BRDN0003510990;BRDN0003511530;BRDN0003511318;BRDN0003511377;BRDN0003511098;BRDN0003511797;BRDN0003511172;BRDN0003511097;BRDN0003510938;BRDN0003511153;BRDN0003511603;BRDN0003511084;BRDN0003511417;BRDN0003511181;BRDN0003511236;BRDN0003511058;BRDN0003511230;BRDN0003511307;BRDN0003511184;BRDN0003510966;BRDN0003511677;BRDN0003510998;BRDN0003511632;BRDN0003510909;BRDN0003510823;BRDN0003510939;BRDN0003511270;BRDN0003511232;BRDN0003511812;BRDN0003511409;BRDN0003510884;BRDN0003511643;BRDN0003511215;BRDN0003511339;BRDN0003511642;BRDN0003511411;BRDN0003511090;BRDN0003511042;BRDN0003510839;BRDN0003511600;BRDN0003511298;BRDN0003511104;BRDN0003511440;BRDN0003510975;BRDN0003510931;BRDN0003510927;BRDN0003511145;BRDN0003511314;BRDN0003511171;BRDN0003510916;BRDN0003511041;BRDN0003511096;BRDN0003511012;BRDN0003511222;BRDN0003511405;BRDN0003511485;BRDN0003511008;BRDN0003510825;BRDN0003511211;BRDN0003511456;BRDN0003510986;BRDN0003510951;BRDN0003510871;BRDN0003511205;BRDN0003511114;BRDN0003511115;BRDN0003510883;BRDN0003510994;BRDN0003511183;BRDN0003511423;BRDN0003511410;BRDN0003511273;BRDN0003511686;BRDN0003511047;BRDN0003510870;BRDN0003511330;BRDN0003511738;BRDN0003511546;BRDN0003511481;BRDN0003511699;BRDN0003511214;BRDN0003511068;BRDN0003511297;BRDN0003511381;BRDN0003510941;BRDN0003511772;BRDN0003511798;BRDN0003511105;BRDN0003511195;BRDN0003510915;BRDN0003510872;BRDN0003511334;BRDN0003511050;BRDN0003510928;BRDN0003510881;BRDN0003511744;BRDN0003511160;BRDN0003511291;BRDN0003510896;BRDN0003510897;BRDN0003511029;BRDN0003511523;BRDN0003511813;BRDN0003511367;BRDN0003511167;BRDN0003511817;BRDN0003510822;BRDN0003510840;BRDN0003511605;BRDN0003511063;BRDN0003511383;BRDN0003510949;BRDN0003510947;BRDN0003511431;BRDN0003511079;BRDN0003511352;BRDN0003511819;BRDN0003510959;BRDN0003511241;BRDN0003510846;BRDN0003511394;BRDN0003511400;BRDN0003511678;BRDN0003511294;BRDN0003511045;BRDN0003511638;BRDN0003511011;BRDN0003511078;BRDN0003511007;BRDN0003511492;BRDN0003511196;BRDN0003511450;BRDN0003510957;BRDN0003511653;BRDN0003511688;BRDN0003511269;BRDN0003511491;BRDN0003510891;BRDN0003511575;BRDN0003511207;BRDN0003511627;BRDN0003510864;BRDN0003511736;BRDN0003511416;BRDN0003511401;BRDN0003511147;BRDN0003511732;BRDN0003511517;BRDN0003511254;BRDN0003511267;BRDN0003511193;BRDN0003511662;BRDN0003511723;BRDN0003510926;BRDN0003511764;BRDN0003511136;BRDN0003511210;BRDN0003511299;BRDN0003511761;BRDN0003511003;BRDN0003511285;BRDN0003511506;BRDN0003511451;BRDN0003511283;BRDN0003511121;BRDN0003511350;BRDN0003511571;BRDN0003510929;BRDN0003510930;BRDN0003511671;BRDN0003511598;BRDN0003511552;BRDN0003511043;BRDN0003511601;BRDN0003510914;BRDN0003510983;BRDN0003510854;BRDN0003511075;BRDN0003510907;BRDN0003511083;BRDN0003511510;BRDN0003511581;BRDN0003511420;BRDN0003511460;BRDN0003511526;BRDN0003511342;BRDN0003511567;BRDN0003511543;BRDN0003510868;BRDN0003511038;BRDN0003510827;BRDN0003511474;BRDN0003511010;BRDN0003511203;BRDN0003510874;BRDN0003511574;BRDN0003511696;BRDN0003511429;BRDN0003511649;BRDN0003511304;BRDN0003511113;BRDN0003511437;BRDN0003511746;BRDN0003511549;BRDN0003511217;BRDN0003511166;BRDN0003511024;BRDN0003511577;BRDN0003511162;BRDN0003511459;BRDN0003511427;BRDN0003511126;BRDN0003511331;BRDN0003511690;BRDN0003511536;BRDN0003510942;BRDN0003511705;BRDN0003511433;BRDN0003511595;BRDN0003511790;BRDN0003510973;BRDN0003511266;BRDN0003511704;BRDN0003511091;BRDN0003511179;BRDN0003511613;BRDN0003511190;BRDN0003511340;BRDN0003511419;BRDN0003510847;BRDN0003511191;BRDN0003511554;BRDN0003510860;BRDN0003511201;BRDN0003511006;BRDN0003511023;BRDN0003511446;BRDN0003511726;BRDN0003510991;BRDN0003511073;BRDN0003511569;BRDN0003511061;BRDN0003511504;BRDN0003511062;BRDN0003511292;BRDN0003511616;BRDN0003511544;BRDN0003511385;BRDN0003510989;BRDN0003511484;BRDN0003511645;BRDN0003510999;BRDN0003511640;BRDN0003511661;BRDN0003511321;BRDN0003511629;BRDN0003510913;BRDN0003511325;BRDN0003511333;BRDN0003511360;BRDN0003511483;BRDN0003511326;BRDN0003510888;BRDN0003511000;BRDN0003511144;BRDN0003511358;BRDN0003511558;BRDN0003511708;BRDN0003510834;BRDN0003510980;BRDN0003511185;BRDN0003511034;BRDN0003511514;BRDN0003510919;BRDN0003511200;BRDN0003511092;BRDN0003511712;BRDN0003511568;BRDN0003511771;BRDN0003511099;BRDN0003511800;BRDN0003511784;BRDN0003511143;BRDN0003511609;BRDN0003511361;BRDN0003510967;BRDN0003510873;BRDN0003510917;BRDN0003510904;BRDN0003510851;BRDN0003511390;BRDN0003511534;BRDN0003511794;BRDN0003511324;BRDN0003511017;BRDN0003511051;BRDN0003511178;BRDN0003510952;BRDN0003511729;BRDN0003511397;BRDN0003511282;BRDN0003511461;BRDN0003511647;BRDN0003511716;BRDN0003511710;BRDN0003511714;BRDN0003511087;BRDN0003511402;BRDN0003511102;BRDN0003511692;BRDN0003511066;BRDN0003511707;BRDN0003511306;BRDN0003510934;BRDN0003510961;BRDN0003511658;BRDN0003510944;BRDN0003510972;BRDN0003511753;BRDN0003511379;BRDN0003511730;BRDN0003511335;BRDN0003511430;BRDN0003511453;BRDN0003510849;BRDN0003511398;BRDN0003511487;BRDN0003510978;BRDN0003511683;BRDN0003511014;BRDN0003511799;BRDN0003511769;BRDN0003511127;BRDN0003511583;BRDN0003511801;BRDN0003511005;BRDN0003511752;BRDN0003511539;BRDN0003510850;BRDN0003511438;BRDN0003511246;BRDN0003511150;BRDN0003511001;BRDN0003510855;BRDN0003510974;BRDN0003511354;BRDN0003511264;BRDN0003511161;BRDN0003511779;BRDN0003511289;BRDN0003511507;BRDN0003511320;BRDN0003511085;BRDN0003511133;BRDN0003510932;BRDN0003511551;BRDN0003511821;BRDN0003511198;BRDN0003511489;BRDN0003510902;BRDN0003510976;BRDN0003511138;BRDN0003510832;BRDN0003510899;BRDN0003511206;BRDN0003511555;BRDN0003511414;BRDN0003510866;BRDN0003511301;BRDN0003511164;BRDN0003511553;BRDN0003511376;BRDN0003511727;BRDN0003510824;BRDN0003511722;BRDN0003511263;BRDN0003511664;BRDN0003511594;BRDN0003511399;BRDN0003511786;BRDN0003511538;BRDN0003511053;BRDN0003511308;BRDN0003511415;BRDN0003511180;BRDN0003511703;BRDN0003511404;BRDN0003511656;BRDN0003510962;BRDN0003511713;BRDN0003511055;BRDN0003511502;BRDN0003510911;BRDN0003510889;BRDN0003511747;BRDN0003510945;BRDN0003511621;BRDN0003510861;BRDN0003511479;BRDN0003511475;BRDN0003511128;BRDN0003510992;BRDN0003511056;BRDN0003510877;BRDN0003511258;BRDN0003511570;BRDN0003511573;BRDN0003511635;BRDN0003511119;BRDN0003511188;BRDN0003511356;BRDN0003511072;BRDN0003511448;BRDN0003511413;BRDN0003511277;BRDN0003511608;BRDN0003511175;BRDN0003511695;BRDN0003511194;BRDN0003511027;BRDN0003511279;BRDN0003511458;BRDN0003511020;BRDN0003510892;BRDN0003511019;BRDN0003511515;BRDN0003511338;BRDN0003511077;BRDN0003511734;BRDN0003511625;BRDN0003510908;BRDN0003511239;BRDN0003510923;BRDN0003511288;BRDN0003511262;BRDN0003511343;BRDN0003511408;BRDN0003510965;BRDN0003511368;BRDN0003510876;BRDN0003511793;BRDN0003511666;BRDN0003511685;BRDN0003511676;BRDN0003510987;BRDN0003511766;BRDN0003511548;BRDN0003510886;BRDN0003511272;BRDN0003511602;BRDN0003511473;BRDN0003511125;BRDN0003511652;BRDN0003511316;BRDN0003511329;BRDN0003511807;BRDN0003511044;BRDN0003511332;BRDN0003511814;BRDN0003511617;BRDN0003511634;BRDN0003511124;BRDN0003511818;BRDN0003510936;BRDN0003511141;BRDN0003511791;BRDN0003511463;BRDN0003511593;BRDN0003511525;BRDN0003511522;BRDN0003511271;BRDN0003511611;BRDN0003511758;BRDN0003511221;BRDN0003511499;BRDN0003511322;BRDN0003511412;BRDN0003511018;BRDN0003511223;BRDN0003511566;BRDN0003511673;BRDN0003510895;BRDN0003511562;BRDN0003510845;BRDN0003511509;BRDN0003511238;BRDN0003510841;BRDN0003511081;BRDN0003510946;BRDN0003511742;BRDN0003511155;BRDN0003511067;BRDN0003510836;BRDN0003511596;BRDN0003510833;BRDN0003511071;BRDN0003511380;BRDN0003511531;BRDN0003511265;BRDN0003511137;BRDN0003511302;BRDN0003511445;BRDN0003511657;BRDN0003511371;BRDN0003510858;BRDN0003511009;BRDN0003511110;BRDN0003511589;BRDN0003511612;BRDN0003511811;BRDN0003511148;BRDN0003511088;BRDN0003510993;BRDN0003511768;BRDN0003511691;BRDN0003510857;BRDN0003511735;BRDN0003511257;BRDN0003511740;BRDN0003510875;BRDN0003511592;BRDN0003511715;BRDN0003511344;BRDN0003511604;BRDN0003511724;BRDN0003511117;BRDN0003511762;BRDN0003511154;BRDN0003511220;BRDN0003511587;BRDN0003511237;BRDN0003511789;BRDN0003511820;BRDN0003511655;BRDN0003511002;BRDN0003511176;BRDN0003511694;BRDN0003511225;BRDN0003511467;BRDN0003511140;BRDN0003511806;BRDN0003511639;BRDN0003511659;BRDN0003511518;BRDN0003511665;BRDN0003511369;BRDN0003510982;BRDN0003511349;BRDN0003511086;BRDN0003511702;BRDN0003511351;BRDN0003511556;BRDN0003511290;BRDN0003511317;BRDN0003511580;BRDN0003511295;BRDN0003510900;BRDN0003511151;BRDN0003511488;BRDN0003511065;BRDN0003511094;BRDN0003511760;BRDN0003510856;BRDN0003511721;BRDN0003511540;BRDN0003511357;BRDN0003511775;BRDN0003511432;BRDN0003511624;BRDN0003511503;BRDN0003511365;BRDN0003511187;BRDN0003511476;BRDN0003511684;BRDN0003511706;BRDN0003511242;BRDN0003511599;BRDN0003511345;BRDN0003511675;BRDN0003511442;BRDN0003511226;BRDN0003511286;BRDN0003511311;BRDN0003511796;BRDN0003511802;BRDN0003511370;BRDN0003511031;BRDN0003510977;BRDN0003511422;BRDN0003511280;BRDN0003511070;BRDN0003511542;BRDN0003511780;BRDN0003510893;BRDN0003511741;BRDN0003511186;BRDN0003511778;BRDN0003511680;BRDN0003511347;BRDN0003511776;BRDN0003511107;BRDN0003511748;BRDN0003511122;BRDN0003511494;BRDN0003511711;BRDN0003511689;BRDN0003511745;BRDN0003510880;BRDN0003511495;BRDN0003511387;BRDN0003510912;BRDN0003511327;BRDN0003511563;BRDN0003511168;BRDN0003510937;BRDN0003511142;BRDN0003511636;BRDN0003510828;BRDN0003511804;BRDN0003511493;BRDN0003511614;BRDN0003511449;BRDN0003511435;BRDN0003510996;BRDN0003510831;BRDN0003511228;BRDN0003510918;BRDN0003511576;BRDN0003510964;BRDN0003511095;BRDN0003510954;BRDN0003510829;BRDN0003511496;BRDN0003511259;BRDN0003511204;BRDN0003511152;BRDN0003510826;BRDN0003510985;BRDN0003511209;BRDN0003511529;BRDN0003511754;BRDN0003511089;BRDN0003510995;BRDN0003511052;BRDN0003510984;BRDN0003511403;BRDN0003511751;BRDN0003510852;BRDN0003511170;BRDN0003511620;BRDN0003511770;BRDN0003511421;BRDN0003511300;BRDN0003511480;BRDN0003511641;BRDN0003511364;BRDN0003511579;BRDN0003511328;BRDN0003511457;BRDN0003511698;BRDN0003510898;BRDN0003511733;BRDN0003511725;BRDN0003511212;BRDN0003511755;BRDN0003511082;BRDN0003510869;BRDN0003511528;BRDN0003511709;BRDN0003511610;BRDN0003511234;BRDN0003510885;BRDN0003511260;BRDN0003511810;BRDN0003511131;BRDN0003511782;BRDN0003511235;BRDN0003511505;BRDN0003511103;BRDN0003511687;BRDN0003511693;BRDN0003511582;BRDN0003511584;BRDN0003511076;BRDN0003511233;BRDN0003510901;BRDN0003510960;BRDN0003511588;BRDN0003510981;BRDN0003511619;BRDN0003511465;BRDN0003511648;BRDN0003511406;BRDN0003511443;BRDN0003510867;BRDN0003511545;BRDN0003511444;BRDN0003511243;BRDN0003511139;BRDN0003511374;BRDN0003510903;BRDN0003511498;BRDN0003510879;BRDN0003511682;BRDN0003511521;BRDN0003511622;BRDN0003511670;BRDN0003510853;BRDN0003511313;BRDN0003511486;BRDN0003511720;BRDN0003511030;BRDN0003511111;BRDN0003511464;BRDN0003511303;BRDN0003511472;BRDN0003510971;BRDN0003511728;BRDN0003511216;BRDN0003511093;BRDN0003510835;BRDN0003511805;BRDN0003510865;BRDN0003511591;BRDN0003511585;BRDN0003511025;BRDN0003511199;BRDN0003511773;BRDN0003511808;BRDN0003511074;BRDN0003511395;BRDN0003511293;BRDN0003511157;BRDN0003511118;BRDN0003511032;BRDN0003511631;BRDN0003511516;BRDN0003511701;BRDN0003511500;BRDN0003511120;BRDN0003510924;BRDN0003511276;BRDN0003511348;BRDN0003511391;BRDN0003511284;BRDN0003511048;BRDN0003511202;BRDN0003511213;BRDN0003511296;BRDN0003511208;BRDN0003511004;BRDN0003511668;BRDN0003510842;BRDN0003511501;BRDN0003511312;BRDN0003511512;BRDN0003510878;BRDN0003511452;BRDN0003511106;BRDN0003511462;BRDN0003511559;BRDN0003511386;BRDN0003511469;BRDN0003511251;BRDN0003511407;BRDN0003511362;BRDN0003511564;BRDN0003511247;BRDN0003511261;BRDN0003510940;BRDN0003511490;BRDN0003511219;BRDN0003510921;BRDN0003511816;BRDN0003511268;BRDN0003511578;BRDN0003511253;BRDN0003511275;BRDN0003511359;BRDN0003510943;BRDN0003511363;BRDN0003511396;BRDN0003511022;BRDN0003511434;BRDN0003511256;BRDN0003511146;BRDN0003511060;BRDN0003511384;BRDN0003511749;BRDN0003511336;BRDN0003511134;BRDN0003511287;BRDN0003510882;BRDN0003510997;BRDN0003511756;BRDN0003511607;BRDN0003511524;BRDN0003511218;BRDN0003510979;BRDN0003511630;BRDN0003511781;BRDN0003511785;BRDN0003510955;BRDN0003511036;BRDN0003511466;BRDN0003511513;BRDN0003511550;BRDN0003511129;BRDN0003511341;BRDN0003511737;BRDN0003511560;BRDN0003511373;BRDN0003511037;BRDN0003511305;BRDN0003511774;BRDN0003511788;BRDN0003511173;BRDN0003511015;BRDN0003511718;BRDN0003511389;BRDN0003511248;BRDN0003511182;BRDN0003511809;BRDN0003511527;BRDN0003511623;BRDN0003511393;BRDN0003511777;BRDN0003511626;BRDN0003511508;BRDN0003511428;BRDN0003511471;BRDN0003510838;BRDN0003511165;BRDN0003511454;BRDN0003511319;BRDN0003511697;BRDN0003511149;BRDN0003511135;BRDN0003511565;BRDN0003511667;BRDN0003511439;BRDN0003510830;BRDN0003511013;BRDN0003511739;BRDN0003511606;BRDN0003511337;BRDN0003511572;BRDN0003511245;BRDN0003510862;BRDN0003511130;BRDN0003510910;BRDN0003511547;BRDN0003511646;BRDN0003511274;BRDN0003511372;BRDN0003511644;BRDN0003511447;BRDN0003511519;BRDN0003511418;BRDN0003511080;BRDN0003511541;BRDN0003511615;BRDN0003510988;BRDN0003511244;BRDN0003511700;BRDN0003511717;BRDN0003511035;BRDN0003511378;BRDN0003511750;BRDN0003511174;BRDN0003511310;BRDN0003510844;BRDN0003511392;BRDN0003511040;BRDN0003510859;BRDN0003510905;BRDN0003511159;BRDN0003511441;BRDN0003511064;BRDN0003511679;BRDN0003511815;BRDN0003510848;BRDN0003511278;BRDN0003511470;BRDN0003511763;BRDN0003511426;BRDN0003511628;BRDN0003511650;BRDN0003511482;BRDN0003511478;BRDN0003511765;BRDN0003511255;BRDN0003511346;BRDN0003511028;BRDN0003511633;BRDN0003511795;BRDN0003511436;BRDN0003511323;BRDN0003511355;BRDN0003510956;BRDN0003511425;BRDN0003511719;BRDN0003511353;BRDN0003511039;BRDN0003511674;BRDN0003511388;BRDN0003511101;BRDN0003511424;BRDN0003510894;BRDN0003510953;BRDN0003510887;BRDN0003511192;BRDN0003511590;BRDN0003511016;BRDN0003511557;BRDN0003511586;BRDN0003511792;BRDN0003511252;BRDN0003511112;BRDN0003511375;BRDN0003511651;BRDN0003511189;BRDN0003511681;BRDN0003511520;BRDN0003510963;BRDN0003511532;BRDN0003510935;BRDN0003510950;BRDN0003511197;BRDN0003511059;BRDN0003511229;BRDN0003511069;BRDN0003511759;BRDN0003511477;BRDN0003510920;BRDN0003510925;BRDN0003511660;BRDN0003511046;BRDN0003511511;BRDN0003511783;BRDN0003510863;BRDN0003511455;BRDN0003511108;BRDN0003511618;BRDN0003511654;BRDN0003511669;BRDN0003511156;BRDN0003511100;BRDN0003511309;BRDN0003511757;BRDN0003511123;BRDN0003511132;BRDN0003510890;BRDN0003511468;BRDN0003510948;BRDN0003511597;BRDN0003511663;BRDN0003511672;BRDN0003511767;BRDN0003511497;BRDN0003511240	548	6.827098330260558	3.5548718911349235	0.0	0.0	0.0
Igf1r	4	42;74;98;932	BRDN0003510586;BRDN0003510589;BRDN0003510588;BRDN0003510587	3	6.216928474464583	4.361991461933194	1.7934581818535023e-06	0.0006057405009209988	0.0006057405009209988
Atp6v0b	6	8;402;449;715;818;13245	BRDN0003495699;BRDN0003495698;BRDN0003495695;BRDN0003495696;BRDN0003495694;BRDN0003495697	5	5.995129121411997	3.7637996855580935	2.869533091032217e-06	0.0008614976013298709	0.0008614976013298709
Atp6v1b2	6	19;110;132;459;1096;2378	BRDN0003495742;BRDN0003495745;BRDN0003495746;BRDN0003495744;BRDN0003495747;BRDN0003495743	5	5.366787731768385	4.427818547498279	1.5423740364561844e-05	0.004167494646504524	0.004052954624513301
