p-value=0 means <3.586916362818826e-07, FDR=0 means <6.751089011448224e-05
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Pten	6	4;6;7;10;13;38	BRDN0003505886;BRDN0003505884;BRDN0003505885;BRDN0003505882;BRDN0003505887;BRDN0003505883	6	16.101978554957533	10.097185230944026	0.0	0.0	0.0
Scap	6	2;5;18;33;52;163	BRDN0003506218;BRDN0003506219;BRDN0003506222;BRDN0003506221;BRDN0003506223;BRDN0003506220	6	12.307554508234649	8.489277761482752	0.0	0.0	0.0
Kctd5	6	37;41;42;43;51;10621	BRDN0003502071;BRDN0003502069;BRDN0003502068;BRDN0003502070;BRDN0003502066;BRDN0003502067	5	12.002440554043483	5.907522990912244	0.0	0.0	0.0
Sod1	6	11;14;22;26;54;3741	BRDN0003508686;BRDN0003508684;BRDN0003508688;BRDN0003508689;BRDN0003508685;BRDN0003508687	5	11.8783938721087	6.868144261947858	0.0	0.0	0.0
Igf1r	4	9;15;17;29	BRDN0003510586;BRDN0003510588;BRDN0003510589;BRDN0003510587	4	11.204194764843106	6.95164616277496	0.0	0.0	0.0
Mtf1	6	16;23;27;32;3529;3860	BRDN0003503152;BRDN0003503155;BRDN0003503157;BRDN0003503153;BRDN0003503156;BRDN0003503154	4	9.858612273719697	5.153855145154492	0.0	0.0	0.0
Acly	6	156;164;214;282;355;434	BRDN0003494062;BRDN0003494065;BRDN0003494067;BRDN0003494064;BRDN0003494066;BRDN0003494063	6	9.75574175758333	5.400520228167854	0.0	0.0	0.0
Mbtps1	4	8;19;20;246	BRDN0003510613;BRDN0003510612;BRDN0003510610;BRDN0003510611	3	8.285663899313656	5.931677616340633	0.0	0.0	0.0
Asns	6	49;53;61;88;312;932	BRDN0003495347;BRDN0003495351;BRDN0003495349;BRDN0003495348;BRDN0003495346;BRDN0003495350	4	8.10394209461379	5.964955526620282	0.0	0.0	0.0
Alg3	6	117;126;145;167;324;1565	BRDN0003494870;BRDN0003494866;BRDN0003494867;BRDN0003494871;BRDN0003494868;BRDN0003494869	5	7.994097250659064	5.168508880922414	0.0	0.0	0.0
Pcyt1a	6	21;28;34;123;4360;10775	BRDN0003504472;BRDN0003504476;BRDN0003504473;BRDN0003504474;BRDN0003504475;BRDN0003504477	4	7.523919358160669	4.148602887673593	0.0	0.0	0.0
Ptdss1	6	1;12;25;314;432;3476	BRDN0003505874;BRDN0003505871;BRDN0003505875;BRDN0003505870;BRDN0003505872;BRDN0003505873	5	7.3720145643511605	5.597908117864652	0.0	0.0	0.0
