p-value=0 means <3.586916362818826e-07, FDR=0 means <0.00016182970990250736
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Rrm1	6	5;20;21;22;352;461	BRDN0003506146;BRDN0003506151;BRDN0003506150;BRDN0003506149;BRDN0003506147;BRDN0003506148	4	10.509047213650224	7.164000959036034	0.0	0.0	0.0
Pcyt1a	6	2;62;110;205;325;420	BRDN0003504472;BRDN0003504473;BRDN0003504476;BRDN0003504474;BRDN0003504477;BRDN0003504475	6	9.841184392270991	6.13307143807392	0.0	0.0	0.0
Hmgcs1	6	10;40;61;113;169;10795	BRDN0003500817;BRDN0003500816;BRDN0003500814;BRDN0003500812;BRDN0003500815;BRDN0003500813	5	9.403668734619332	5.205062919893046	0.0	0.0	0.0
Kras	4	1;6;13;418	BRDN0003510591;BRDN0003510590;BRDN0003510593;BRDN0003510592	3	8.846757936972313	6.31750527588333	0.0	0.0	0.0
Eif4a3	4	4;39;55;150	BRDN0003510556;BRDN0003510555;BRDN0003510554;BRDN0003510557	4	8.349421720216204	5.736497638283516	0.0	0.0	0.0
Atp1a1	6	9;17;60;142;346;1519	BRDN0003495469;BRDN0003495466;BRDN0003495470;BRDN0003495467;BRDN0003495468;BRDN0003495471	5	7.85197240581734	5.866892945942562	0.0	0.0	0.0
Control-target	1000	56;70;74;94;97;111;125;148;151;167;168;179;199;201;228;254;274;289;298;306;316;319;361;366;371;385;412;415;419;421;460;476;488;493;514;518;528;531;557;559;569;571;578;591;621;627;628;630;650;655;669;672;680;751;774;783;792;797;813;814;847;854;864;884;888;900;908;921;930;932;935;950;952;962;965;971;985;1031;1072;1082;1090;1092;1112;1115;1120;1156;1183;1185;1186;1191;1192;1205;1211;1214;1221;1248;1292;1294;1342;1368;1387;1421;1429;1488;1507;1509;1528;1550;1555;1561;1564;1573;1598;1621;1652;1656;1666;1688;1701;1736;1743;1771;1776;1780;1787;1802;1839;1854;1898;1921;1922;1929;1931;1952;1970;2007;2031;2033;2035;2039;2060;2074;2152;2160;2165;2169;2187;2195;2197;2200;2211;2229;2244;2261;2263;2277;2303;2314;2318;2320;2323;2348;2353;2371;2373;2377;2400;2410;2419;2455;2462;2464;2480;2504;2507;2526;2528;2534;2537;2539;2541;2543;2562;2563;2593;2622;2643;2652;2710;2717;2775;2782;2785;2808;2809;2815;2838;2875;2959;2984;2997;2998;3019;3032;3033;3036;3042;3048;3049;3083;3090;3091;3095;3168;3172;3178;3199;3201;3205;3250;3254;3264;3280;3282;3300;3309;3325;3351;3355;3388;3389;3410;3417;3482;3516;3521;3543;3566;3572;3578;3621;3629;3652;3657;3674;3681;3782;3790;3809;3819;3825;3905;3928;3930;3931;3954;3975;3982;4018;4026;4031;4038;4040;4041;4082;4088;4106;4112;4125;4172;4184;4190;4231;4259;4265;4269;4276;4284;4292;4314;4327;4339;4341;4373;4382;4396;4404;4406;4413;4438;4456;4496;4497;4498;4514;4525;4526;4536;4577;4590;4605;4610;4625;4639;4645;4646;4651;4660;4661;4665;4740;4756;4761;4764;4776;4780;4781;4789;4809;4813;4829;4839;4841;4845;4852;4902;4914;4940;4971;4975;4988;4994;5008;5014;5028;5040;5046;5055;5097;5111;5118;5119;5124;5139;5149;5163;5176;5226;5255;5276;5291;5295;5311;5315;5339;5348;5371;5376;5389;5400;5403;5471;5497;5526;5541;5552;5570;5576;5619;5639;5648;5662;5666;5672;5694;5706;5754;5780;5861;5862;5865;5870;5887;5911;5916;5924;5956;5973;5983;5985;6019;6025;6028;6036;6051;6078;6093;6127;6134;6140;6156;6159;6173;6204;6223;6242;6243;6250;6260;6297;6307;6328;6332;6362;6370;6373;6380;6389;6416;6442;6449;6468;6486;6512;6518;6555;6580;6603;6620;6645;6690;6701;6721;6745;6782;6792;6802;6806;6823;6857;6861;6883;6898;6938;6955;6971;7017;7037;7054;7076;7091;7125;7171;7173;7192;7194;7205;7220;7221;7227;7228;7280;7331;7358;7435;7456;7478;7541;7559;7563;7575;7600;7624;7631;7675;7680;7694;7716;7721;7730;7752;7754;7767;7807;7811;7819;7858;7873;7878;7913;7941;7946;7953;7957;7962;8006;8008;8022;8026;8047;8060;8073;8078;8091;8094;8102;8104;8116;8122;8142;8154;8165;8185;8213;8250;8257;8285;8295;8311;8345;8356;8358;8378;8402;8465;8480;8485;8511;8530;8536;8542;8576;8602;8610;8664;8718;8723;8732;8762;8774;8814;8828;8831;8834;8835;8895;8940;8989;8995;8998;9035;9049;9050;9059;9061;9075;9086;9095;9096;9103;9104;9107;9119;9131;9164;9191;9193;9209;9227;9235;9245;9249;9271;9312;9313;9319;9391;9488;9489;9504;9510;9532;9540;9557;9558;9567;9573;9601;9611;9668;9691;9695;9705;9726;9733;9739;9746;9758;9774;9785;9799;9801;9898;9915;9934;9937;9953;9955;9975;9978;9985;10078;10079;10107;10133;10139;10166;10175;10208;10266;10336;10337;10353;10369;10374;10388;10434;10461;10509;10512;10515;10577;10583;10591;10620;10635;10661;10670;10676;10711;10724;10730;10749;10770;10831;10852;10857;10874;10897;10913;10914;10920;10926;10937;10984;10998;11026;11046;11054;11101;11107;11134;11173;11181;11200;11230;11267;11292;11295;11345;11393;11408;11409;11429;11433;11458;11459;11494;11503;11517;11575;11595;11616;11654;11689;11695;11696;11732;11758;11761;11770;11777;11807;11838;11866;11880;11912;11916;11920;11923;11935;11941;11983;11988;12016;12045;12049;12098;12100;12103;12114;12140;12148;12158;12162;12179;12185;12186;12203;12223;12247;12260;12272;12281;12379;12404;12469;12490;12496;12541;12571;12616;12693;12694;12703;12789;12794;12817;12829;12843;12878;12886;12888;12901;12917;12961;12963;12991;13007;13009;13012;13015;13036;13110;13129;13143;13176;13177;13180;13181;13209;13264;13303;13312;13334;13342;13378;13402;13410;13432;13437;13468;13470;13473;13482;13498;13511;13521;13523;13532;13534;13541;13549;13560;13565;13568;13575;13599;13642;13680;13694;13702;13713;13728;13732;13760;13806;13812;13817;13845;13847;13885;13893;13904;13960;13996;14024;14035;14085;14103;14109;14114;14143;14147;14184;14186;14193;14257;14263;14298;14302;14362;14404;14424;14501;14507;14567;14596;14639;14646;14651;14691;14713;14739;14742;14749;14803;14875;14880;14899;14903;14918;14922;14947;14994;14998;15004;15029;15063;15102;15135;15152;15157;15168;15178;15182;15184;15185;15201;15204;15232;15265;15271;15317;15318;15331;15370;15393;15432;15456;15483;15528;15531;15646;15655;15686;15691;15697;15702;15706;15730;15751;15753;15765;15797;15818;15819;15876;15889;15926;15930;15937;15941;15962;15966;15980;15985;16006;16007;16063;16099;16124;16146;16190;16205;16245;16250;16263;16311;16335;16344;16352;16359;16398;16407;16437;16475;16486;16533;16545;16567;16575;16629;16698;16699;16700;16704;16712;16770;16799;16801;16835;16838;16877;16917;16940;16945;16949;16952;16975;17017;17018;17073;17076;17110;17192;17204;17222;17235;17243;17296;17306;17333;17341;17357;17366;17377;17383;17397;17430;17457;17461;17467;17500;17503;17546;17563;17586;17602;17632;17653;17722;17752;17763;17787;17820;17831;17850;17855;17910;17985;17987;17997;18015;18020;18024;18081;18088;18119;18131;18170;18223;18233;18246;18259;18293;18298;18316;18325;18342	BRDN0003510881;BRDN0003511803;BRDN0003511163;BRDN0003511211;BRDN0003511116;BRDN0003511642;BRDN0003511787;BRDN0003511057;BRDN0003511281;BRDN0003511409;BRDN0003510933;BRDN0003511485;BRDN0003511169;BRDN0003511249;BRDN0003511315;BRDN0003511366;BRDN0003511021;BRDN0003510969;BRDN0003511222;BRDN0003510909;BRDN0003510966;BRDN0003511417;BRDN0003511273;BRDN0003511098;BRDN0003511158;BRDN0003511224;BRDN0003511314;BRDN0003511063;BRDN0003511743;BRDN0003511177;BRDN0003511383;BRDN0003511637;BRDN0003510970;BRDN0003510914;BRDN0003510983;BRDN0003511382;BRDN0003511084;BRDN0003511097;BRDN0003510922;BRDN0003511250;BRDN0003511227;BRDN0003511640;BRDN0003511603;BRDN0003510959;BRDN0003511561;BRDN0003511605;BRDN0003511731;BRDN0003511535;BRDN0003511600;BRDN0003510837;BRDN0003511270;BRDN0003511171;BRDN0003511049;BRDN0003511352;BRDN0003511632;BRDN0003510938;BRDN0003511153;BRDN0003510897;BRDN0003511283;BRDN0003511041;BRDN0003511231;BRDN0003511160;BRDN0003511411;BRDN0003510968;BRDN0003510822;BRDN0003510839;BRDN0003511007;BRDN0003511533;BRDN0003510947;BRDN0003510958;BRDN0003511638;BRDN0003511011;BRDN0003510939;BRDN0003511738;BRDN0003511318;BRDN0003511047;BRDN0003511109;BRDN0003511686;BRDN0003511038;BRDN0003511067;BRDN0003511114;BRDN0003510941;BRDN0003511205;BRDN0003511817;BRDN0003510949;BRDN0003511537;BRDN0003511033;BRDN0003511339;BRDN0003510998;BRDN0003511090;BRDN0003511241;BRDN0003510951;BRDN0003511120;BRDN0003511429;BRDN0003511068;BRDN0003511054;BRDN0003511662;BRDN0003510990;BRDN0003511145;BRDN0003511381;BRDN0003511267;BRDN0003510915;BRDN0003510872;BRDN0003511484;BRDN0003511073;BRDN0003511481;BRDN0003511096;BRDN0003511423;BRDN0003511298;BRDN0003510840;BRDN0003511102;BRDN0003510906;BRDN0003511105;BRDN0003511291;BRDN0003511113;BRDN0003511232;BRDN0003511307;BRDN0003511534;BRDN0003511813;BRDN0003510834;BRDN0003511812;BRDN0003511008;BRDN0003511598;BRDN0003511012;BRDN0003511254;BRDN0003511814;BRDN0003510823;BRDN0003511026;BRDN0003511744;BRDN0003510916;BRDN0003511753;BRDN0003511058;BRDN0003511300;BRDN0003510825;BRDN0003511181;BRDN0003511210;BRDN0003511459;BRDN0003511629;BRDN0003511325;BRDN0003511029;BRDN0003510846;BRDN0003511162;BRDN0003511294;BRDN0003511779;BRDN0003510907;BRDN0003511546;BRDN0003511183;BRDN0003511010;BRDN0003511678;BRDN0003511000;BRDN0003511377;BRDN0003511062;BRDN0003511306;BRDN0003511664;BRDN0003510927;BRDN0003511217;BRDN0003511299;BRDN0003511236;BRDN0003511706;BRDN0003511437;BRDN0003510896;BRDN0003511555;BRDN0003510931;BRDN0003511523;BRDN0003511115;BRDN0003511808;BRDN0003510994;BRDN0003511574;BRDN0003511699;BRDN0003511708;BRDN0003510843;BRDN0003510975;BRDN0003511390;BRDN0003511304;BRDN0003511342;BRDN0003511543;BRDN0003511042;BRDN0003511558;BRDN0003511736;BRDN0003511427;BRDN0003511530;BRDN0003511489;BRDN0003511492;BRDN0003511075;BRDN0003511200;BRDN0003511083;BRDN0003510928;BRDN0003511203;BRDN0003511729;BRDN0003511397;BRDN0003511230;BRDN0003511551;BRDN0003511161;BRDN0003511414;BRDN0003511193;BRDN0003511483;BRDN0003511003;BRDN0003511592;BRDN0003510986;BRDN0003511401;BRDN0003511549;BRDN0003510972;BRDN0003511676;BRDN0003510980;BRDN0003510870;BRDN0003511379;BRDN0003511732;BRDN0003511480;BRDN0003511624;BRDN0003510989;BRDN0003511746;BRDN0003511431;BRDN0003511635;BRDN0003511461;BRDN0003511104;BRDN0003511297;BRDN0003511456;BRDN0003511581;BRDN0003511688;BRDN0003510883;BRDN0003510889;BRDN0003511797;BRDN0003511798;BRDN0003511034;BRDN0003510991;BRDN0003510962;BRDN0003511677;BRDN0003511167;BRDN0003511659;BRDN0003511195;BRDN0003511771;BRDN0003511343;BRDN0003511172;BRDN0003511066;BRDN0003511531;BRDN0003511440;BRDN0003511023;BRDN0003511433;BRDN0003511354;BRDN0003510965;BRDN0003511705;BRDN0003511410;BRDN0003511330;BRDN0003511584;BRDN0003511711;BRDN0003510908;BRDN0003511317;BRDN0003511334;BRDN0003511616;BRDN0003510868;BRDN0003511285;BRDN0003510854;BRDN0003511092;BRDN0003511361;BRDN0003510847;BRDN0003511415;BRDN0003511673;BRDN0003511329;BRDN0003511704;BRDN0003511196;BRDN0003511680;BRDN0003511504;BRDN0003511142;BRDN0003511180;BRDN0003511742;BRDN0003511692;BRDN0003511583;BRDN0003511514;BRDN0003511045;BRDN0003511599;BRDN0003511419;BRDN0003510850;BRDN0003510874;BRDN0003511580;BRDN0003511453;BRDN0003511450;BRDN0003510884;BRDN0003511761;BRDN0003511467;BRDN0003511661;BRDN0003510929;BRDN0003511079;BRDN0003511690;BRDN0003511671;BRDN0003511131;BRDN0003511206;BRDN0003511272;BRDN0003510851;BRDN0003511078;BRDN0003511237;BRDN0003511266;BRDN0003511316;BRDN0003511191;BRDN0003511645;BRDN0003511569;BRDN0003511510;BRDN0003511562;BRDN0003511577;BRDN0003511262;BRDN0003511179;BRDN0003511474;BRDN0003511061;BRDN0003510871;BRDN0003510857;BRDN0003511507;BRDN0003510824;BRDN0003511327;BRDN0003511014;BRDN0003511282;BRDN0003511185;BRDN0003511594;BRDN0003510936;BRDN0003511150;BRDN0003511819;BRDN0003511394;BRDN0003511018;BRDN0003511772;BRDN0003511398;BRDN0003511776;BRDN0003511194;BRDN0003511385;BRDN0003511509;BRDN0003510937;BRDN0003511140;BRDN0003510827;BRDN0003511166;BRDN0003511091;BRDN0003511360;BRDN0003511726;BRDN0003510836;BRDN0003511143;BRDN0003510860;BRDN0003510877;BRDN0003511326;BRDN0003511133;BRDN0003511595;BRDN0003511051;BRDN0003511136;BRDN0003511751;BRDN0003511391;BRDN0003511473;BRDN0003510976;BRDN0003511420;BRDN0003511087;BRDN0003511141;BRDN0003511350;BRDN0003511215;BRDN0003511085;BRDN0003511235;BRDN0003511715;BRDN0003511258;BRDN0003510934;BRDN0003511288;BRDN0003511178;BRDN0003511221;BRDN0003510833;BRDN0003511422;BRDN0003511188;BRDN0003511722;BRDN0003511335;BRDN0003510891;BRDN0003510961;BRDN0003511460;BRDN0003511043;BRDN0003510930;BRDN0003511801;BRDN0003511694;BRDN0003511553;BRDN0003511331;BRDN0003511302;BRDN0003511199;BRDN0003511712;BRDN0003511587;BRDN0003510992;BRDN0003511610;BRDN0003511146;BRDN0003510957;BRDN0003510967;BRDN0003511126;BRDN0003511152;BRDN0003511665;BRDN0003510919;BRDN0003511332;BRDN0003511643;BRDN0003511639;BRDN0003511764;BRDN0003511001;BRDN0003511367;BRDN0003511768;BRDN0003511614;BRDN0003511368;BRDN0003511305;BRDN0003511448;BRDN0003511099;BRDN0003511184;BRDN0003511404;BRDN0003511769;BRDN0003511609;BRDN0003511487;BRDN0003511545;BRDN0003511277;BRDN0003511536;BRDN0003511702;BRDN0003511784;BRDN0003511522;BRDN0003511601;BRDN0003511024;BRDN0003510852;BRDN0003511324;BRDN0003511602;BRDN0003511349;BRDN0003510829;BRDN0003511667;BRDN0003511463;BRDN0003511762;BRDN0003511806;BRDN0003511539;BRDN0003511740;BRDN0003510917;BRDN0003511502;BRDN0003511129;BRDN0003511370;BRDN0003511311;BRDN0003510828;BRDN0003511269;BRDN0003511292;BRDN0003511147;BRDN0003511405;BRDN0003511775;BRDN0003511128;BRDN0003510861;BRDN0003511713;BRDN0003511652;BRDN0003510904;BRDN0003511653;BRDN0003511155;BRDN0003511214;BRDN0003511649;BRDN0003510923;BRDN0003511246;BRDN0003511548;BRDN0003511077;BRDN0003511006;BRDN0003511247;BRDN0003511571;BRDN0003511356;BRDN0003511321;BRDN0003511050;BRDN0003511589;BRDN0003511820;BRDN0003511201;BRDN0003511127;BRDN0003511796;BRDN0003511119;BRDN0003511186;BRDN0003511438;BRDN0003510862;BRDN0003511766;BRDN0003511341;BRDN0003511089;BRDN0003511005;BRDN0003510832;BRDN0003511552;BRDN0003510973;BRDN0003511501;BRDN0003511138;BRDN0003511338;BRDN0003511110;BRDN0003511009;BRDN0003511400;BRDN0003511503;BRDN0003511190;BRDN0003510880;BRDN0003511570;BRDN0003511445;BRDN0003511286;BRDN0003511004;BRDN0003510926;BRDN0003511320;BRDN0003511094;BRDN0003511446;BRDN0003511416;BRDN0003511703;BRDN0003511541;BRDN0003511164;BRDN0003511476;BRDN0003511790;BRDN0003510899;BRDN0003511340;BRDN0003511402;BRDN0003510869;BRDN0003511791;BRDN0003511242;BRDN0003511695;BRDN0003511149;BRDN0003511333;BRDN0003510873;BRDN0003511022;BRDN0003511593;BRDN0003511263;BRDN0003510875;BRDN0003510985;BRDN0003511675;BRDN0003511442;BRDN0003511613;BRDN0003511198;BRDN0003511658;BRDN0003511494;BRDN0003511182;BRDN0003511264;BRDN0003511111;BRDN0003510845;BRDN0003511017;BRDN0003511458;BRDN0003511019;BRDN0003511369;BRDN0003511212;BRDN0003511289;BRDN0003511567;BRDN0003510892;BRDN0003511493;BRDN0003511027;BRDN0003511144;BRDN0003511656;BRDN0003511220;BRDN0003511684;BRDN0003511465;BRDN0003510866;BRDN0003511542;BRDN0003511682;BRDN0003511810;BRDN0003511517;BRDN0003511365;BRDN0003511395;BRDN0003510888;BRDN0003510826;BRDN0003511055;BRDN0003511344;BRDN0003510864;BRDN0003510999;BRDN0003511441;BRDN0003510945;BRDN0003511207;BRDN0003511526;BRDN0003510932;BRDN0003511506;BRDN0003511566;BRDN0003511575;BRDN0003511710;BRDN0003511065;BRDN0003511413;BRDN0003510898;BRDN0003511821;BRDN0003510982;BRDN0003511619;BRDN0003511525;BRDN0003511582;BRDN0003511176;BRDN0003511556;BRDN0003511081;BRDN0003511451;BRDN0003511430;BRDN0003511698;BRDN0003511296;BRDN0003510913;BRDN0003511233;BRDN0003511151;BRDN0003511209;BRDN0003511443;BRDN0003511668;BRDN0003511544;BRDN0003511475;BRDN0003511464;BRDN0003511770;BRDN0003511496;BRDN0003511727;BRDN0003511789;BRDN0003511752;BRDN0003511518;BRDN0003511121;BRDN0003511071;BRDN0003510841;BRDN0003511634;BRDN0003511187;BRDN0003511488;BRDN0003511259;BRDN0003511432;BRDN0003510954;BRDN0003510952;BRDN0003511818;BRDN0003511086;BRDN0003511399;BRDN0003511157;BRDN0003511154;BRDN0003511612;BRDN0003511052;BRDN0003511604;BRDN0003511376;BRDN0003511348;BRDN0003511408;BRDN0003511540;BRDN0003511579;BRDN0003511748;BRDN0003511387;BRDN0003511683;BRDN0003511641;BRDN0003511687;BRDN0003511030;BRDN0003511479;BRDN0003510849;BRDN0003511257;BRDN0003511295;BRDN0003511755;BRDN0003511268;BRDN0003511617;BRDN0003511218;BRDN0003511088;BRDN0003511452;BRDN0003511725;BRDN0003511393;BRDN0003511418;BRDN0003511093;BRDN0003511421;BRDN0003511750;BRDN0003510978;BRDN0003510855;BRDN0003511351;BRDN0003511175;BRDN0003510942;BRDN0003511053;BRDN0003511786;BRDN0003511428;BRDN0003511371;BRDN0003511202;BRDN0003511730;BRDN0003511804;BRDN0003511716;BRDN0003511816;BRDN0003511691;BRDN0003511811;BRDN0003511287;BRDN0003511568;BRDN0003510853;BRDN0003511290;BRDN0003511449;BRDN0003511124;BRDN0003511122;BRDN0003511337;BRDN0003511358;BRDN0003511538;BRDN0003511807;BRDN0003511564;BRDN0003511745;BRDN0003511685;BRDN0003511550;BRDN0003511734;BRDN0003511701;BRDN0003511636;BRDN0003511216;BRDN0003511223;BRDN0003511721;BRDN0003511280;BRDN0003511648;BRDN0003511573;BRDN0003511709;BRDN0003511608;BRDN0003511336;BRDN0003511032;BRDN0003511572;BRDN0003510911;BRDN0003511444;BRDN0003511056;BRDN0003510987;BRDN0003511499;BRDN0003511347;BRDN0003510918;BRDN0003511373;BRDN0003511219;BRDN0003511621;BRDN0003511031;BRDN0003511741;BRDN0003511462;BRDN0003510842;BRDN0003511020;BRDN0003510956;BRDN0003511159;BRDN0003511407;BRDN0003511723;BRDN0003511095;BRDN0003511622;BRDN0003511125;BRDN0003511596;BRDN0003511720;BRDN0003511700;BRDN0003511717;BRDN0003511554;BRDN0003511454;BRDN0003510858;BRDN0003511490;BRDN0003510971;BRDN0003511495;BRDN0003511793;BRDN0003511799;BRDN0003511243;BRDN0003510997;BRDN0003511044;BRDN0003511800;BRDN0003511301;BRDN0003511515;BRDN0003510944;BRDN0003510960;BRDN0003511655;BRDN0003511265;BRDN0003511245;BRDN0003511253;BRDN0003511782;BRDN0003511255;BRDN0003511328;BRDN0003511260;BRDN0003511693;BRDN0003510831;BRDN0003511015;BRDN0003511630;BRDN0003510902;BRDN0003511647;BRDN0003511275;BRDN0003511781;BRDN0003511204;BRDN0003510964;BRDN0003510886;BRDN0003511739;BRDN0003511406;BRDN0003511778;BRDN0003511591;BRDN0003511794;BRDN0003511239;BRDN0003510893;BRDN0003511516;BRDN0003511689;BRDN0003511322;BRDN0003511657;BRDN0003511403;BRDN0003511060;BRDN0003510993;BRDN0003511137;BRDN0003511670;BRDN0003510867;BRDN0003510996;BRDN0003511035;BRDN0003511074;BRDN0003511521;BRDN0003510900;BRDN0003511234;BRDN0003511313;BRDN0003511363;BRDN0003511547;BRDN0003511378;BRDN0003511486;BRDN0003511284;BRDN0003511208;BRDN0003511760;BRDN0003511505;BRDN0003511380;BRDN0003511628;BRDN0003510977;BRDN0003511261;BRDN0003511666;BRDN0003511728;BRDN0003510859;BRDN0003511278;BRDN0003511631;BRDN0003511076;BRDN0003510984;BRDN0003510830;BRDN0003511256;BRDN0003511312;BRDN0003510979;BRDN0003510838;BRDN0003511271;BRDN0003511491;BRDN0003511563;BRDN0003511585;BRDN0003511802;BRDN0003511002;BRDN0003511466;BRDN0003511697;BRDN0003511500;BRDN0003511357;BRDN0003510901;BRDN0003510912;BRDN0003511139;BRDN0003511733;BRDN0003511276;BRDN0003510856;BRDN0003511279;BRDN0003511626;BRDN0003510844;BRDN0003511756;BRDN0003511646;BRDN0003511679;BRDN0003511048;BRDN0003511308;BRDN0003510910;BRDN0003511070;BRDN0003511355;BRDN0003510865;BRDN0003511238;BRDN0003511117;BRDN0003511345;BRDN0003511359;BRDN0003510905;BRDN0003511627;BRDN0003511620;BRDN0003511758;BRDN0003511724;BRDN0003511457;BRDN0003511072;BRDN0003511747;BRDN0003510946;BRDN0003511173;BRDN0003511364;BRDN0003511615;BRDN0003510879;BRDN0003511749;BRDN0003511611;BRDN0003511372;BRDN0003511037;BRDN0003511013;BRDN0003511251;BRDN0003511293;BRDN0003511189;BRDN0003511754;BRDN0003510943;BRDN0003511389;BRDN0003511310;BRDN0003511107;BRDN0003511244;BRDN0003510940;BRDN0003511130;BRDN0003511319;BRDN0003511625;BRDN0003511165;BRDN0003511735;BRDN0003511815;BRDN0003511226;BRDN0003511213;BRDN0003511719;BRDN0003511148;BRDN0003511135;BRDN0003511134;BRDN0003511106;BRDN0003511170;BRDN0003511435;BRDN0003511384;BRDN0003511498;BRDN0003511374;BRDN0003511248;BRDN0003510835;BRDN0003511513;BRDN0003510882;BRDN0003511780;BRDN0003510988;BRDN0003511225;BRDN0003510876;BRDN0003510974;BRDN0003511560;BRDN0003511472;BRDN0003511412;BRDN0003511425;BRDN0003511396;BRDN0003511714;BRDN0003511707;BRDN0003511765;BRDN0003511527;BRDN0003511439;BRDN0003510903;BRDN0003510924;BRDN0003511025;BRDN0003511101;BRDN0003511112;BRDN0003510895;BRDN0003511392;BRDN0003511788;BRDN0003511028;BRDN0003511576;BRDN0003511644;BRDN0003511103;BRDN0003511386;BRDN0003511607;BRDN0003510955;BRDN0003511362;BRDN0003511469;BRDN0003511118;BRDN0003511805;BRDN0003511040;BRDN0003511606;BRDN0003511651;BRDN0003511759;BRDN0003511696;BRDN0003511447;BRDN0003511586;BRDN0003510995;BRDN0003510953;BRDN0003511508;BRDN0003511623;BRDN0003511524;BRDN0003511274;BRDN0003511557;BRDN0003511737;BRDN0003510981;BRDN0003511174;BRDN0003510885;BRDN0003511426;BRDN0003511036;BRDN0003510921;BRDN0003511559;BRDN0003511773;BRDN0003511529;BRDN0003511388;BRDN0003511777;BRDN0003511512;BRDN0003510920;BRDN0003511809;BRDN0003511650;BRDN0003511528;BRDN0003511069;BRDN0003511039;BRDN0003511718;BRDN0003511482;BRDN0003511588;BRDN0003511470;BRDN0003511633;BRDN0003511252;BRDN0003511082;BRDN0003511434;BRDN0003511424;BRDN0003511353;BRDN0003510878;BRDN0003511303;BRDN0003511774;BRDN0003511228;BRDN0003510950;BRDN0003511168;BRDN0003511064;BRDN0003510848;BRDN0003511192;BRDN0003511059;BRDN0003511323;BRDN0003511578;BRDN0003511795;BRDN0003511792;BRDN0003511436;BRDN0003511197;BRDN0003511519;BRDN0003511471;BRDN0003511763;BRDN0003511590;BRDN0003511681;BRDN0003511346;BRDN0003511016;BRDN0003511565;BRDN0003511674;BRDN0003511046;BRDN0003511618;BRDN0003511511;BRDN0003511785;BRDN0003510894;BRDN0003510887;BRDN0003511660;BRDN0003510863;BRDN0003511478;BRDN0003511229;BRDN0003511080;BRDN0003511520;BRDN0003510963;BRDN0003511532;BRDN0003511375;BRDN0003511654;BRDN0003510935;BRDN0003511783;BRDN0003511455;BRDN0003511156;BRDN0003511123;BRDN0003511108;BRDN0003510925;BRDN0003511669;BRDN0003511477;BRDN0003511309;BRDN0003511100;BRDN0003511757;BRDN0003511132;BRDN0003510948;BRDN0003510890;BRDN0003511468;BRDN0003511597;BRDN0003511663;BRDN0003511672;BRDN0003511767;BRDN0003511497;BRDN0003511240	418	6.1132897093721175	4.278023654458741	1.7934581818535023e-06	0.0006935558997539349	0.0006935558997539349
Atp6v1b2	6	66;68;119;881;1355;2114	BRDN0003495745;BRDN0003495742;BRDN0003495746;BRDN0003495747;BRDN0003495744;BRDN0003495743	6	5.630050236829949	4.220046395757415	6.815141091243149e-06	0.0023060733667494295	0.0023060733667494295
Atp6v0b	6	7;231;260;482;997;5569	BRDN0003495699;BRDN0003495695;BRDN0003495696;BRDN0003495698;BRDN0003495694;BRDN0003495697	5	5.569878788538394	3.899024266010602	7.891216000421863e-06	0.0023735024125713417	0.0023735024125713417
Mbtps2	4	170;389;653;866	BRDN0003510616;BRDN0003510615;BRDN0003510617;BRDN0003510614	4	5.303715188369544	3.2733827571647454	1.8293273455705084e-05	0.004951989124459355	0.00476662054761273
