p-value=0 means <3.586916362818826e-07, FDR=0 means <8.791205921963317e-05
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Fdft1	6	8;15;51;62;65;276	BRDN0003498983;BRDN0003498982;BRDN0003498986;BRDN0003498984;BRDN0003498987;BRDN0003498985	5	11.476057189223273	7.512628904679572	0.0	0.0	0.0
Dld	6	38;53;75;140;165;15760	BRDN0003498292;BRDN0003498296;BRDN0003498294;BRDN0003498293;BRDN0003498297;BRDN0003498295	5	9.455586955989027	5.688436536031044	0.0	0.0	0.0
B3galt6	6	82;203;254;337;370;524	BRDN0003495931;BRDN0003495929;BRDN0003495930;BRDN0003495933;BRDN0003495928;BRDN0003495932	6	9.264692412756036	5.230705205177536	0.0	0.0	0.0
Cpox	6	22;35;57;76;189;876	BRDN0003497398;BRDN0003497401;BRDN0003497399;BRDN0003497400;BRDN0003497402;BRDN0003497403	5	9.161271455756438	6.347029691459688	0.0	0.0	0.0
Pmvk	6	24;45;114;176;270;577	BRDN0003505572;BRDN0003505574;BRDN0003505575;BRDN0003505570;BRDN0003505573;BRDN0003505571	6	9.013625255724008	5.964939812680143	0.0	0.0	0.0
Hmbs	6	10;14;20;101;207;1132	BRDN0003500792;BRDN0003500790;BRDN0003500791;BRDN0003500793;BRDN0003500788;BRDN0003500789	5	8.964159597073712	6.536826820153422	0.0	0.0	0.0
Hsd17b10	6	41;133;171;357;446;668	BRDN0003500980;BRDN0003500982;BRDN0003500983;BRDN0003500981;BRDN0003500984;BRDN0003500985	6	8.63202135980512	5.235808760237323	0.0	0.0	0.0
Mocs3	6	29;103;146;324;394;3285	BRDN0003503054;BRDN0003503053;BRDN0003503055;BRDN0003503051;BRDN0003503052;BRDN0003503050	5	7.5710317142858425	4.7119004674240985	0.0	0.0	0.0
Fdps	6	1;11;37;199;684;1110	BRDN0003498988;BRDN0003498992;BRDN0003498989;BRDN0003498993;BRDN0003498990;BRDN0003498991	6	7.30874226193845	5.987102661110607	0.0	0.0	0.0
Supt5	4	5;85;96;350	BRDN0003510795;BRDN0003510796;BRDN0003510797;BRDN0003510794	4	6.877514579037827	4.994492675956595	0.0	0.0	0.0
B4galt7	6	79;95;303;782;885;1321	BRDN0003496069;BRDN0003496067;BRDN0003496066;BRDN0003496068;BRDN0003496070;BRDN0003496071	6	6.855263228971232	4.348653473349069	0.0	0.0	0.0
Ndufa1	6	259;298;773;848;968;1432	BRDN0003503467;BRDN0003503466;BRDN0003503468;BRDN0003503464;BRDN0003503465;BRDN0003503469	6	6.645022026827373	3.816345640126325	3.586916362818826e-07	8.05860542846632e-05	8.05860542846632e-05
Cdipt	6	222;234;677;1020;1237;1752	BRDN0003496583;BRDN0003496586;BRDN0003496587;BRDN0003496585;BRDN0003496584;BRDN0003496582	6	6.119475523666023	3.66110471992275	1.7934581818535023e-06	0.00037193563525208764	0.00036263724437452064
Lias	6	173;480;663;682;788;5587	BRDN0003502332;BRDN0003502334;BRDN0003502333;BRDN0003502331;BRDN0003502335;BRDN0003502330	5	6.075521702806403	3.35392499523682	2.152149818246407e-06	0.0004144425649994566	0.00036263724437452064
Cflar	4	3;7;733;3895	BRDN0003510535;BRDN0003510536;BRDN0003510534;BRDN0003510537	2	6.05887759743353	3.8864483031080255	2.152149818246407e-06	0.0003868130606661573	0.00036263724437452064
Mvd	6	32;90;170;292;1462;14673	BRDN0003503225;BRDN0003503224;BRDN0003503227;BRDN0003503228;BRDN0003503226;BRDN0003503229	4	6.030103057325688	4.20508340548027	2.152149818246407e-06	0.00036263724437452064	0.00036263724437452064
Slc25a3	6	52;64;136;295;2428;2874	BRDN0003507260;BRDN0003507259;BRDN0003507261;BRDN0003507258;BRDN0003507256;BRDN0003507257	4	6.012490775021728	4.1891862488421605	2.869533091032217e-06	0.0004550741890248813	0.0004550741890248813
Mthfd1	6	74;302;626;815;908;9771	BRDN0003503160;BRDN0003503163;BRDN0003503161;BRDN0003503158;BRDN0003503159;BRDN0003503162	5	5.77070260001968	3.1455988422581216	5.0216829093896465e-06	0.0007521365068730354	0.0007367867822450114
Paics	6	152;214;277;347;6264;9158	BRDN0003504359;BRDN0003504362;BRDN0003504363;BRDN0003504360;BRDN0003504358;BRDN0003504361	4	5.732967274461359	2.9154498636085417	5.739066182175456e-06	0.0008143432856392177	0.0007367867822450114
Slc25a26	6	100;327;387;517;1890;2066	BRDN0003507237;BRDN0003507233;BRDN0003507235;BRDN0003507232;BRDN0003507236;BRDN0003507234	6	5.689898231556784	3.757758494604525	5.739066182175456e-06	0.0007736261213572537	0.0007367867822450114
Bcs1l	6	427;489;572;622;1682;2072	BRDN0003496122;BRDN0003496123;BRDN0003496121;BRDN0003496125;BRDN0003496124;BRDN0003496120	6	5.682341628219223	3.508351418867879	5.739066182175456e-06	0.0007367867822450114	0.0007367867822450114
Ndufs8	6	430;796;940;984;1106;11138	BRDN0003503674;BRDN0003503676;BRDN0003503677;BRDN0003503675;BRDN0003503678;BRDN0003503679	5	5.347316764015024	2.8937570457884565	1.6858506910133464e-05	0.0020659333922600116	0.0019761102012921783
Pik3ca	6	27;219;481;1021;1108;18329	BRDN0003505081;BRDN0003505079;BRDN0003505082;BRDN0003505080;BRDN0003505083;BRDN0003505078	5	5.343443993703144	3.4920384730520797	1.6858506910133464e-05	0.0019761102012921783	0.0019761102012921783
