p-value=0 means <3.586916362818826e-07, FDR=0 means <7.491136865425456e-05
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Hmbs	6	9;10;13;26;108;136	BRDN0003500792;BRDN0003500790;BRDN0003500793;BRDN0003500791;BRDN0003500788;BRDN0003500789	6	12.779446684437088	8.234213497865133	0.0	0.0	0.0
B3galt6	6	1;4;28;42;170;262	BRDN0003495931;BRDN0003495930;BRDN0003495932;BRDN0003495933;BRDN0003495929;BRDN0003495928	6	11.070872386739923	7.771790789209463	0.0	0.0	0.0
Cox11	6	94;115;433;482;528;549	BRDN0003497283;BRDN0003497282;BRDN0003497280;BRDN0003497281;BRDN0003497279;BRDN0003497278	6	9.143246067957843	4.937518539267665	0.0	0.0	0.0
Mogs	6	58;63;431;440;535;617	BRDN0003503072;BRDN0003503068;BRDN0003503073;BRDN0003503071;BRDN0003503070;BRDN0003503069	6	8.838969150458945	5.029635854966094	0.0	0.0	0.0
Hsd17b10	6	6;17;23;80;279;750	BRDN0003500985;BRDN0003500984;BRDN0003500980;BRDN0003500983;BRDN0003500981;BRDN0003500982	6	8.330312554308195	6.653715644343509	0.0	0.0	0.0
Cpox	6	3;74;92;100;473;3326	BRDN0003497398;BRDN0003497399;BRDN0003497400;BRDN0003497401;BRDN0003497402;BRDN0003497403	4	7.8824439728210685	5.290017070320069	0.0	0.0	0.0
Control-target	1000	105;142;249;271;355;367;369;370;421;503;505;516;537;545;559;583;593;608;621;628;639;656;659;668;670;672;677;744;753;811;876;878;901;936;951;1002;1081;1105;1118;1121;1124;1142;1178;1266;1268;1269;1270;1307;1383;1389;1398;1407;1420;1432;1446;1503;1517;1625;1627;1630;1677;1694;1737;1747;1748;1803;1863;1874;1911;1954;1979;2007;2016;2017;2020;2032;2046;2100;2121;2156;2168;2197;2217;2253;2270;2272;2360;2379;2387;2426;2446;2460;2471;2475;2489;2493;2510;2566;2578;2605;2616;2631;2684;2695;2699;2743;2765;2782;2823;2840;2854;2855;2861;2884;2908;2932;2982;2995;3007;3046;3068;3101;3118;3135;3146;3172;3174;3192;3210;3212;3227;3262;3306;3332;3376;3378;3408;3479;3492;3532;3573;3583;3609;3610;3663;3675;3694;3697;3750;3773;3781;3827;3840;3850;3870;3879;3906;3914;3938;3974;3983;4039;4070;4089;4114;4146;4147;4269;4342;4357;4417;4440;4446;4471;4472;4492;4521;4524;4532;4581;4588;4605;4610;4621;4635;4676;4698;4718;4761;4781;4799;4833;4837;4862;4883;4939;4958;4960;4975;4976;4978;4982;4996;5014;5015;5024;5025;5037;5042;5056;5073;5112;5223;5282;5289;5293;5301;5303;5319;5328;5333;5339;5342;5359;5371;5420;5425;5456;5466;5482;5489;5499;5503;5529;5539;5541;5550;5554;5587;5590;5633;5645;5652;5680;5706;5714;5737;5749;5767;5776;5823;5834;5849;5864;5877;5884;5886;5906;5936;5949;5964;5967;5972;5990;5991;6033;6046;6053;6140;6165;6268;6272;6310;6313;6315;6333;6351;6385;6421;6434;6455;6473;6477;6522;6557;6583;6588;6621;6638;6670;6713;6732;6752;6768;6776;6787;6796;6816;6831;6860;6891;6901;6921;6925;6962;6964;6971;6983;6987;6991;7043;7052;7057;7085;7093;7096;7114;7154;7202;7244;7246;7257;7266;7273;7314;7330;7356;7369;7400;7422;7438;7449;7452;7466;7467;7474;7478;7483;7497;7518;7609;7616;7690;7691;7705;7731;7757;7785;7807;7839;7854;7883;7885;7893;7930;7945;7950;7972;7980;7995;8009;8018;8028;8059;8076;8077;8092;8104;8118;8124;8145;8152;8164;8186;8236;8250;8264;8280;8304;8326;8365;8384;8388;8396;8414;8424;8478;8502;8527;8571;8578;8599;8613;8616;8623;8650;8658;8683;8703;8706;8708;8724;8780;8798;8814;8860;8868;8871;8889;8914;8922;8955;8959;8979;8989;8994;8998;9001;9002;9021;9023;9026;9056;9069;9096;9188;9190;9220;9229;9262;9273;9305;9323;9352;9412;9416;9425;9428;9430;9461;9465;9483;9492;9496;9514;9534;9544;9560;9566;9570;9574;9596;9615;9632;9647;9651;9656;9671;9686;9710;9718;9721;9736;9744;9821;9836;9843;9870;9904;9967;9982;9992;9995;9998;10005;10052;10070;10086;10089;10105;10138;10177;10190;10201;10254;10258;10324;10356;10363;10368;10382;10397;10404;10413;10425;10428;10443;10447;10451;10492;10498;10504;10511;10524;10526;10527;10528;10534;10555;10560;10624;10653;10686;10688;10708;10714;10718;10723;10761;10779;10793;10822;10858;10871;10885;10889;10899;10911;10914;10942;10962;10996;11020;11026;11064;11075;11078;11082;11108;11114;11120;11158;11172;11177;11179;11197;11217;11220;11231;11275;11276;11282;11287;11317;11321;11325;11326;11365;11370;11371;11379;11385;11392;11418;11428;11431;11454;11458;11489;11534;11543;11544;11547;11554;11598;11617;11631;11654;11661;11662;11671;11674;11691;11703;11736;11768;11769;11787;11795;11798;11801;11802;11831;11834;11839;11879;11880;11890;11902;11904;11929;11955;11970;11996;12021;12047;12064;12068;12076;12083;12088;12095;12129;12162;12165;12184;12197;12210;12250;12270;12277;12278;12283;12306;12307;12312;12360;12395;12400;12416;12428;12437;12460;12462;12474;12481;12501;12522;12547;12562;12579;12603;12611;12613;12628;12654;12666;12692;12707;12745;12755;12761;12786;12787;12797;12813;12815;12821;12846;12850;12871;12882;12886;12890;12892;12898;12899;12900;12906;12934;12937;12942;12950;12960;12968;12975;12977;12979;12985;13031;13042;13062;13065;13073;13085;13090;13098;13101;13105;13110;13112;13166;13180;13191;13208;13212;13219;13231;13258;13328;13346;13351;13390;13428;13454;13483;13497;13500;13515;13528;13538;13564;13572;13578;13611;13622;13674;13689;13704;13714;13760;13783;13799;13802;13830;13833;13834;13843;13866;13936;13946;13952;13957;13960;13988;13991;13996;14010;14035;14055;14079;14095;14099;14111;14129;14137;14138;14145;14194;14196;14211;14279;14309;14314;14315;14340;14343;14397;14419;14499;14511;14514;14520;14522;14528;14532;14555;14568;14581;14591;14594;14613;14630;14631;14635;14642;14663;14701;14706;14791;14793;14804;14827;14834;14838;14845;14862;14865;14884;14899;14944;14947;14953;14978;14980;15003;15013;15014;15024;15047;15051;15054;15068;15072;15144;15178;15191;15195;15200;15222;15225;15245;15251;15285;15319;15324;15342;15354;15384;15387;15397;15409;15430;15454;15455;15462;15472;15479;15509;15535;15537;15542;15577;15579;15582;15600;15662;15672;15677;15686;15712;15733;15738;15806;15808;15820;15832;15837;15847;15873;15875;15884;15905;15907;15916;15926;15932;15987;15998;16046;16092;16098;16112;16118;16119;16131;16161;16166;16180;16191;16227;16262;16275;16308;16311;16323;16349;16367;16393;16394;16419;16449;16450;16473;16504;16518;16566;16571;16585;16612;16626;16697;16725;16748;16754;16781;16799;16803;16832;16836;16850;16887;16898;16932;16971;16974;16995;17002;17009;17011;17016;17024;17026;17032;17040;17049;17074;17077;17078;17106;17108;17123;17124;17128;17143;17182;17196;17203;17214;17217;17245;17260;17313;17317;17334;17407;17414;17417;17435;17501;17510;17514;17519;17520;17539;17542;17575;17587;17593;17597;17624;17627;17676;17688;17693;17697;17701;17725;17733;17760;17796;17819;17826;17829;17831;17844;17851;17867;17899;17902;17927;17931;17947;17956;17961;17964;17969;17997;18004;18013;18017;18025;18043;18063;18091;18104;18109;18126;18128;18136;18142;18154;18178;18196;18205;18211;18235;18257;18275;18304	BRDN0003511707;BRDN0003510927;BRDN0003510946;BRDN0003511168;BRDN0003511057;BRDN0003511785;BRDN0003510891;BRDN0003510849;BRDN0003511588;BRDN0003511763;BRDN0003511138;BRDN0003511164;BRDN0003511021;BRDN0003511774;BRDN0003510900;BRDN0003511184;BRDN0003511291;BRDN0003510974;BRDN0003511082;BRDN0003511279;BRDN0003510863;BRDN0003511121;BRDN0003510868;BRDN0003511228;BRDN0003511137;BRDN0003511780;BRDN0003511400;BRDN0003511478;BRDN0003511627;BRDN0003511016;BRDN0003510846;BRDN0003511187;BRDN0003510978;BRDN0003510931;BRDN0003510975;BRDN0003511723;BRDN0003511207;BRDN0003511148;BRDN0003511515;BRDN0003511798;BRDN0003511172;BRDN0003510858;BRDN0003511117;BRDN0003511107;BRDN0003510928;BRDN0003511073;BRDN0003510925;BRDN0003511230;BRDN0003511530;BRDN0003511109;BRDN0003511103;BRDN0003511006;BRDN0003511611;BRDN0003511186;BRDN0003510996;BRDN0003511491;BRDN0003510895;BRDN0003511026;BRDN0003511747;BRDN0003511064;BRDN0003511800;BRDN0003511210;BRDN0003511618;BRDN0003511632;BRDN0003511799;BRDN0003511319;BRDN0003511020;BRDN0003511386;BRDN0003511350;BRDN0003510887;BRDN0003510878;BRDN0003511301;BRDN0003510924;BRDN0003511637;BRDN0003511080;BRDN0003511696;BRDN0003511498;BRDN0003510882;BRDN0003511053;BRDN0003511167;BRDN0003511076;BRDN0003510961;BRDN0003511224;BRDN0003511529;BRDN0003511236;BRDN0003511777;BRDN0003510855;BRDN0003511161;BRDN0003511524;BRDN0003511790;BRDN0003510932;BRDN0003511058;BRDN0003511570;BRDN0003511351;BRDN0003511339;BRDN0003511533;BRDN0003511621;BRDN0003511229;BRDN0003511481;BRDN0003511708;BRDN0003511181;BRDN0003511306;BRDN0003511600;BRDN0003511226;BRDN0003511407;BRDN0003510873;BRDN0003511563;BRDN0003511239;BRDN0003511114;BRDN0003511357;BRDN0003510911;BRDN0003511106;BRDN0003511746;BRDN0003511797;BRDN0003511625;BRDN0003511225;BRDN0003511024;BRDN0003511714;BRDN0003511366;BRDN0003511018;BRDN0003510870;BRDN0003511457;BRDN0003511179;BRDN0003511520;BRDN0003510837;BRDN0003511019;BRDN0003511284;BRDN0003511002;BRDN0003511044;BRDN0003511500;BRDN0003511090;BRDN0003511404;BRDN0003511436;BRDN0003511474;BRDN0003511737;BRDN0003511252;BRDN0003511571;BRDN0003511521;BRDN0003510883;BRDN0003511086;BRDN0003511576;BRDN0003511036;BRDN0003511318;BRDN0003510958;BRDN0003511124;BRDN0003511303;BRDN0003510938;BRDN0003511122;BRDN0003511416;BRDN0003511041;BRDN0003510912;BRDN0003511805;BRDN0003511308;BRDN0003511516;BRDN0003511528;BRDN0003511512;BRDN0003511568;BRDN0003511636;BRDN0003511508;BRDN0003511079;BRDN0003511656;BRDN0003511470;BRDN0003511754;BRDN0003511022;BRDN0003511033;BRDN0003511795;BRDN0003511598;BRDN0003511125;BRDN0003511292;BRDN0003510906;BRDN0003511617;BRDN0003510853;BRDN0003511731;BRDN0003511597;BRDN0003511730;BRDN0003511601;BRDN0003511285;BRDN0003511677;BRDN0003510921;BRDN0003510847;BRDN0003511435;BRDN0003511105;BRDN0003511643;BRDN0003511773;BRDN0003511047;BRDN0003511760;BRDN0003511564;BRDN0003511471;BRDN0003511683;BRDN0003511040;BRDN0003511025;BRDN0003511448;BRDN0003511097;BRDN0003511031;BRDN0003510897;BRDN0003510926;BRDN0003511238;BRDN0003511214;BRDN0003511213;BRDN0003511345;BRDN0003511710;BRDN0003511204;BRDN0003511346;BRDN0003511358;BRDN0003511056;BRDN0003511264;BRDN0003510876;BRDN0003511100;BRDN0003510902;BRDN0003510990;BRDN0003511622;BRDN0003511804;BRDN0003511527;BRDN0003510995;BRDN0003511185;BRDN0003511223;BRDN0003511012;BRDN0003511098;BRDN0003510948;BRDN0003511081;BRDN0003511567;BRDN0003511666;BRDN0003510871;BRDN0003510893;BRDN0003511055;BRDN0003510832;BRDN0003511265;BRDN0003510930;BRDN0003511526;BRDN0003511565;BRDN0003510886;BRDN0003511088;BRDN0003511510;BRDN0003511297;BRDN0003511488;BRDN0003511821;BRDN0003510955;BRDN0003511660;BRDN0003510828;BRDN0003511359;BRDN0003510977;BRDN0003511335;BRDN0003511257;BRDN0003510919;BRDN0003511374;BRDN0003510856;BRDN0003511050;BRDN0003511674;BRDN0003511447;BRDN0003511451;BRDN0003511745;BRDN0003511126;BRDN0003511703;BRDN0003511517;BRDN0003510994;BRDN0003511813;BRDN0003511324;BRDN0003510848;BRDN0003511072;BRDN0003510850;BRDN0003511788;BRDN0003510981;BRDN0003511536;BRDN0003511402;BRDN0003510899;BRDN0003511479;BRDN0003511005;BRDN0003511477;BRDN0003511685;BRDN0003511460;BRDN0003511276;BRDN0003511613;BRDN0003510939;BRDN0003510866;BRDN0003511604;BRDN0003511557;BRDN0003510879;BRDN0003511469;BRDN0003510827;BRDN0003511514;BRDN0003511786;BRDN0003510892;BRDN0003511591;BRDN0003511027;BRDN0003511401;BRDN0003511269;BRDN0003511023;BRDN0003510952;BRDN0003511430;BRDN0003511505;BRDN0003511434;BRDN0003511403;BRDN0003511412;BRDN0003511084;BRDN0003511585;BRDN0003511486;BRDN0003511811;BRDN0003511310;BRDN0003511384;BRDN0003511170;BRDN0003511583;BRDN0003511385;BRDN0003511367;BRDN0003511174;BRDN0003511173;BRDN0003510942;BRDN0003511380;BRDN0003510953;BRDN0003511765;BRDN0003511594;BRDN0003511130;BRDN0003510991;BRDN0003511793;BRDN0003511250;BRDN0003511322;BRDN0003511497;BRDN0003511376;BRDN0003511595;BRDN0003510864;BRDN0003511427;BRDN0003510829;BRDN0003511733;BRDN0003511672;BRDN0003511195;BRDN0003511408;BRDN0003511739;BRDN0003510877;BRDN0003510993;BRDN0003511426;BRDN0003511782;BRDN0003511449;BRDN0003511554;BRDN0003511298;BRDN0003511280;BRDN0003511147;BRDN0003511647;BRDN0003511323;BRDN0003511573;BRDN0003511192;BRDN0003511352;BRDN0003510987;BRDN0003511237;BRDN0003511069;BRDN0003511203;BRDN0003510960;BRDN0003511042;BRDN0003510913;BRDN0003510982;BRDN0003510920;BRDN0003510992;BRDN0003511001;BRDN0003511190;BRDN0003511227;BRDN0003510888;BRDN0003511552;BRDN0003511309;BRDN0003511540;BRDN0003511248;BRDN0003511135;BRDN0003511347;BRDN0003511762;BRDN0003511628;BRDN0003511439;BRDN0003511165;BRDN0003511764;BRDN0003511492;BRDN0003510823;BRDN0003511353;BRDN0003511043;BRDN0003510841;BRDN0003510970;BRDN0003511320;BRDN0003510859;BRDN0003511752;BRDN0003511246;BRDN0003511154;BRDN0003511188;BRDN0003511139;BRDN0003510865;BRDN0003511202;BRDN0003511051;BRDN0003511394;BRDN0003511371;BRDN0003511396;BRDN0003511258;BRDN0003511724;BRDN0003511544;BRDN0003511815;BRDN0003511410;BRDN0003511340;BRDN0003511608;BRDN0003510904;BRDN0003511655;BRDN0003511789;BRDN0003511198;BRDN0003511272;BRDN0003511432;BRDN0003511578;BRDN0003511681;BRDN0003511096;BRDN0003510966;BRDN0003511506;BRDN0003511176;BRDN0003511575;BRDN0003511406;BRDN0003511623;BRDN0003511169;BRDN0003510851;BRDN0003511692;BRDN0003511158;BRDN0003510929;BRDN0003511266;BRDN0003511274;BRDN0003511482;BRDN0003511156;BRDN0003511091;BRDN0003511778;BRDN0003511030;BRDN0003511691;BRDN0003511209;BRDN0003511261;BRDN0003511333;BRDN0003511029;BRDN0003511294;BRDN0003510998;BRDN0003510972;BRDN0003510894;BRDN0003511590;BRDN0003511756;BRDN0003511653;BRDN0003511450;BRDN0003511559;BRDN0003510860;BRDN0003510867;BRDN0003511034;BRDN0003511502;BRDN0003511466;BRDN0003510964;BRDN0003511132;BRDN0003511205;BRDN0003510889;BRDN0003511302;BRDN0003511399;BRDN0003511218;BRDN0003510976;BRDN0003511709;BRDN0003510838;BRDN0003511577;BRDN0003511144;BRDN0003511314;BRDN0003511217;BRDN0003511193;BRDN0003511538;BRDN0003511244;BRDN0003511108;BRDN0003510984;BRDN0003511445;BRDN0003511330;BRDN0003510979;BRDN0003511115;BRDN0003511328;BRDN0003511049;BRDN0003511519;BRDN0003510940;BRDN0003510986;BRDN0003511686;BRDN0003511232;BRDN0003511569;BRDN0003511440;BRDN0003511287;BRDN0003511143;BRDN0003511052;BRDN0003511579;BRDN0003511693;BRDN0003511671;BRDN0003511766;BRDN0003511732;BRDN0003511277;BRDN0003511609;BRDN0003511368;BRDN0003511606;BRDN0003511118;BRDN0003511153;BRDN0003511560;BRDN0003511556;BRDN0003511670;BRDN0003511191;BRDN0003511075;BRDN0003511083;BRDN0003511101;BRDN0003510971;BRDN0003511735;BRDN0003511817;BRDN0003511094;BRDN0003511066;BRDN0003511431;BRDN0003510875;BRDN0003511113;BRDN0003511546;BRDN0003510901;BRDN0003511180;BRDN0003510997;BRDN0003511370;BRDN0003511639;BRDN0003511807;BRDN0003510999;BRDN0003510988;BRDN0003511633;BRDN0003511444;BRDN0003511615;BRDN0003511473;BRDN0003510839;BRDN0003510909;BRDN0003511784;BRDN0003511619;BRDN0003511220;BRDN0003511405;BRDN0003511382;BRDN0003511547;BRDN0003510903;BRDN0003510923;BRDN0003511070;BRDN0003511189;BRDN0003511699;BRDN0003511315;BRDN0003510944;BRDN0003511661;BRDN0003511770;BRDN0003511212;BRDN0003511233;BRDN0003511312;BRDN0003510945;BRDN0003511010;BRDN0003511295;BRDN0003511792;BRDN0003511099;BRDN0003511593;BRDN0003511361;BRDN0003511669;BRDN0003511612;BRDN0003511077;BRDN0003511313;BRDN0003511716;BRDN0003511537;BRDN0003510943;BRDN0003511650;BRDN0003511743;BRDN0003511772;BRDN0003511349;BRDN0003511725;BRDN0003510967;BRDN0003511641;BRDN0003511008;BRDN0003511150;BRDN0003511748;BRDN0003510941;BRDN0003511377;BRDN0003511644;BRDN0003511809;BRDN0003511372;BRDN0003511392;BRDN0003510905;BRDN0003511270;BRDN0003511783;BRDN0003510843;BRDN0003510916;BRDN0003511216;BRDN0003511009;BRDN0003511499;BRDN0003511338;BRDN0003511761;BRDN0003510989;BRDN0003511356;BRDN0003511329;BRDN0003511048;BRDN0003510884;BRDN0003511646;BRDN0003511794;BRDN0003511663;BRDN0003511136;BRDN0003510835;BRDN0003511155;BRDN0003510973;BRDN0003510896;BRDN0003511206;BRDN0003511273;BRDN0003511586;BRDN0003511532;BRDN0003511562;BRDN0003511060;BRDN0003511095;BRDN0003511493;BRDN0003511111;BRDN0003511582;BRDN0003511535;BRDN0003511458;BRDN0003511475;BRDN0003511321;BRDN0003511110;BRDN0003511518;BRDN0003511424;BRDN0003511741;BRDN0003511326;BRDN0003511290;BRDN0003510890;BRDN0003511463;BRDN0003511472;BRDN0003511160;BRDN0003511271;BRDN0003510922;BRDN0003511654;BRDN0003511649;BRDN0003511364;BRDN0003511734;BRDN0003511425;BRDN0003511208;BRDN0003511727;BRDN0003511726;BRDN0003510957;BRDN0003511065;BRDN0003511523;BRDN0003511587;BRDN0003511221;BRDN0003511657;BRDN0003511307;BRDN0003511085;BRDN0003511718;BRDN0003510862;BRDN0003511362;BRDN0003510954;BRDN0003511652;BRDN0003511442;BRDN0003511151;BRDN0003510861;BRDN0003511004;BRDN0003511068;BRDN0003510831;BRDN0003511253;BRDN0003510910;BRDN0003511200;BRDN0003511262;BRDN0003511620;BRDN0003511626;BRDN0003511819;BRDN0003511456;BRDN0003511420;BRDN0003511331;BRDN0003511776;BRDN0003511231;BRDN0003510963;BRDN0003511234;BRDN0003511572;BRDN0003511701;BRDN0003511375;BRDN0003511293;BRDN0003511241;BRDN0003511175;BRDN0003511820;BRDN0003511705;BRDN0003511242;BRDN0003511275;BRDN0003511728;BRDN0003511363;BRDN0003511337;BRDN0003511281;BRDN0003511453;BRDN0003511089;BRDN0003511769;BRDN0003511183;BRDN0003510840;BRDN0003511462;BRDN0003510934;BRDN0003510898;BRDN0003511507;BRDN0003511104;BRDN0003511134;BRDN0003511658;BRDN0003511629;BRDN0003511017;BRDN0003511421;BRDN0003511634;BRDN0003511267;BRDN0003511178;BRDN0003511461;BRDN0003511721;BRDN0003511638;BRDN0003511531;BRDN0003511157;BRDN0003510917;BRDN0003511816;BRDN0003511387;BRDN0003511074;BRDN0003511687;BRDN0003511446;BRDN0003511791;BRDN0003511197;BRDN0003511373;BRDN0003511802;BRDN0003511000;BRDN0003511263;BRDN0003511758;BRDN0003511045;BRDN0003511468;BRDN0003510845;BRDN0003511673;BRDN0003510949;BRDN0003511296;BRDN0003511690;BRDN0003510915;BRDN0003511360;BRDN0003510885;BRDN0003511243;BRDN0003511610;BRDN0003510824;BRDN0003511288;BRDN0003511781;BRDN0003511215;BRDN0003511801;BRDN0003511437;BRDN0003510844;BRDN0003511720;BRDN0003511219;BRDN0003511259;BRDN0003511438;BRDN0003510852;BRDN0003511334;BRDN0003511166;BRDN0003511260;BRDN0003511251;BRDN0003510950;BRDN0003511078;BRDN0003511255;BRDN0003510918;BRDN0003511332;BRDN0003510854;BRDN0003511711;BRDN0003511061;BRDN0003511443;BRDN0003511163;BRDN0003511539;BRDN0003511428;BRDN0003511635;BRDN0003511119;BRDN0003511256;BRDN0003511755;BRDN0003511289;BRDN0003511039;BRDN0003511787;BRDN0003511133;BRDN0003511501;BRDN0003511607;BRDN0003511140;BRDN0003511141;BRDN0003511688;BRDN0003511344;BRDN0003511201;BRDN0003511071;BRDN0003511525;BRDN0003510874;BRDN0003511222;BRDN0003511054;BRDN0003511513;BRDN0003511476;BRDN0003511452;BRDN0003511015;BRDN0003511487;BRDN0003510830;BRDN0003511719;BRDN0003511648;BRDN0003511713;BRDN0003511767;BRDN0003511494;BRDN0003511409;BRDN0003511490;BRDN0003511631;BRDN0003511454;BRDN0003511336;BRDN0003511483;BRDN0003510968;BRDN0003510907;BRDN0003511378;BRDN0003510935;BRDN0003511171;BRDN0003511694;BRDN0003511159;BRDN0003511664;BRDN0003511684;BRDN0003511549;BRDN0003510825;BRDN0003511381;BRDN0003511542;BRDN0003510872;BRDN0003511682;BRDN0003511814;BRDN0003511032;BRDN0003511675;BRDN0003511645;BRDN0003511704;BRDN0003511771;BRDN0003511702;BRDN0003511369;BRDN0003510857;BRDN0003511614;BRDN0003511152;BRDN0003511522;BRDN0003511028;BRDN0003511812;BRDN0003510983;BRDN0003510842;BRDN0003511283;BRDN0003511299;BRDN0003511129;BRDN0003511422;BRDN0003511736;BRDN0003511037;BRDN0003511715;BRDN0003511665;BRDN0003511503;BRDN0003511624;BRDN0003511162;BRDN0003510980;BRDN0003511695;BRDN0003511063;BRDN0003511616;BRDN0003511603;BRDN0003511642;BRDN0003511543;BRDN0003511316;BRDN0003511127;BRDN0003511327;BRDN0003511003;BRDN0003511145;BRDN0003511249;BRDN0003511596;BRDN0003511806;BRDN0003511818;BRDN0003511199;BRDN0003511504;BRDN0003510956;BRDN0003511742;BRDN0003511128;BRDN0003511553;BRDN0003511062;BRDN0003511750;BRDN0003510833;BRDN0003511196;BRDN0003511059;BRDN0003511278;BRDN0003511393;BRDN0003511286;BRDN0003511282;BRDN0003511013;BRDN0003510985;BRDN0003511749;BRDN0003510969;BRDN0003511046;BRDN0003511011;BRDN0003511177;BRDN0003511740;BRDN0003511348;BRDN0003511388;BRDN0003511240;BRDN0003510826;BRDN0003511757;BRDN0003511599;BRDN0003511390;BRDN0003511268;BRDN0003511679;BRDN0003511035;BRDN0003511441;BRDN0003511768;BRDN0003510937;BRDN0003511558;BRDN0003511589;BRDN0003511411;BRDN0003510962;BRDN0003511194;BRDN0003511651;BRDN0003511700;BRDN0003511566;BRDN0003511698;BRDN0003510936;BRDN0003511395;BRDN0003510880;BRDN0003511550;BRDN0003511630;BRDN0003511712;BRDN0003511738;BRDN0003510869;BRDN0003511667;BRDN0003511414;BRDN0003511689;BRDN0003511211;BRDN0003511697;BRDN0003510959;BRDN0003511245;BRDN0003510933;BRDN0003511087;BRDN0003511379;BRDN0003511093;BRDN0003511149;BRDN0003511561;BRDN0003511548;BRDN0003511480;BRDN0003511584;BRDN0003511592;BRDN0003511810;BRDN0003511574;BRDN0003511131;BRDN0003511354;BRDN0003511398;BRDN0003510965;BRDN0003511744;BRDN0003511459;BRDN0003511355;BRDN0003511311;BRDN0003511254;BRDN0003511415;BRDN0003511722;BRDN0003511729;BRDN0003511464;BRDN0003511423;BRDN0003511803;BRDN0003511668;BRDN0003511496;BRDN0003510834;BRDN0003511413;BRDN0003511580;BRDN0003511509;BRDN0003511389;BRDN0003511759;BRDN0003511112;BRDN0003511662;BRDN0003510947;BRDN0003511717;BRDN0003511419;BRDN0003510836;BRDN0003511541;BRDN0003511418;BRDN0003511796;BRDN0003511706;BRDN0003511092;BRDN0003510951;BRDN0003511779;BRDN0003511325;BRDN0003511304;BRDN0003511038;BRDN0003511397;BRDN0003511341;BRDN0003511247;BRDN0003511659;BRDN0003511455;BRDN0003511555;BRDN0003510908;BRDN0003511465;BRDN0003511365;BRDN0003511511;BRDN0003511235;BRDN0003511123;BRDN0003511317;BRDN0003511433;BRDN0003511467;BRDN0003511067;BRDN0003511305;BRDN0003511775;BRDN0003511007;BRDN0003511014;BRDN0003511142;BRDN0003511300;BRDN0003511342;BRDN0003511146;BRDN0003511417;BRDN0003511676;BRDN0003511602;BRDN0003511383;BRDN0003510822;BRDN0003511102;BRDN0003511495;BRDN0003511343;BRDN0003511808;BRDN0003511581;BRDN0003511116;BRDN0003511753;BRDN0003511680;BRDN0003511485;BRDN0003511182;BRDN0003511545;BRDN0003511551;BRDN0003511534;BRDN0003511391;BRDN0003511484;BRDN0003510914;BRDN0003511489;BRDN0003511751;BRDN0003511120;BRDN0003511678;BRDN0003511429;BRDN0003511605;BRDN0003510881;BRDN0003511640	196	7.8291104848657636	5.794872438292466	0.0	0.0	0.0
Ndufv1	6	65;72;77;178;410;1351	BRDN0003503683;BRDN0003503680;BRDN0003503684;BRDN0003503682;BRDN0003503685;BRDN0003503681	5	7.484980870482318	5.3874323977544805	0.0	0.0	0.0
B4galt7	6	2;24;38;450;452;1893	BRDN0003496066;BRDN0003496069;BRDN0003496070;BRDN0003496071;BRDN0003496068;BRDN0003496067	5	7.274226369650469	5.5013735992037365	0.0	0.0	0.0
Ndufa1	6	7;147;231;400;487;1909	BRDN0003503469;BRDN0003503466;BRDN0003503468;BRDN0003503467;BRDN0003503464;BRDN0003503465	5	7.113124223672779	4.763955856728997	0.0	0.0	0.0
