p-value=0 means <3.586916362818826e-07, FDR=0 means <0.00024391031267168104
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Kras	4	1;2;10;408	BRDN0003510590;BRDN0003510591;BRDN0003510593;BRDN0003510592	3	9.188516916538221	6.651974401296441	0.0	0.0	0.0
Hmgcs1	6	26;49;72;174;220;12475	BRDN0003500817;BRDN0003500814;BRDN0003500816;BRDN0003500812;BRDN0003500815;BRDN0003500813	5	8.832209354094891	5.545376668369436	0.0	0.0	0.0
Rrm1	6	48;50;52;68;895;1306	BRDN0003506150;BRDN0003506146;BRDN0003506149;BRDN0003506151;BRDN0003506147;BRDN0003506148	4	8.550885983626266	5.558324560697971	0.0	0.0	0.0
Eif4a3	4	11;15;37;161	BRDN0003510556;BRDN0003510554;BRDN0003510555;BRDN0003510557	4	8.226483252311532	5.9322702369890425	0.0	0.0	0.0
Atp1a1	6	30;88;259;424;1169;1407	BRDN0003495469;BRDN0003495466;BRDN0003495470;BRDN0003495467;BRDN0003495468;BRDN0003495471	6	6.690915550049922	4.5096552618198045	3.586916362818826e-07	0.00019512825013734484	0.00016260687511445403
Slc39a7	6	3;4;119;776;954;1456	BRDN0003507991;BRDN0003507990;BRDN0003507989;BRDN0003507992;BRDN0003507993;BRDN0003507988	6	6.601711884796284	5.174797587241601	3.586916362818826e-07	0.00016260687511445403	0.00016260687511445403
Atp6v1b2	6	44;353;418;586;1784;2265	BRDN0003495742;BRDN0003495745;BRDN0003495746;BRDN0003495747;BRDN0003495744;BRDN0003495743	6	5.450270896565289	3.733835291384553	1.1836824000743817e-05	0.004599451611717614	0.004599451611717614
Pcyt1a	6	153;233;631;1307;1314;2396	BRDN0003504472;BRDN0003504477;BRDN0003504475;BRDN0003504474;BRDN0003504473;BRDN0003504476	6	5.303759252354752	3.475145871314662	1.8293273455705084e-05	0.00621971297493975	0.00621971297493975
Cyp3a41b	6	164;1050;1253;1809;2357;2854	BRDN0003510080;BRDN0003510077;BRDN0003510079;BRDN0003510078;BRDN0003510081;BRDN0003510076	6	4.847956321986626	2.7519228028651708	6.312972800404104e-05	0.019079206685665803	0.019079206685665803
Rrm2	6	17;19;354;1316;3652;15228	BRDN0003506155;BRDN0003506157;BRDN0003506153;BRDN0003506154;BRDN0003506152;BRDN0003506156	2	4.795095347291079	3.4415680828805035	7.568393527757067e-05	0.020586030395499295	0.020586030395499295
Gcnt2	6	32;114;207;5558;6312;6413	BRDN0003499701;BRDN0003499699;BRDN0003499697;BRDN0003499700;BRDN0003499696;BRDN0003499698	3	4.556186422874301	2.5765448139315508	0.00013809628000893692	0.03414744378402816	0.03300919565789755
Alg2	6	94;192;262;700;7046;17712	BRDN0003494862;BRDN0003494861;BRDN0003494865;BRDN0003494863;BRDN0003494864;BRDN0003494860	4	4.531101080062045	2.9239895286118545	0.0001456288043730769	0.03300919565789755	0.03300919565789755
Mat2a	6	91;594;619;1633;2683;3364	BRDN0003502688;BRDN0003502685;BRDN0003502684;BRDN0003502687;BRDN0003502689;BRDN0003502686	6	4.419544211903147	2.924564646455724	0.00018436750110295552	0.038575354076926215	0.038575354076926215
Abce1	6	45;268;717;914;5328;12091	BRDN0003493769;BRDN0003493770;BRDN0003493772;BRDN0003493773;BRDN0003493768;BRDN0003493771	4	4.078308990139956	2.6931660784170885	0.0004110606152996077	0.07986320525820978	0.0788318130785989
Atp6v0b	6	18;404;565;1552;2032;6928	BRDN0003495699;BRDN0003495698;BRDN0003495695;BRDN0003495694;BRDN0003495696;BRDN0003495697	5	4.050456405175067	2.9102040483361407	0.0004347342633010953	0.0788318130785989	0.0788318130785989
