p-value=0 means <3.586916362818826e-07, FDR=0 means <0.0002426548919446956
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Fdft1	6	21;90;94;123;224;867	BRDN0003498983;BRDN0003498984;BRDN0003498982;BRDN0003498986;BRDN0003498987;BRDN0003498985	5	8.793178537282056	5.910451656486361	0.0	0.0	0.0
Cpox	6	87;126;284;418;438;884	BRDN0003497400;BRDN0003497401;BRDN0003497398;BRDN0003497399;BRDN0003497402;BRDN0003497403	6	7.901966544579957	4.9208351696881225	0.0	0.0	0.0
Hmbs	6	11;51;59;142;370;2875	BRDN0003500792;BRDN0003500791;BRDN0003500790;BRDN0003500793;BRDN0003500788;BRDN0003500789	5	7.70692385401879	5.3962875798993055	0.0	0.0	0.0
B3galt6	6	145;465;598;621;649;1088	BRDN0003495931;BRDN0003495929;BRDN0003495933;BRDN0003495930;BRDN0003495928;BRDN0003495932	6	7.360906762485428	4.198952504246491	0.0	0.0	0.0
Cflar	4	6;7;331;4663	BRDN0003510536;BRDN0003510535;BRDN0003510534;BRDN0003510537	2	6.05887759743353	3.9895923408697835	2.152149818246407e-06	0.0011647434816349652	0.0011647434816349652
Supt5	4	77;217;369;668	BRDN0003510795;BRDN0003510797;BRDN0003510796;BRDN0003510794	4	5.754680906536748	3.7793112542568377	5.0216829093896465e-06	0.002264778992134749	0.002264778992134749
Dld	6	130;518;641;907;1009;13440	BRDN0003498294;BRDN0003498292;BRDN0003498296;BRDN0003498293;BRDN0003498297;BRDN0003498295	5	5.544199316072329	3.2218607540266264	8.967290909600578e-06	0.003466498457339909	0.003466498457339909
Sox9	4	8;16;590;5527	BRDN0003510788;BRDN0003510787;BRDN0003510786;BRDN0003510789	2	5.3412601762854495	3.5184694031086714	1.6858506910133464e-05	0.005702389962352691	0.005702389962352691
Uap1	6	22;678;687;814;2295;2461	BRDN0003509623;BRDN0003509622;BRDN0003509620;BRDN0003509624;BRDN0003509625;BRDN0003509621	6	5.234010452441581	3.371547907376638	2.4391031274273445e-05	0.007333570069798276	0.007182584803665974
Slc39a7	6	33;119;173;471;6900;13565	BRDN0003507990;BRDN0003507992;BRDN0003507988;BRDN0003507989;BRDN0003507991;BRDN0003507993	4	5.2082075374501136	3.3454430105215507	2.6543181092630874e-05	0.007182584803665974	0.007182584803665974
Fdps	6	10;38;129;623;2120;3308	BRDN0003498988;BRDN0003498992;BRDN0003498989;BRDN0003498993;BRDN0003498991;BRDN0003498990	3	5.166736545318834	4.166974070878612	2.941271418366309e-05	0.00723552768918118	0.00723552768918118
Slc25a3	6	231;262;378;610;2278;3648	BRDN0003507260;BRDN0003507259;BRDN0003507258;BRDN0003507261;BRDN0003507256;BRDN0003507257	4	4.765754090305052	3.3758957962255116	7.891216000510681e-05	0.017794692081151732	0.017794692081151732
Slc7a5	6	183;570;966;1348;1559;4292	BRDN0003508447;BRDN0003508444;BRDN0003508446;BRDN0003508445;BRDN0003508448;BRDN0003508449	5	4.613428713757285	2.927795013501823	0.00011621609018941381	0.02419082615788895	0.02419082615788895
Mthfd1	6	101;750;1117;1347;1622;8994	BRDN0003503160;BRDN0003503163;BRDN0003503159;BRDN0003503158;BRDN0003503161;BRDN0003503162	5	4.529038361796069	2.567610009503916	0.0001456288043730769	0.028147967473824954	0.028147967473824954
B4galt7	6	192;459;796;1287;3259;3504	BRDN0003496067;BRDN0003496069;BRDN0003496066;BRDN0003496068;BRDN0003496071;BRDN0003496070	6	4.313295549682136	2.835818201473008	0.00023637778837903856	0.0426425530235789	0.0426425530235789
