p-value=0 means <3.586916362818826e-07, FDR=0 means <4.8530978388938386e-05
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Kctd5	6	3;9;11;14;33;46	BRDN0003502068;BRDN0003502066;BRDN0003502067;BRDN0003502069;BRDN0003502070;BRDN0003502071	6	15.604133144568953	9.44381449609295	0.0	0.0	0.0
Asns	6	5;7;10;23;27;158	BRDN0003495351;BRDN0003495348;BRDN0003495349;BRDN0003495350;BRDN0003495347;BRDN0003495346	5	13.38290314047925	8.856953657717774	0.0	0.0	0.0
Pten	6	8;12;41;42;47;270	BRDN0003505887;BRDN0003505882;BRDN0003505884;BRDN0003505886;BRDN0003505885;BRDN0003505883	5	12.179707180773535	7.83158294277862	0.0	0.0	0.0
Scap	6	31;44;50;100;106;192	BRDN0003506218;BRDN0003506219;BRDN0003506222;BRDN0003506221;BRDN0003506220;BRDN0003506223	6	11.880872762437095	7.106669860736103	0.0	0.0	0.0
Sod1	6	21;22;24;52;72;8670	BRDN0003508684;BRDN0003508686;BRDN0003508688;BRDN0003508685;BRDN0003508689;BRDN0003508687	5	11.254127854765873	6.06780484951409	0.0	0.0	0.0
Igf1r	4	6;18;37;55	BRDN0003510588;BRDN0003510587;BRDN0003510589;BRDN0003510586	4	10.092335998461953	6.424899875415101	0.0	0.0	0.0
Kctd10	6	63;74;114;125;135;4644	BRDN0003501981;BRDN0003501979;BRDN0003501980;BRDN0003501978;BRDN0003501977;BRDN0003501976	5	9.890621649589592	5.267574957503265	0.0	0.0	0.0
Slc25a28	6	68;76;79;104;145;1030	BRDN0003507248;BRDN0003507249;BRDN0003507244;BRDN0003507246;BRDN0003507247;BRDN0003507245	5	9.735689078017991	6.018856535728497	0.0	0.0	0.0
Mtf1	6	16;26;34;38;451;665	BRDN0003503153;BRDN0003503157;BRDN0003503155;BRDN0003503152;BRDN0003503156;BRDN0003503154	4	9.560362474909613	6.531134184039347	0.0	0.0	0.0
Oxsm	6	57;98;111;177;179;11507	BRDN0003504280;BRDN0003504285;BRDN0003504284;BRDN0003504283;BRDN0003504281;BRDN0003504282	5	9.27907614643248	5.329677311359616	0.0	0.0	0.0
Mcat	6	60;64;89;119;198;3296	BRDN0003502725;BRDN0003502724;BRDN0003502721;BRDN0003502723;BRDN0003502722;BRDN0003502720	5	9.060469895754284	5.370106466024038	0.0	0.0	0.0
