p-value=0 means <3.586916362818826e-07, FDR=0 means <2.3007506384366552e-05
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Atp5a1	6	113;128;132;136;140;145	BRDN0003495583;BRDN0003495582;BRDN0003495581;BRDN0003495580;BRDN0003495584;BRDN0003495585	6	12.612472121248546	6.584238035647084	0.0	0.0	0.0
Rrm1	6	81;121;123;127;167;201	BRDN0003506147;BRDN0003506151;BRDN0003506150;BRDN0003506149;BRDN0003506146;BRDN0003506148	6	11.761503790135462	6.445167187070394	0.0	0.0	0.0
Oxa1l	6	220;223;251;276;287;324	BRDN0003504271;BRDN0003504273;BRDN0003504269;BRDN0003504270;BRDN0003504272;BRDN0003504268	6	10.517410073418722	5.508986598852289	0.0	0.0	0.0
Atp6v1b2	6	20;48;137;245;296;405	BRDN0003495746;BRDN0003495747;BRDN0003495745;BRDN0003495743;BRDN0003495744;BRDN0003495742	6	9.935949995370382	5.9544622201389075	0.0	0.0	0.0
Alg2	6	23;34;116;122;148;470	BRDN0003494862;BRDN0003494865;BRDN0003494861;BRDN0003494863;BRDN0003494860;BRDN0003494864	5	9.691292116925213	6.41649994109732	0.0	0.0	0.0
Rpsa	4	47;51;73;77	BRDN0003510763;BRDN0003510765;BRDN0003510762;BRDN0003510764	4	9.507823855749	5.609129796196964	0.0	0.0	0.0
Aldoa	6	31;114;118;179;291;482	BRDN0003494815;BRDN0003494816;BRDN0003494812;BRDN0003494814;BRDN0003494813;BRDN0003494817	6	9.482397905225298	5.851877521932943	0.0	0.0	0.0
Dtymk	6	88;141;191;203;321;532	BRDN0003498419;BRDN0003498421;BRDN0003498420;BRDN0003498422;BRDN0003498418;BRDN0003498423	6	9.225210340888106	5.528947869751222	0.0	0.0	0.0
Slc25a26	6	102;315;350;384;518;536	BRDN0003507237;BRDN0003507235;BRDN0003507236;BRDN0003507232;BRDN0003507233;BRDN0003507234	6	9.205691396501775	4.916600084424211	0.0	0.0	0.0
Rrm2	6	55;97;235;307;364;632	BRDN0003506153;BRDN0003506157;BRDN0003506154;BRDN0003506155;BRDN0003506152;BRDN0003506156	6	8.776377664964084	5.332215364881106	0.0	0.0	0.0
Dut	6	41;183;186;244;257;811	BRDN0003498459;BRDN0003498458;BRDN0003498454;BRDN0003498457;BRDN0003498455;BRDN0003498456	5	8.495544754520639	5.396101475766187	0.0	0.0	0.0
Hmgcs1	6	1;39;103;142;258;2256	BRDN0003500816;BRDN0003500817;BRDN0003500812;BRDN0003500814;BRDN0003500815;BRDN0003500813	5	8.487135856096344	5.7231656514166485	0.0	0.0	0.0
Ndor1	6	28;195;246;387;403;710	BRDN0003503436;BRDN0003503437;BRDN0003503434;BRDN0003503438;BRDN0003503439;BRDN0003503435	6	8.473130042343945	5.117593636206043	0.0	0.0	0.0
