p-value=0 means <3.586916362818826e-07, FDR=0 means <7.527006029053666e-05
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Rrm1	6	10;13;17;23;70;100	BRDN0003506146;BRDN0003506149;BRDN0003506150;BRDN0003506151;BRDN0003506147;BRDN0003506148	6	13.580680134658394	8.456267481827956	0.0	0.0	0.0
Hmgcs1	6	19;22;39;55;66;4941	BRDN0003500817;BRDN0003500816;BRDN0003500814;BRDN0003500812;BRDN0003500815;BRDN0003500813	5	11.44292805718174	6.229215957845303	0.0	0.0	0.0
Atp6v1b2	6	30;33;43;89;112;320	BRDN0003495742;BRDN0003495746;BRDN0003495745;BRDN0003495747;BRDN0003495744;BRDN0003495743	6	10.549780264738962	6.97506443960393	0.0	0.0	0.0
Eif4a3	4	5;18;26;52	BRDN0003510556;BRDN0003510554;BRDN0003510555;BRDN0003510557	4	10.189773381899736	6.583892825924858	0.0	0.0	0.0
Pcyt1a	6	27;108;145;229;375;393	BRDN0003504472;BRDN0003504473;BRDN0003504476;BRDN0003504474;BRDN0003504475;BRDN0003504477	6	10.014324832405832	5.7513964661956445	0.0	0.0	0.0
Kras	4	1;4;11;59	BRDN0003510591;BRDN0003510590;BRDN0003510593;BRDN0003510592	4	9.970378709870351	7.310252645303495	0.0	0.0	0.0
Abce1	6	16;37;63;64;2354;4424	BRDN0003493769;BRDN0003493770;BRDN0003493772;BRDN0003493773;BRDN0003493768;BRDN0003493771	4	8.65601163368588	4.78304194798128	0.0	0.0	0.0
Dpagt1	6	12;97;205;271;272;1966	BRDN0003498333;BRDN0003498330;BRDN0003498328;BRDN0003498329;BRDN0003498331;BRDN0003498332	5	8.372726211542826	5.118891675339495	0.0	0.0	0.0
Alg2	6	21;49;53;90;1857;3349	BRDN0003494862;BRDN0003494861;BRDN0003494865;BRDN0003494863;BRDN0003494864;BRDN0003494860	4	8.064997917644169	4.866406820935162	0.0	0.0	0.0
Oxa1l	6	168;179;191;281;546;891	BRDN0003504269;BRDN0003504270;BRDN0003504273;BRDN0003504268;BRDN0003504271;BRDN0003504272	6	7.8814139104371455	4.940980837930434	0.0	0.0	0.0
Atp6v0b	6	8;65;101;130;344;2595	BRDN0003495699;BRDN0003495695;BRDN0003495696;BRDN0003495698;BRDN0003495694;BRDN0003495697	5	7.864512423937257	5.364383988897724	0.0	0.0	0.0
Atp1a1	6	85;155;529;557;606;1280	BRDN0003495469;BRDN0003495466;BRDN0003495471;BRDN0003495470;BRDN0003495467;BRDN0003495468	6	6.937420316771184	4.401284461330077	0.0	0.0	0.0
Rrm2	6	14;25;67;175;637;3218	BRDN0003506157;BRDN0003506155;BRDN0003506153;BRDN0003506154;BRDN0003506152;BRDN0003506156	4	6.913870248477608	5.149456742391287	0.0	0.0	0.0
Pole	4	50;115;147;388	BRDN0003510640;BRDN0003510641;BRDN0003510639;BRDN0003510638	4	6.698459854062102	4.496766293962062	3.586916362818826e-07	6.989362741264119e-05	6.115692398606104e-05
Rpl17	4	41;71;204;396	BRDN0003510710;BRDN0003510711;BRDN0003510712;BRDN0003510713	4	6.663006012736879	4.507091374183749	3.586916362818826e-07	6.523405225179845e-05	6.115692398606104e-05
Atp6v0c	6	40;46;48;208;1364;1468	BRDN0003495704;BRDN0003495701;BRDN0003495700;BRDN0003495703;BRDN0003495702;BRDN0003495705	4	6.615348312963843	5.076811293984468	3.586916362818826e-07	6.115692398606104e-05	6.115692398606104e-05
Slc39a7	6	2;3;44;1019;1583;1879	BRDN0003507991;BRDN0003507990;BRDN0003507989;BRDN0003507992;BRDN0003507993;BRDN0003507988	3	6.562081239759504	5.092678137948185	7.173832726747875e-07	0.00011511891575628365	0.00011511891575628365
Alg11	6	42;60;157;237;1585;11168	BRDN0003494845;BRDN0003494843;BRDN0003494847;BRDN0003494846;BRDN0003494842;BRDN0003494844	4	6.3899984332562365	4.309642336466256	1.0760749090676924e-06	0.0001630851306631482	0.0001630851306631482
Snrpg	4	133;365;420;512	BRDN0003510783;BRDN0003510785;BRDN0003510784;BRDN0003510782	4	6.216706912535608	3.683482877543821	1.7934581818535023e-06	0.00025750283789980835	0.0002329787580998266
Mat2a	6	94;264;555;816;1727;1750	BRDN0003502688;BRDN0003502685;BRDN0003502684;BRDN0003502687;BRDN0003502686;BRDN0003502689	6	6.122451842540627	3.690174759439314	1.7934581818535023e-06	0.00024462769600481794	0.0002329787580998266
Myc	6	119;358;434;653;915;1760	BRDN0003503238;BRDN0003503239;BRDN0003503237;BRDN0003503236;BRDN0003503240;BRDN0003503241	6	6.107604127773495	3.9700890640427176	1.7934581818535023e-06	0.0002329787580998266	0.0002329787580998266
Psmc4	4	29;34;116;1552	BRDN0003510666;BRDN0003510668;BRDN0003510667;BRDN0003510669	3	5.997661431492737	4.294081866424223	2.869533091032217e-06	0.00035582210328799523	0.00032617026134732895
Dtymk	6	68;74;167;783;982;1846	BRDN0003498419;BRDN0003498422;BRDN0003498420;BRDN0003498418;BRDN0003498423;BRDN0003498421	6	5.9832899545190354	4.339924118128486	2.869533091032217e-06	0.0003403515770580824	0.00032617026134732895
Rpl10	4	142;209;409;590	BRDN0003510693;BRDN0003510690;BRDN0003510691;BRDN0003510692	4	5.970378709870353	3.7427276174950515	2.869533091032217e-06	0.00032617026134732895	0.00032617026134732895
Ran	4	9;47;138;1545	BRDN0003510686;BRDN0003510689;BRDN0003510687;BRDN0003510688	3	5.771922679072902	4.296138525840048	5.0216829093896465e-06	0.0005479660390725987	0.000526890422185191
