p-value=0 means <3.586916362818826e-07, FDR=0 means <0.00015094939693529919
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Kctd5	6	3;4;8;9;11;13	BRDN0003502068;BRDN0003502066;BRDN0003502070;BRDN0003502069;BRDN0003502067;BRDN0003502071	6	18.89702002081737	10.70445832936842	0.0	0.0	0.0
Pten	6	1;2;5;6;12;24	BRDN0003505887;BRDN0003505882;BRDN0003505886;BRDN0003505885;BRDN0003505884;BRDN0003505883	6	17.29941268438876	10.805891367810162	0.0	0.0	0.0
Control-target	1000	22;41;46;71;85;90;97;109;147;150;158;193;195;208;275;277;282;283;301;327;333;360;376;390;394;399;400;402;411;421;441;485;486;544;547;552;556;559;562;567;577;591;598;609;615;622;633;634;656;665;701;703;727;730;734;744;751;754;761;775;778;782;810;811;847;850;869;928;941;945;946;951;960;969;979;981;986;988;993;998;1002;1040;1047;1058;1066;1085;1115;1135;1139;1141;1143;1148;1150;1155;1169;1171;1173;1176;1213;1222;1232;1239;1241;1242;1248;1259;1277;1285;1287;1301;1308;1315;1317;1318;1320;1324;1329;1330;1370;1388;1397;1422;1426;1431;1475;1509;1516;1521;1536;1543;1570;1573;1577;1578;1615;1633;1646;1658;1664;1718;1732;1843;1852;1856;1871;1885;1892;1898;1916;1939;1975;2003;2017;2022;2030;2035;2064;2092;2117;2120;2127;2148;2222;2224;2225;2236;2286;2298;2313;2324;2373;2392;2416;2432;2437;2442;2461;2463;2504;2527;2558;2570;2573;2574;2588;2591;2594;2597;2604;2609;2624;2627;2638;2657;2674;2681;2702;2722;2725;2741;2746;2789;2850;2853;2873;2915;2926;2946;2960;2971;2973;3021;3028;3059;3060;3119;3143;3170;3193;3201;3203;3228;3234;3235;3255;3275;3282;3320;3345;3364;3367;3368;3374;3427;3472;3480;3491;3498;3511;3516;3527;3547;3552;3557;3587;3603;3605;3617;3618;3628;3646;3651;3658;3660;3717;3729;3749;3751;3779;3794;3821;3835;3837;3879;3916;3918;3919;3954;3980;3995;3998;4004;4016;4058;4070;4100;4138;4141;4190;4196;4214;4226;4238;4259;4261;4292;4298;4333;4361;4364;4375;4379;4383;4387;4395;4396;4402;4408;4434;4450;4457;4470;4527;4553;4556;4589;4599;4612;4641;4670;4717;4743;4771;4784;4803;4824;4872;4873;4910;4928;4930;4989;5018;5023;5031;5060;5067;5109;5132;5140;5166;5180;5183;5216;5218;5227;5230;5245;5254;5276;5284;5291;5298;5304;5312;5316;5324;5332;5349;5357;5368;5380;5398;5409;5436;5439;5450;5471;5474;5487;5489;5502;5540;5556;5571;5593;5596;5602;5612;5617;5643;5663;5666;5676;5687;5696;5710;5713;5721;5723;5727;5728;5788;5807;5838;5878;5882;5886;5893;5937;5943;5959;6017;6045;6048;6126;6163;6167;6204;6216;6233;6242;6247;6259;6286;6296;6311;6324;6328;6340;6348;6359;6382;6405;6411;6419;6445;6454;6477;6480;6504;6505;6543;6574;6577;6622;6652;6658;6671;6716;6721;6741;6750;6758;6766;6769;6770;6789;6793;6800;6806;6819;6827;6835;6841;6850;6856;6871;6880;6907;6934;6948;6954;6976;6998;7002;7009;7011;7030;7034;7069;7084;7107;7133;7158;7171;7172;7187;7192;7205;7207;7212;7233;7237;7251;7264;7285;7299;7302;7322;7387;7449;7492;7507;7521;7524;7544;7546;7563;7570;7597;7598;7638;7643;7669;7683;7687;7692;7711;7714;7732;7744;7745;7794;7796;7799;7851;7856;7858;7870;7916;7927;7933;7939;7957;7960;7985;7991;7997;8005;8016;8017;8052;8055;8063;8114;8124;8135;8147;8151;8203;8216;8217;8222;8230;8238;8242;8279;8291;8295;8350;8390;8410;8423;8444;8449;8453;8462;8464;8486;8501;8507;8508;8515;8572;8682;8722;8724;8732;8752;8780;8804;8838;8844;8893;8927;8932;8963;8983;8986;9015;9025;9031;9038;9057;9068;9091;9113;9122;9133;9139;9150;9168;9226;9281;9284;9288;9301;9309;9314;9319;9400;9402;9452;9464;9530;9569;9575;9606;9609;9634;9672;9720;9744;9759;9774;9780;9792;9814;9823;9866;9870;9874;9915;9932;9992;10001;10002;10027;10040;10043;10045;10178;10187;10219;10248;10287;10296;10297;10299;10324;10413;10429;10465;10489;10506;10613;10617;10634;10641;10682;10714;10716;10763;10785;10795;10822;10831;10832;10863;10877;10900;10902;10914;10918;10964;10976;10987;11001;11103;11114;11119;11153;11159;11166;11175;11179;11184;11187;11193;11222;11229;11263;11273;11304;11309;11324;11326;11357;11367;11380;11386;11394;11408;11426;11429;11448;11451;11492;11500;11518;11557;11581;11604;11634;11636;11691;11700;11708;11739;11741;11750;11762;11784;11786;11792;11827;11834;11845;11871;11879;11886;11919;11940;12029;12035;12091;12103;12177;12183;12185;12209;12230;12240;12251;12330;12336;12337;12401;12407;12430;12459;12469;12499;12511;12564;12575;12583;12604;12615;12650;12691;12692;12740;12756;12769;12795;12834;12858;12859;12890;12921;12959;12975;12988;12998;12999;13001;13008;13014;13016;13035;13068;13087;13088;13120;13130;13150;13155;13202;13227;13232;13246;13267;13288;13289;13295;13309;13313;13314;13344;13355;13368;13370;13406;13411;13420;13423;13458;13467;13490;13517;13524;13532;13538;13545;13546;13567;13597;13608;13628;13633;13664;13694;13696;13707;13711;13739;13793;13794;13815;13846;13884;13902;13923;13931;13941;13945;13962;14052;14107;14121;14146;14170;14198;14230;14232;14240;14291;14298;14301;14311;14334;14348;14359;14361;14378;14414;14507;14589;14595;14604;14620;14647;14671;14674;14678;14687;14692;14714;14721;14826;14834;14843;14852;14889;14902;14903;14913;14920;14924;14938;15028;15037;15058;15117;15133;15137;15183;15226;15227;15228;15245;15257;15340;15348;15360;15378;15395;15442;15446;15447;15467;15469;15477;15485;15505;15507;15511;15522;15534;15541;15555;15565;15574;15583;15675;15682;15717;15719;15729;15753;15765;15778;15783;15812;15822;15869;15896;15920;15966;15977;15978;16018;16069;16113;16136;16143;16164;16174;16175;16210;16328;16352;16357;16385;16386;16396;16406;16453;16540;16541;16561;16569;16611;16622;16655;16682;16685;16689;16695;16709;16710;16730;16779;16790;16825;16828;16865;16866;16896;16904;17047;17048;17053;17073;17080;17109;17190;17191;17195;17198;17201;17241;17242;17259;17274;17317;17319;17399;17401;17432;17449;17471;17485;17494;17518;17526;17545;17561;17570;17622;17637;17642;17674;17699;17702;17708;17727;17757;17783;17794;17812;17878;17921;17933;17973;18070;18273;18291	BRDN0003511696;BRDN0003511578;BRDN0003511758;BRDN0003510885;BRDN0003511735;BRDN0003511575;BRDN0003511554;BRDN0003511714;BRDN0003511495;BRDN0003511678;BRDN0003511405;BRDN0003511657;BRDN0003511271;BRDN0003511215;BRDN0003511794;BRDN0003511689;BRDN0003511596;BRDN0003511451;BRDN0003511196;BRDN0003510944;BRDN0003511649;BRDN0003511413;BRDN0003510876;BRDN0003511072;BRDN0003511017;BRDN0003511506;BRDN0003511104;BRDN0003511303;BRDN0003511014;BRDN0003511529;BRDN0003511365;BRDN0003511744;BRDN0003511070;BRDN0003511631;BRDN0003511175;BRDN0003511412;BRDN0003511468;BRDN0003511367;BRDN0003511491;BRDN0003511718;BRDN0003510864;BRDN0003511538;BRDN0003511440;BRDN0003511772;BRDN0003511723;BRDN0003510903;BRDN0003511724;BRDN0003511455;BRDN0003511419;BRDN0003511045;BRDN0003511544;BRDN0003511608;BRDN0003511653;BRDN0003511170;BRDN0003511050;BRDN0003511627;BRDN0003511559;BRDN0003511819;BRDN0003511364;BRDN0003511201;BRDN0003511734;BRDN0003511643;BRDN0003511712;BRDN0003511612;BRDN0003511499;BRDN0003511497;BRDN0003511802;BRDN0003511658;BRDN0003511620;BRDN0003511568;BRDN0003511647;BRDN0003511519;BRDN0003511517;BRDN0003511548;BRDN0003511757;BRDN0003511537;BRDN0003511334;BRDN0003511602;BRDN0003511322;BRDN0003511358;BRDN0003510935;BRDN0003511749;BRDN0003511127;BRDN0003511078;BRDN0003511446;BRDN0003511567;BRDN0003511263;BRDN0003511389;BRDN0003511565;BRDN0003511071;BRDN0003511607;BRDN0003511472;BRDN0003511675;BRDN0003510999;BRDN0003510895;BRDN0003511399;BRDN0003511525;BRDN0003510871;BRDN0003511504;BRDN0003511727;BRDN0003510995;BRDN0003511747;BRDN0003510981;BRDN0003511475;BRDN0003511225;BRDN0003511773;BRDN0003510854;BRDN0003511345;BRDN0003511775;BRDN0003511377;BRDN0003511778;BRDN0003510835;BRDN0003511362;BRDN0003511566;BRDN0003511818;BRDN0003511375;BRDN0003511134;BRDN0003511721;BRDN0003511308;BRDN0003510913;BRDN0003511398;BRDN0003510987;BRDN0003511581;BRDN0003511573;BRDN0003511433;BRDN0003511625;BRDN0003511074;BRDN0003511666;BRDN0003511809;BRDN0003511764;BRDN0003511512;BRDN0003511576;BRDN0003511260;BRDN0003510945;BRDN0003511435;BRDN0003511434;BRDN0003511526;BRDN0003510963;BRDN0003511704;BRDN0003511290;BRDN0003511695;BRDN0003511118;BRDN0003511092;BRDN0003511331;BRDN0003511251;BRDN0003511528;BRDN0003510993;BRDN0003510888;BRDN0003511496;BRDN0003511623;BRDN0003511420;BRDN0003511793;BRDN0003511136;BRDN0003511688;BRDN0003511677;BRDN0003511532;BRDN0003511471;BRDN0003511168;BRDN0003510890;BRDN0003511342;BRDN0003511388;BRDN0003511551;BRDN0003511340;BRDN0003511807;BRDN0003510902;BRDN0003511421;BRDN0003511080;BRDN0003511796;BRDN0003511095;BRDN0003511545;BRDN0003511784;BRDN0003511589;BRDN0003511144;BRDN0003511166;BRDN0003511487;BRDN0003511513;BRDN0003511489;BRDN0003511289;BRDN0003511518;BRDN0003511713;BRDN0003511698;BRDN0003510878;BRDN0003511811;BRDN0003511754;BRDN0003511477;BRDN0003511728;BRDN0003511037;BRDN0003511344;BRDN0003510874;BRDN0003511243;BRDN0003511465;BRDN0003511093;BRDN0003510855;BRDN0003511645;BRDN0003511128;BRDN0003511397;BRDN0003511346;BRDN0003510934;BRDN0003511269;BRDN0003511752;BRDN0003511369;BRDN0003510918;BRDN0003511360;BRDN0003511707;BRDN0003511456;BRDN0003511002;BRDN0003511609;BRDN0003510856;BRDN0003511670;BRDN0003511228;BRDN0003511553;BRDN0003511490;BRDN0003511539;BRDN0003511380;BRDN0003511357;BRDN0003511295;BRDN0003510884;BRDN0003511741;BRDN0003511054;BRDN0003511590;BRDN0003510929;BRDN0003510921;BRDN0003511460;BRDN0003511438;BRDN0003511423;BRDN0003511740;BRDN0003511467;BRDN0003511733;BRDN0003511396;BRDN0003510957;BRDN0003511328;BRDN0003511265;BRDN0003511387;BRDN0003511371;BRDN0003510967;BRDN0003510917;BRDN0003511652;BRDN0003511751;BRDN0003511087;BRDN0003510984;BRDN0003511760;BRDN0003511494;BRDN0003511690;BRDN0003510951;BRDN0003511611;BRDN0003511356;BRDN0003511313;BRDN0003511003;BRDN0003511655;BRDN0003511684;BRDN0003511234;BRDN0003511730;BRDN0003511812;BRDN0003510893;BRDN0003511238;BRDN0003511543;BRDN0003510974;BRDN0003511333;BRDN0003511293;BRDN0003511044;BRDN0003511522;BRDN0003510831;BRDN0003511193;BRDN0003511458;BRDN0003511720;BRDN0003511354;BRDN0003511013;BRDN0003511429;BRDN0003510977;BRDN0003511056;BRDN0003511769;BRDN0003511431;BRDN0003510973;BRDN0003511415;BRDN0003511190;BRDN0003511761;BRDN0003511542;BRDN0003511503;BRDN0003511282;BRDN0003511722;BRDN0003510901;BRDN0003511208;BRDN0003510879;BRDN0003511665;BRDN0003510923;BRDN0003511376;BRDN0003510886;BRDN0003510943;BRDN0003510843;BRDN0003511198;BRDN0003511432;BRDN0003511768;BRDN0003511374;BRDN0003511476;BRDN0003511055;BRDN0003511323;BRDN0003511332;BRDN0003511799;BRDN0003510894;BRDN0003511240;BRDN0003511286;BRDN0003511710;BRDN0003511061;BRDN0003511048;BRDN0003511569;BRDN0003511616;BRDN0003510936;BRDN0003511444;BRDN0003510942;BRDN0003511125;BRDN0003511786;BRDN0003511736;BRDN0003511577;BRDN0003511683;BRDN0003510826;BRDN0003511507;BRDN0003511505;BRDN0003510912;BRDN0003511498;BRDN0003511232;BRDN0003511691;BRDN0003511424;BRDN0003511279;BRDN0003511307;BRDN0003510824;BRDN0003511634;BRDN0003511552;BRDN0003511709;BRDN0003511726;BRDN0003511347;BRDN0003511697;BRDN0003511363;BRDN0003511321;BRDN0003511392;BRDN0003511680;BRDN0003511630;BRDN0003511194;BRDN0003511464;BRDN0003511748;BRDN0003511785;BRDN0003511259;BRDN0003511082;BRDN0003511510;BRDN0003511685;BRDN0003511268;BRDN0003510962;BRDN0003510833;BRDN0003511613;BRDN0003510872;BRDN0003511549;BRDN0003511527;BRDN0003511821;BRDN0003511142;BRDN0003511716;BRDN0003511668;BRDN0003511450;BRDN0003511482;BRDN0003511239;BRDN0003511792;BRDN0003510875;BRDN0003511053;BRDN0003511520;BRDN0003511416;BRDN0003511213;BRDN0003511737;BRDN0003511348;BRDN0003511585;BRDN0003511535;BRDN0003511777;BRDN0003511133;BRDN0003511687;BRDN0003511783;BRDN0003511593;BRDN0003510836;BRDN0003511028;BRDN0003511009;BRDN0003511459;BRDN0003511214;BRDN0003511182;BRDN0003510940;BRDN0003511154;BRDN0003511801;BRDN0003511766;BRDN0003511806;BRDN0003511588;BRDN0003511060;BRDN0003511361;BRDN0003511788;BRDN0003511403;BRDN0003510926;BRDN0003511694;BRDN0003510867;BRDN0003511204;BRDN0003511032;BRDN0003511221;BRDN0003510880;BRDN0003511779;BRDN0003511621;BRDN0003511753;BRDN0003511119;BRDN0003510964;BRDN0003510911;BRDN0003511560;BRDN0003511311;BRDN0003511088;BRDN0003511338;BRDN0003511443;BRDN0003511536;BRDN0003511571;BRDN0003511027;BRDN0003511288;BRDN0003510869;BRDN0003511597;BRDN0003511355;BRDN0003511445;BRDN0003511033;BRDN0003511065;BRDN0003511145;BRDN0003511430;BRDN0003511702;BRDN0003511550;BRDN0003511672;BRDN0003510861;BRDN0003511336;BRDN0003511402;BRDN0003511139;BRDN0003511426;BRDN0003511523;BRDN0003511079;BRDN0003510865;BRDN0003511725;BRDN0003511406;BRDN0003511148;BRDN0003510930;BRDN0003511442;BRDN0003511676;BRDN0003511280;BRDN0003511256;BRDN0003511469;BRDN0003511257;BRDN0003511479;BRDN0003510952;BRDN0003511264;BRDN0003511108;BRDN0003510866;BRDN0003511617;BRDN0003511330;BRDN0003510916;BRDN0003511511;BRDN0003511343;BRDN0003511015;BRDN0003510985;BRDN0003511508;BRDN0003511558;BRDN0003511483;BRDN0003511606;BRDN0003511646;BRDN0003511085;BRDN0003510979;BRDN0003511126;BRDN0003511384;BRDN0003510988;BRDN0003511165;BRDN0003511656;BRDN0003511555;BRDN0003511183;BRDN0003511386;BRDN0003511151;BRDN0003511035;BRDN0003510925;BRDN0003510955;BRDN0003510832;BRDN0003511418;BRDN0003511732;BRDN0003511320;BRDN0003511782;BRDN0003511556;BRDN0003511648;BRDN0003511368;BRDN0003510986;BRDN0003511795;BRDN0003511462;BRDN0003510834;BRDN0003511132;BRDN0003511326;BRDN0003511001;BRDN0003511789;BRDN0003511484;BRDN0003511176;BRDN0003511493;BRDN0003511705;BRDN0003511379;BRDN0003511147;BRDN0003511075;BRDN0003511378;BRDN0003510908;BRDN0003511563;BRDN0003511112;BRDN0003511810;BRDN0003511650;BRDN0003511372;BRDN0003511463;BRDN0003511574;BRDN0003511184;BRDN0003511701;BRDN0003511719;BRDN0003511651;BRDN0003511805;BRDN0003511325;BRDN0003511436;BRDN0003511605;BRDN0003511410;BRDN0003511042;BRDN0003511242;BRDN0003511031;BRDN0003511439;BRDN0003511124;BRDN0003510845;BRDN0003511453;BRDN0003511103;BRDN0003511540;BRDN0003511626;BRDN0003511052;BRDN0003511601;BRDN0003511641;BRDN0003511681;BRDN0003511644;BRDN0003511219;BRDN0003511216;BRDN0003511791;BRDN0003511674;BRDN0003510997;BRDN0003511226;BRDN0003511317;BRDN0003511755;BRDN0003511110;BRDN0003511700;BRDN0003511408;BRDN0003511509;BRDN0003511703;BRDN0003511604;BRDN0003511100;BRDN0003511353;BRDN0003510899;BRDN0003511115;BRDN0003511524;BRDN0003510982;BRDN0003511452;BRDN0003510960;BRDN0003510852;BRDN0003511020;BRDN0003511277;BRDN0003511157;BRDN0003511390;BRDN0003511756;BRDN0003511745;BRDN0003511123;BRDN0003510924;BRDN0003511141;BRDN0003511738;BRDN0003510841;BRDN0003511278;BRDN0003511324;BRDN0003511654;BRDN0003511693;BRDN0003511534;BRDN0003510848;BRDN0003511094;BRDN0003511155;BRDN0003510904;BRDN0003511486;BRDN0003511816;BRDN0003510978;BRDN0003511797;BRDN0003510887;BRDN0003511515;BRDN0003511478;BRDN0003511195;BRDN0003511064;BRDN0003511107;BRDN0003510844;BRDN0003511102;BRDN0003510860;BRDN0003511135;BRDN0003511091;BRDN0003511262;BRDN0003511051;BRDN0003511245;BRDN0003510857;BRDN0003511099;BRDN0003511247;BRDN0003511547;BRDN0003510842;BRDN0003510896;BRDN0003511729;BRDN0003511130;BRDN0003511411;BRDN0003511034;BRDN0003510968;BRDN0003511220;BRDN0003511781;BRDN0003511046;BRDN0003511800;BRDN0003511315;BRDN0003511131;BRDN0003511763;BRDN0003511393;BRDN0003511143;BRDN0003511425;BRDN0003511299;BRDN0003511370;BRDN0003511699;BRDN0003510830;BRDN0003511312;BRDN0003511679;BRDN0003511152;BRDN0003510950;BRDN0003511359;BRDN0003511043;BRDN0003511292;BRDN0003511373;BRDN0003511591;BRDN0003511301;BRDN0003511341;BRDN0003511603;BRDN0003511437;BRDN0003511780;BRDN0003510980;BRDN0003511715;BRDN0003511173;BRDN0003511349;BRDN0003511244;BRDN0003510905;BRDN0003510898;BRDN0003511417;BRDN0003511029;BRDN0003511077;BRDN0003511530;BRDN0003511717;BRDN0003511137;BRDN0003511174;BRDN0003511633;BRDN0003511771;BRDN0003511474;BRDN0003511036;BRDN0003511619;BRDN0003511595;BRDN0003511671;BRDN0003511473;BRDN0003511447;BRDN0003511466;BRDN0003511661;BRDN0003511258;BRDN0003511395;BRDN0003511335;BRDN0003511586;BRDN0003511188;BRDN0003511454;BRDN0003511673;BRDN0003511400;BRDN0003511192;BRDN0003511692;BRDN0003511086;BRDN0003511209;BRDN0003511309;BRDN0003511302;BRDN0003511006;BRDN0003511502;BRDN0003510948;BRDN0003511381;BRDN0003511274;BRDN0003511197;BRDN0003510996;BRDN0003511414;BRDN0003511580;BRDN0003511248;BRDN0003510827;BRDN0003511200;BRDN0003511223;BRDN0003511297;BRDN0003511162;BRDN0003511614;BRDN0003511246;BRDN0003511669;BRDN0003511500;BRDN0003511629;BRDN0003511394;BRDN0003511007;BRDN0003511391;BRDN0003511488;BRDN0003511159;BRDN0003510937;BRDN0003511005;BRDN0003511804;BRDN0003511305;BRDN0003511449;BRDN0003511587;BRDN0003510892;BRDN0003511040;BRDN0003511682;BRDN0003511615;BRDN0003511461;BRDN0003511304;BRDN0003511191;BRDN0003511337;BRDN0003511659;BRDN0003511068;BRDN0003511026;BRDN0003511541;BRDN0003511146;BRDN0003511579;BRDN0003511570;BRDN0003511276;BRDN0003511140;BRDN0003510965;BRDN0003511662;BRDN0003510823;BRDN0003511025;BRDN0003511156;BRDN0003511622;BRDN0003511383;BRDN0003511815;BRDN0003511181;BRDN0003510910;BRDN0003511774;BRDN0003511640;BRDN0003511385;BRDN0003511218;BRDN0003511492;BRDN0003510847;BRDN0003511428;BRDN0003511023;BRDN0003511422;BRDN0003511101;BRDN0003511706;BRDN0003511599;BRDN0003511351;BRDN0003511236;BRDN0003511062;BRDN0003511316;BRDN0003510990;BRDN0003510858;BRDN0003511592;BRDN0003511636;BRDN0003511750;BRDN0003511235;BRDN0003511231;BRDN0003511039;BRDN0003511030;BRDN0003511296;BRDN0003511765;BRDN0003511267;BRDN0003511350;BRDN0003511117;BRDN0003510851;BRDN0003511739;BRDN0003510932;BRDN0003510907;BRDN0003511287;BRDN0003511076;BRDN0003511059;BRDN0003511639;BRDN0003511561;BRDN0003511172;BRDN0003511624;BRDN0003511057;BRDN0003510971;BRDN0003511790;BRDN0003510953;BRDN0003511546;BRDN0003511516;BRDN0003511121;BRDN0003511327;BRDN0003511572;BRDN0003511177;BRDN0003511217;BRDN0003511521;BRDN0003511284;BRDN0003511628;BRDN0003511066;BRDN0003510922;BRDN0003511149;BRDN0003511582;BRDN0003511241;BRDN0003511004;BRDN0003510840;BRDN0003511199;BRDN0003511116;BRDN0003511501;BRDN0003510915;BRDN0003511253;BRDN0003510882;BRDN0003511470;BRDN0003511212;BRDN0003511742;BRDN0003510958;BRDN0003511557;BRDN0003511171;BRDN0003511762;BRDN0003510877;BRDN0003510954;BRDN0003510956;BRDN0003511178;BRDN0003510972;BRDN0003510989;BRDN0003511180;BRDN0003511401;BRDN0003511583;BRDN0003511109;BRDN0003510949;BRDN0003511202;BRDN0003511746;BRDN0003510822;BRDN0003511798;BRDN0003511049;BRDN0003511776;BRDN0003510933;BRDN0003511329;BRDN0003510870;BRDN0003511298;BRDN0003510900;BRDN0003511531;BRDN0003511229;BRDN0003511266;BRDN0003511808;BRDN0003511206;BRDN0003511252;BRDN0003511759;BRDN0003511227;BRDN0003511207;BRDN0003511382;BRDN0003511010;BRDN0003511083;BRDN0003511024;BRDN0003511300;BRDN0003511038;BRDN0003510992;BRDN0003511000;BRDN0003510883;BRDN0003510839;BRDN0003511294;BRDN0003510946;BRDN0003511096;BRDN0003511233;BRDN0003510837;BRDN0003511285;BRDN0003511663;BRDN0003511667;BRDN0003511533;BRDN0003511249;BRDN0003511660;BRDN0003510961;BRDN0003510970;BRDN0003511310;BRDN0003511122;BRDN0003511255;BRDN0003511584;BRDN0003511016;BRDN0003511457;BRDN0003511250;BRDN0003511767;BRDN0003511230;BRDN0003510859;BRDN0003510994;BRDN0003511820;BRDN0003511787;BRDN0003511610;BRDN0003511106;BRDN0003511187;BRDN0003511441;BRDN0003510928;BRDN0003510849;BRDN0003511708;BRDN0003510939;BRDN0003511185;BRDN0003511089;BRDN0003510838;BRDN0003511319;BRDN0003511598;BRDN0003510976;BRDN0003511105;BRDN0003511318;BRDN0003511205;BRDN0003510906;BRDN0003511169;BRDN0003511407;BRDN0003511427;BRDN0003510825;BRDN0003511366;BRDN0003510991;BRDN0003511011;BRDN0003511150;BRDN0003511111;BRDN0003511635;BRDN0003511564;BRDN0003511731;BRDN0003511164;BRDN0003511081;BRDN0003511562;BRDN0003510919;BRDN0003510862;BRDN0003510829;BRDN0003510998;BRDN0003511158;BRDN0003511770;BRDN0003510889;BRDN0003511448;BRDN0003511664;BRDN0003511189;BRDN0003511485;BRDN0003511814;BRDN0003511813;BRDN0003511594;BRDN0003511743;BRDN0003510914;BRDN0003511637;BRDN0003510959;BRDN0003510969;BRDN0003511163;BRDN0003511069;BRDN0003511058;BRDN0003511711;BRDN0003511067;BRDN0003510920;BRDN0003510931;BRDN0003510947;BRDN0003511272;BRDN0003510975;BRDN0003511203;BRDN0003511160;BRDN0003510891;BRDN0003511129;BRDN0003511167;BRDN0003511008;BRDN0003511153;BRDN0003511618;BRDN0003511686;BRDN0003511283;BRDN0003510850;BRDN0003511270;BRDN0003511817;BRDN0003511113;BRDN0003511224;BRDN0003511481;BRDN0003511404;BRDN0003511084;BRDN0003510941;BRDN0003511090;BRDN0003511281;BRDN0003511237;BRDN0003511179;BRDN0003511012;BRDN0003511261;BRDN0003511480;BRDN0003511600;BRDN0003511514;BRDN0003511138;BRDN0003510873;BRDN0003511803;BRDN0003510938;BRDN0003511638;BRDN0003511018;BRDN0003510828;BRDN0003511022;BRDN0003511114;BRDN0003511021;BRDN0003510846;BRDN0003511019;BRDN0003511222;BRDN0003511352;BRDN0003510868;BRDN0003511098;BRDN0003510927;BRDN0003511409;BRDN0003511063;BRDN0003511314;BRDN0003511273;BRDN0003511632;BRDN0003511047;BRDN0003510853;BRDN0003511339;BRDN0003510881;BRDN0003511210;BRDN0003511161;BRDN0003511041;BRDN0003511291;BRDN0003510897;BRDN0003511211;BRDN0003510909;BRDN0003510983;BRDN0003511186;BRDN0003511097;BRDN0003511120;BRDN0003511306;BRDN0003511642;BRDN0003510966;BRDN0003511073;BRDN0003511275;BRDN0003510863;BRDN0003511254	554	8.608024510224434	5.286656021110819	0.0	0.0	0.0
Kctd10	6	79;120;136;189;295;16562	BRDN0003501979;BRDN0003501980;BRDN0003501978;BRDN0003501981;BRDN0003501977;BRDN0003501976	5	8.19701378604977	4.975426368013063	0.0	0.0	0.0
Nfkbia	6	20;34;179;223;330;1353	BRDN0003503732;BRDN0003503731;BRDN0003503730;BRDN0003503733;BRDN0003503728;BRDN0003503729	5	7.95439724659442	5.410603632233168	0.0	0.0	0.0
Igf1r	4	7;10;36;233	BRDN0003510588;BRDN0003510587;BRDN0003510589;BRDN0003510586	4	7.584363072334853	5.917647667058636	0.0	0.0	0.0
Synj2	6	66;203;278;307;6287;7423	BRDN0003509134;BRDN0003509137;BRDN0003509135;BRDN0003509139;BRDN0003509138;BRDN0003509136	4	5.943803080385204	3.105991239235866	3.586916363818027e-06	0.0012938519740915532	0.0012938519740915532
Galnt2	6	48;148;557;1238;1880;2155	BRDN0003499524;BRDN0003499527;BRDN0003499526;BRDN0003499525;BRDN0003499523;BRDN0003499522	6	5.579996487677891	3.581464058465725	7.5325243640289585e-06	0.002377453002396721	0.002314557420328658
Foxo1	6	25;29;140;599;1006;9708	BRDN0003499123;BRDN0003499121;BRDN0003499122;BRDN0003499124;BRDN0003499125;BRDN0003499120	5	5.550590082363447	3.930883306763535	8.249907636814768e-06	0.002314557420328658	0.002314557420328658
Slc39a1	6	64;122;191;1159;4741;5458	BRDN0003507923;BRDN0003507927;BRDN0003507926;BRDN0003507924;BRDN0003507922;BRDN0003507925	3	4.659848366900405	3.110395666870478	0.00010509664946134478	0.02653690398899028	0.02653690398899028
