p-value=0 means <3.586916362818826e-07, FDR=0 means <0.00015214503572289753
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Pten	6	1;2;3;4;5;12	BRDN0003505886;BRDN0003505887;BRDN0003505882;BRDN0003505885;BRDN0003505884;BRDN0003505883	6	19.105592658372647	11.652015503611409	0.0	0.0	0.0
Kctd5	6	9;10;11;14;21;14293	BRDN0003502068;BRDN0003502070;BRDN0003502071;BRDN0003502066;BRDN0003502069;BRDN0003502067	5	13.928483235889626	8.294422318329005	0.0	0.0	0.0
Igf1r	4	6;7;8;13	BRDN0003510588;BRDN0003510589;BRDN0003510587;BRDN0003510586	4	12.598013347211582	7.754938058907903	0.0	0.0	0.0
Control-target	1000	41;57;65;68;71;73;80;86;103;117;119;143;156;161;174;198;206;211;214;224;225;233;268;272;274;282;286;315;323;337;342;350;382;391;408;412;425;444;450;457;458;465;477;520;524;539;549;557;579;600;607;608;615;624;647;667;669;671;682;709;717;720;750;760;763;766;775;801;802;841;847;886;898;919;923;939;943;996;1010;1016;1021;1028;1043;1044;1061;1099;1135;1137;1143;1150;1151;1154;1157;1168;1175;1177;1178;1181;1212;1245;1274;1301;1316;1359;1365;1376;1414;1427;1452;1471;1477;1492;1499;1502;1514;1516;1521;1539;1574;1576;1592;1594;1596;1599;1616;1619;1632;1665;1666;1667;1682;1684;1692;1700;1711;1720;1723;1737;1772;1775;1784;1794;1806;1808;1809;1820;1823;1828;1837;1838;1858;1859;1863;1884;1893;1894;1897;1927;1939;1942;1959;1965;1967;1971;1976;1980;1981;2007;2021;2037;2042;2066;2073;2078;2090;2094;2107;2140;2150;2155;2182;2185;2222;2224;2228;2254;2265;2274;2317;2321;2337;2353;2364;2374;2380;2406;2409;2422;2433;2443;2461;2465;2482;2483;2485;2498;2516;2579;2626;2648;2655;2662;2664;2668;2686;2691;2713;2716;2721;2740;2744;2752;2769;2788;2793;2820;2842;2895;2896;2909;2914;2920;2955;2959;2980;2990;2994;3005;3041;3043;3049;3055;3075;3078;3113;3137;3149;3179;3180;3181;3190;3213;3216;3217;3218;3224;3244;3250;3270;3272;3313;3343;3355;3374;3375;3396;3405;3417;3424;3447;3455;3458;3459;3473;3497;3529;3551;3555;3565;3566;3575;3580;3589;3611;3619;3658;3677;3684;3695;3711;3716;3757;3765;3776;3789;3806;3862;3867;3891;3906;3917;3927;3944;3947;3961;3966;3971;3976;3981;3990;4012;4014;4027;4029;4043;4086;4098;4112;4113;4156;4201;4207;4211;4241;4288;4292;4296;4319;4342;4364;4372;4373;4376;4384;4385;4394;4438;4440;4449;4450;4468;4492;4503;4515;4517;4535;4539;4585;4614;4697;4698;4703;4714;4738;4739;4746;4774;4791;4801;4858;4865;4879;4892;4901;4905;4918;4925;4960;4968;4969;4979;4987;5015;5059;5065;5102;5123;5206;5211;5215;5232;5239;5259;5275;5307;5317;5337;5354;5436;5442;5460;5486;5522;5530;5531;5536;5548;5568;5574;5604;5636;5654;5671;5674;5679;5680;5698;5708;5746;5769;5771;5867;5923;5924;5955;5970;5976;6004;6057;6076;6085;6095;6142;6157;6169;6171;6172;6214;6226;6246;6269;6275;6281;6290;6297;6304;6341;6376;6379;6395;6434;6435;6436;6449;6454;6456;6462;6483;6485;6505;6534;6547;6562;6565;6570;6578;6624;6645;6647;6654;6659;6679;6700;6742;6759;6786;6788;6799;6871;6874;6875;6885;6980;6985;6994;6996;6997;7024;7083;7084;7108;7118;7134;7148;7168;7217;7226;7229;7257;7261;7297;7368;7435;7451;7453;7457;7473;7487;7522;7551;7574;7579;7595;7598;7611;7614;7625;7627;7644;7646;7653;7662;7670;7673;7676;7718;7727;7732;7733;7775;7825;7832;7844;7857;7873;7936;7937;7947;7957;7961;7966;7970;7987;8014;8068;8076;8095;8109;8116;8144;8145;8146;8175;8190;8277;8278;8287;8290;8304;8319;8332;8368;8397;8404;8409;8444;8462;8508;8556;8557;8580;8617;8620;8633;8655;8664;8665;8678;8697;8721;8739;8744;8752;8762;8765;8794;8797;8811;8814;8833;8843;8883;8884;8885;8891;8905;8949;8988;9006;9007;9030;9058;9066;9067;9091;9109;9169;9182;9231;9293;9302;9304;9321;9372;9378;9382;9392;9408;9481;9490;9497;9552;9554;9555;9566;9577;9580;9582;9620;9634;9646;9670;9685;9733;9786;9790;9797;9830;9870;9878;9885;9908;9917;9944;9980;9986;9987;10015;10039;10070;10120;10122;10142;10148;10152;10164;10166;10170;10188;10259;10269;10286;10303;10331;10338;10355;10359;10363;10374;10409;10419;10428;10439;10448;10487;10497;10502;10512;10535;10546;10582;10606;10634;10648;10660;10664;10674;10688;10736;10743;10761;10797;10809;10846;10918;10931;10983;10989;11004;11033;11045;11069;11071;11072;11086;11111;11120;11133;11164;11172;11178;11193;11218;11251;11305;11332;11334;11367;11444;11467;11480;11492;11496;11506;11507;11518;11520;11616;11620;11625;11646;11649;11692;11724;11741;11744;11753;11793;11827;11842;11862;11871;11883;11888;11946;12013;12027;12108;12115;12119;12122;12168;12172;12212;12213;12238;12257;12324;12327;12336;12346;12350;12398;12404;12423;12430;12454;12463;12475;12544;12554;12575;12593;12599;12631;12650;12653;12715;12741;12754;12799;12864;12876;12925;12955;12958;12989;13010;13024;13030;13034;13036;13042;13059;13092;13124;13141;13171;13179;13180;13204;13247;13262;13263;13309;13321;13354;13391;13407;13420;13439;13457;13491;13498;13554;13568;13571;13601;13639;13678;13695;13696;13703;13761;13763;13787;13820;13867;13897;13900;13943;13956;13961;13999;14052;14053;14141;14162;14180;14190;14206;14235;14237;14243;14266;14372;14377;14381;14382;14386;14414;14425;14443;14451;14454;14457;14490;14496;14497;14501;14544;14547;14550;14563;14569;14585;14594;14602;14662;14676;14686;14696;14731;14765;14805;14806;14839;14858;14908;14945;14947;14977;15098;15188;15189;15202;15211;15221;15235;15241;15251;15255;15279;15294;15317;15319;15324;15334;15376;15403;15405;15431;15442;15449;15488;15527;15530;15543;15551;15564;15582;15610;15635;15695;15705;15790;15794;15795;15821;15825;15867;15894;15924;15988;15992;16009;16028;16045;16062;16077;16079;16083;16100;16107;16140;16197;16201;16229;16254;16285;16288;16333;16339;16340;16376;16394;16416;16419;16439;16478;16480;16500;16510;16539;16562;16592;16608;16614;16640;16672;16705;16727;16771;16816;16829;16831;16865;17013;17043;17049;17050;17055;17056;17067;17109;17110;17115;17122;17143;17176;17180;17200;17203;17209;17213;17248;17250;17302;17328;17329;17351;17363;17364;17371;17388;17436;17441;17454;17455;17492;17529;17533;17535;17542;17560;17679;17824;17947;18100;18171	BRDN0003511545;BRDN0003511678;BRDN0003511429;BRDN0003511182;BRDN0003511640;BRDN0003511489;BRDN0003511751;BRDN0003511551;BRDN0003511142;BRDN0003511014;BRDN0003511680;BRDN0003511467;BRDN0003511808;BRDN0003511775;BRDN0003511365;BRDN0003511753;BRDN0003511397;BRDN0003511779;BRDN0003511605;BRDN0003511744;BRDN0003511300;BRDN0003511305;BRDN0003511418;BRDN0003511465;BRDN0003511484;BRDN0003511102;BRDN0003511495;BRDN0003511341;BRDN0003511131;BRDN0003511675;BRDN0003511541;BRDN0003511602;BRDN0003511555;BRDN0003510834;BRDN0003511706;BRDN0003511676;BRDN0003511419;BRDN0003511796;BRDN0003511391;BRDN0003511383;BRDN0003511146;BRDN0003511534;BRDN0003511355;BRDN0003511342;BRDN0003511548;BRDN0003511247;BRDN0003511317;BRDN0003511631;BRDN0003510962;BRDN0003511093;BRDN0003511698;BRDN0003511398;BRDN0003511354;BRDN0003511668;BRDN0003511504;BRDN0003511092;BRDN0003511496;BRDN0003511757;BRDN0003511389;BRDN0003511415;BRDN0003511433;BRDN0003511455;BRDN0003511388;BRDN0003511268;BRDN0003511665;BRDN0003511343;BRDN0003511581;BRDN0003511651;BRDN0003511459;BRDN0003510936;BRDN0003511700;BRDN0003511325;BRDN0003511112;BRDN0003511740;BRDN0003511550;BRDN0003511413;BRDN0003511196;BRDN0003511712;BRDN0003511348;BRDN0003511464;BRDN0003511490;BRDN0003511511;BRDN0003511749;BRDN0003511689;BRDN0003511589;BRDN0003511667;BRDN0003511421;BRDN0003511123;BRDN0003511494;BRDN0003510951;BRDN0003511543;BRDN0003511768;BRDN0003510836;BRDN0003511704;BRDN0003511393;BRDN0003511240;BRDN0003511035;BRDN0003510852;BRDN0003511694;BRDN0003511149;BRDN0003510869;BRDN0003511074;BRDN0003510833;BRDN0003511719;BRDN0003511558;BRDN0003510908;BRDN0003511612;BRDN0003511311;BRDN0003510854;BRDN0003510935;BRDN0003511278;BRDN0003511378;BRDN0003511067;BRDN0003511630;BRDN0003511659;BRDN0003511624;BRDN0003511503;BRDN0003511697;BRDN0003511522;BRDN0003511007;BRDN0003511390;BRDN0003511592;BRDN0003511286;BRDN0003511369;BRDN0003510881;BRDN0003511194;BRDN0003511553;BRDN0003511015;BRDN0003511336;BRDN0003510826;BRDN0003511759;BRDN0003511260;BRDN0003511443;BRDN0003511332;BRDN0003511566;BRDN0003511379;BRDN0003511127;BRDN0003511758;BRDN0003511152;BRDN0003511037;BRDN0003511525;BRDN0003510956;BRDN0003511596;BRDN0003511159;BRDN0003511702;BRDN0003511750;BRDN0003511017;BRDN0003511476;BRDN0003511806;BRDN0003511243;BRDN0003510824;BRDN0003511221;BRDN0003511071;BRDN0003511013;BRDN0003511423;BRDN0003511717;BRDN0003511483;BRDN0003511417;BRDN0003511542;BRDN0003511684;BRDN0003510880;BRDN0003511485;BRDN0003511649;BRDN0003510950;BRDN0003510872;BRDN0003511652;BRDN0003511245;BRDN0003510934;BRDN0003510937;BRDN0003511507;BRDN0003511584;BRDN0003511263;BRDN0003511645;BRDN0003511128;BRDN0003511134;BRDN0003511235;BRDN0003511657;BRDN0003510857;BRDN0003511713;BRDN0003511199;BRDN0003511722;BRDN0003511578;BRDN0003511695;BRDN0003511344;BRDN0003510985;BRDN0003511046;BRDN0003511810;BRDN0003511028;BRDN0003511580;BRDN0003511687;BRDN0003511337;BRDN0003511509;BRDN0003511532;BRDN0003511003;BRDN0003511646;BRDN0003511729;BRDN0003510914;BRDN0003511738;BRDN0003511387;BRDN0003511045;BRDN0003511720;BRDN0003511721;BRDN0003511452;BRDN0003511688;BRDN0003511487;BRDN0003511282;BRDN0003511087;BRDN0003511549;BRDN0003511157;BRDN0003511616;BRDN0003511360;BRDN0003511414;BRDN0003511818;BRDN0003511518;BRDN0003511175;BRDN0003511441;BRDN0003511599;BRDN0003511288;BRDN0003511032;BRDN0003511193;BRDN0003511629;BRDN0003510963;BRDN0003510885;BRDN0003511444;BRDN0003511679;BRDN0003511259;BRDN0003511373;BRDN0003510844;BRDN0003511361;BRDN0003511658;BRDN0003511574;BRDN0003511290;BRDN0003510874;BRDN0003511513;BRDN0003511816;BRDN0003511673;BRDN0003511133;BRDN0003511251;BRDN0003511095;BRDN0003511736;BRDN0003511718;BRDN0003511201;BRDN0003511539;BRDN0003511060;BRDN0003511428;BRDN0003511547;BRDN0003511356;BRDN0003511395;BRDN0003511728;BRDN0003511607;BRDN0003510918;BRDN0003511670;BRDN0003510997;BRDN0003511614;BRDN0003511475;BRDN0003511654;BRDN0003511662;BRDN0003510923;BRDN0003511038;BRDN0003511363;BRDN0003511454;BRDN0003511364;BRDN0003510945;BRDN0003511493;BRDN0003510862;BRDN0003511735;BRDN0003511141;BRDN0003511425;BRDN0003511116;BRDN0003511784;BRDN0003511208;BRDN0003511462;BRDN0003511219;BRDN0003511070;BRDN0003511590;BRDN0003511166;BRDN0003511327;BRDN0003511442;BRDN0003511370;BRDN0003511701;BRDN0003511778;BRDN0003511271;BRDN0003511690;BRDN0003511424;BRDN0003511262;BRDN0003511078;BRDN0003511331;BRDN0003511392;BRDN0003511715;BRDN0003511501;BRDN0003511620;BRDN0003511295;BRDN0003511727;BRDN0003511499;BRDN0003511769;BRDN0003511075;BRDN0003511626;BRDN0003511586;BRDN0003511709;BRDN0003511375;BRDN0003511623;BRDN0003511009;BRDN0003511372;BRDN0003511725;BRDN0003511328;BRDN0003511432;BRDN0003510965;BRDN0003511609;BRDN0003511420;BRDN0003510967;BRDN0003510875;BRDN0003511399;BRDN0003511538;BRDN0003511004;BRDN0003511569;BRDN0003511734;BRDN0003511313;BRDN0003511120;BRDN0003511819;BRDN0003511748;BRDN0003511218;BRDN0003511061;BRDN0003511140;BRDN0003511200;BRDN0003511608;BRDN0003511368;BRDN0003511162;BRDN0003511422;BRDN0003510905;BRDN0003511197;BRDN0003511242;BRDN0003510903;BRDN0003511453;BRDN0003511814;BRDN0003511801;BRDN0003511792;BRDN0003511437;BRDN0003511334;BRDN0003510835;BRDN0003511802;BRDN0003511085;BRDN0003511438;BRDN0003511575;BRDN0003511104;BRDN0003510979;BRDN0003511572;BRDN0003510830;BRDN0003511216;BRDN0003511463;BRDN0003510980;BRDN0003511472;BRDN0003511446;BRDN0003511034;BRDN0003511682;BRDN0003511766;BRDN0003511741;BRDN0003510988;BRDN0003511781;BRDN0003511445;BRDN0003511628;BRDN0003511783;BRDN0003510929;BRDN0003511349;BRDN0003511648;BRDN0003511619;BRDN0003511554;BRDN0003511289;BRDN0003511809;BRDN0003510917;BRDN0003511641;BRDN0003511267;BRDN0003511048;BRDN0003511755;BRDN0003511052;BRDN0003510822;BRDN0003511458;BRDN0003511256;BRDN0003511362;BRDN0003511132;BRDN0003511776;BRDN0003511062;BRDN0003511170;BRDN0003511065;BRDN0003511136;BRDN0003511811;BRDN0003511234;BRDN0003510842;BRDN0003511165;BRDN0003511593;BRDN0003511296;BRDN0003511577;BRDN0003511255;BRDN0003511705;BRDN0003511726;BRDN0003511772;BRDN0003510943;BRDN0003511531;BRDN0003511544;BRDN0003511059;BRDN0003511681;BRDN0003511094;BRDN0003511145;BRDN0003511431;BRDN0003511473;BRDN0003510898;BRDN0003510861;BRDN0003511587;BRDN0003511411;BRDN0003511461;BRDN0003511559;BRDN0003510831;BRDN0003510987;BRDN0003511771;BRDN0003511426;BRDN0003511302;BRDN0003511299;BRDN0003511155;BRDN0003511119;BRDN0003510999;BRDN0003511603;BRDN0003511527;BRDN0003511101;BRDN0003510944;BRDN0003511189;BRDN0003511367;BRDN0003511807;BRDN0003511110;BRDN0003511742;BRDN0003511764;BRDN0003511277;BRDN0003511396;BRDN0003511338;BRDN0003511519;BRDN0003511241;BRDN0003511482;BRDN0003511672;BRDN0003511151;BRDN0003511451;BRDN0003511371;BRDN0003511440;BRDN0003511556;BRDN0003511761;BRDN0003511316;BRDN0003510901;BRDN0003511739;BRDN0003511287;BRDN0003511523;BRDN0003511585;BRDN0003511573;BRDN0003511733;BRDN0003511653;BRDN0003511767;BRDN0003510867;BRDN0003511460;BRDN0003511154;BRDN0003511001;BRDN0003511347;BRDN0003511293;BRDN0003511756;BRDN0003511322;BRDN0003511724;BRDN0003511244;BRDN0003511732;BRDN0003511406;BRDN0003511497;BRDN0003511560;BRDN0003511130;BRDN0003510949;BRDN0003511505;BRDN0003511345;BRDN0003511198;BRDN0003511381;BRDN0003511304;BRDN0003511346;BRDN0003511510;BRDN0003510959;BRDN0003511068;BRDN0003510984;BRDN0003511812;BRDN0003510913;BRDN0003511506;BRDN0003511211;BRDN0003511176;BRDN0003511323;BRDN0003511610;BRDN0003511055;BRDN0003511782;BRDN0003511129;BRDN0003511326;BRDN0003510888;BRDN0003511468;BRDN0003511258;BRDN0003511634;BRDN0003511692;BRDN0003511794;BRDN0003511188;BRDN0003511615;BRDN0003511329;BRDN0003511108;BRDN0003511118;BRDN0003511815;BRDN0003510845;BRDN0003510982;BRDN0003510893;BRDN0003511788;BRDN0003510879;BRDN0003511520;BRDN0003511135;BRDN0003511340;BRDN0003511209;BRDN0003511171;BRDN0003510910;BRDN0003511567;BRDN0003511000;BRDN0003511144;BRDN0003511353;BRDN0003511405;BRDN0003511752;BRDN0003511791;BRDN0003510960;BRDN0003511789;BRDN0003511644;BRDN0003510972;BRDN0003510993;BRDN0003511691;BRDN0003511639;BRDN0003511540;BRDN0003511439;BRDN0003510907;BRDN0003511027;BRDN0003511606;BRDN0003511173;BRDN0003511568;BRDN0003511051;BRDN0003511232;BRDN0003510894;BRDN0003511466;BRDN0003511793;BRDN0003511217;BRDN0003510940;BRDN0003511280;BRDN0003511204;BRDN0003510933;BRDN0003510948;BRDN0003510832;BRDN0003511156;BRDN0003511557;BRDN0003511303;BRDN0003511650;BRDN0003510953;BRDN0003511711;BRDN0003511072;BRDN0003511655;BRDN0003511403;BRDN0003511220;BRDN0003511030;BRDN0003511257;BRDN0003511011;BRDN0003511456;BRDN0003511664;BRDN0003511139;BRDN0003510920;BRDN0003511212;BRDN0003511377;BRDN0003510964;BRDN0003511597;BRDN0003511088;BRDN0003511215;BRDN0003510865;BRDN0003510871;BRDN0003511754;BRDN0003511309;BRDN0003511773;BRDN0003511435;BRDN0003511693;BRDN0003511213;BRDN0003511183;BRDN0003511143;BRDN0003511066;BRDN0003510864;BRDN0003511477;BRDN0003511565;BRDN0003511582;BRDN0003511579;BRDN0003511512;BRDN0003510855;BRDN0003511358;BRDN0003511069;BRDN0003511384;BRDN0003511321;BRDN0003511529;BRDN0003511480;BRDN0003511333;BRDN0003511307;BRDN0003511029;BRDN0003511180;BRDN0003511745;BRDN0003511765;BRDN0003511265;BRDN0003511376;BRDN0003510977;BRDN0003511591;BRDN0003511054;BRDN0003511450;BRDN0003511604;BRDN0003511320;BRDN0003510896;BRDN0003510916;BRDN0003510981;BRDN0003511661;BRDN0003510840;BRDN0003511312;BRDN0003511821;BRDN0003511760;BRDN0003511656;BRDN0003511508;BRDN0003511283;BRDN0003511357;BRDN0003511703;BRDN0003510973;BRDN0003511486;BRDN0003511202;BRDN0003511434;BRDN0003511077;BRDN0003510856;BRDN0003511264;BRDN0003510860;BRDN0003511190;BRDN0003511517;BRDN0003511737;BRDN0003511374;BRDN0003511526;BRDN0003510866;BRDN0003511666;BRDN0003511010;BRDN0003511335;BRDN0003511359;BRDN0003511031;BRDN0003511023;BRDN0003511710;BRDN0003511536;BRDN0003511777;BRDN0003511762;BRDN0003510957;BRDN0003511647;BRDN0003511635;BRDN0003511324;BRDN0003511091;BRDN0003510890;BRDN0003511002;BRDN0003511050;BRDN0003510876;BRDN0003511617;BRDN0003510989;BRDN0003511192;BRDN0003511402;BRDN0003510859;BRDN0003511502;BRDN0003510921;BRDN0003511471;BRDN0003510915;BRDN0003510912;BRDN0003511044;BRDN0003511498;BRDN0003510899;BRDN0003510995;BRDN0003511576;BRDN0003511696;BRDN0003511126;BRDN0003511795;BRDN0003511099;BRDN0003511269;BRDN0003511100;BRDN0003511685;BRDN0003510877;BRDN0003510841;BRDN0003510955;BRDN0003511583;BRDN0003511622;BRDN0003511412;BRDN0003510925;BRDN0003511714;BRDN0003511786;BRDN0003511253;BRDN0003511660;BRDN0003511669;BRDN0003511708;BRDN0003511056;BRDN0003511115;BRDN0003510968;BRDN0003511225;BRDN0003511380;BRDN0003510902;BRDN0003511125;BRDN0003511040;BRDN0003511248;BRDN0003511111;BRDN0003511674;BRDN0003510904;BRDN0003510847;BRDN0003511804;BRDN0003511683;BRDN0003510930;BRDN0003511233;BRDN0003511436;BRDN0003510851;BRDN0003511633;BRDN0003511206;BRDN0003511730;BRDN0003511488;BRDN0003511039;BRDN0003511053;BRDN0003511449;BRDN0003511086;BRDN0003510829;BRDN0003511479;BRDN0003511598;BRDN0003511447;BRDN0003510889;BRDN0003511191;BRDN0003511408;BRDN0003511089;BRDN0003511677;BRDN0003511174;BRDN0003511430;BRDN0003511492;BRDN0003511252;BRDN0003511500;BRDN0003511079;BRDN0003511699;BRDN0003510971;BRDN0003511803;BRDN0003511315;BRDN0003511308;BRDN0003511613;BRDN0003510886;BRDN0003510947;BRDN0003510954;BRDN0003511474;BRDN0003511746;BRDN0003511747;BRDN0003511595;BRDN0003510848;BRDN0003511246;BRDN0003510986;BRDN0003511083;BRDN0003510887;BRDN0003511469;BRDN0003511124;BRDN0003510878;BRDN0003511618;BRDN0003511229;BRDN0003511562;BRDN0003511535;BRDN0003511276;BRDN0003511063;BRDN0003511386;BRDN0003511385;BRDN0003511563;BRDN0003511552;BRDN0003511409;BRDN0003511160;BRDN0003511570;BRDN0003511064;BRDN0003511671;BRDN0003511516;BRDN0003511249;BRDN0003511274;BRDN0003511310;BRDN0003510839;BRDN0003511177;BRDN0003511382;BRDN0003511330;BRDN0003511292;BRDN0003511005;BRDN0003511524;BRDN0003510892;BRDN0003510827;BRDN0003511284;BRDN0003511571;BRDN0003510911;BRDN0003511723;BRDN0003510992;BRDN0003511528;BRDN0003511621;BRDN0003511601;BRDN0003510952;BRDN0003511636;BRDN0003511195;BRDN0003511238;BRDN0003511222;BRDN0003511625;BRDN0003511716;BRDN0003510895;BRDN0003511564;BRDN0003510838;BRDN0003510983;BRDN0003511427;BRDN0003511080;BRDN0003511205;BRDN0003510924;BRDN0003511178;BRDN0003511537;BRDN0003511643;BRDN0003511043;BRDN0003511820;BRDN0003511799;BRDN0003511294;BRDN0003511401;BRDN0003511239;BRDN0003511113;BRDN0003511410;BRDN0003511042;BRDN0003511787;BRDN0003511351;BRDN0003511521;BRDN0003511049;BRDN0003511231;BRDN0003511273;BRDN0003511611;BRDN0003510996;BRDN0003511407;BRDN0003511763;BRDN0003511663;BRDN0003511546;BRDN0003511805;BRDN0003511147;BRDN0003510926;BRDN0003510991;BRDN0003510922;BRDN0003511416;BRDN0003511272;BRDN0003510884;BRDN0003511020;BRDN0003511006;BRDN0003511169;BRDN0003511817;BRDN0003510942;BRDN0003511642;BRDN0003511297;BRDN0003511076;BRDN0003511561;BRDN0003510969;BRDN0003511770;BRDN0003510843;BRDN0003511266;BRDN0003511105;BRDN0003510976;BRDN0003511150;BRDN0003511638;BRDN0003511237;BRDN0003511223;BRDN0003511279;BRDN0003511022;BRDN0003511036;BRDN0003511470;BRDN0003511103;BRDN0003510978;BRDN0003510882;BRDN0003511366;BRDN0003511594;BRDN0003511352;BRDN0003510961;BRDN0003510939;BRDN0003511096;BRDN0003511163;BRDN0003511813;BRDN0003511298;BRDN0003511515;BRDN0003511319;BRDN0003510823;BRDN0003511478;BRDN0003511107;BRDN0003511185;BRDN0003511350;BRDN0003510932;BRDN0003511394;BRDN0003511686;BRDN0003511226;BRDN0003511187;BRDN0003511491;BRDN0003511448;BRDN0003510970;BRDN0003511122;BRDN0003511250;BRDN0003511168;BRDN0003510941;BRDN0003510990;BRDN0003511588;BRDN0003511203;BRDN0003511137;BRDN0003511285;BRDN0003511743;BRDN0003511016;BRDN0003511314;BRDN0003511785;BRDN0003511228;BRDN0003511281;BRDN0003511214;BRDN0003511270;BRDN0003511148;BRDN0003511025;BRDN0003510858;BRDN0003511181;BRDN0003511082;BRDN0003511084;BRDN0003511301;BRDN0003510850;BRDN0003511627;BRDN0003510828;BRDN0003511600;BRDN0003510958;BRDN0003511798;BRDN0003511780;BRDN0003511774;BRDN0003511318;BRDN0003511227;BRDN0003510825;BRDN0003510974;BRDN0003510928;BRDN0003510870;BRDN0003510998;BRDN0003511731;BRDN0003511018;BRDN0003511024;BRDN0003510994;BRDN0003511790;BRDN0003511081;BRDN0003511707;BRDN0003510919;BRDN0003511637;BRDN0003511236;BRDN0003510909;BRDN0003511481;BRDN0003511800;BRDN0003510897;BRDN0003511106;BRDN0003511164;BRDN0003511098;BRDN0003510900;BRDN0003511797;BRDN0003511530;BRDN0003511153;BRDN0003511114;BRDN0003511158;BRDN0003511457;BRDN0003511161;BRDN0003510883;BRDN0003511400;BRDN0003511026;BRDN0003511404;BRDN0003511117;BRDN0003511533;BRDN0003511008;BRDN0003511047;BRDN0003511514;BRDN0003511090;BRDN0003511224;BRDN0003511033;BRDN0003510837;BRDN0003511261;BRDN0003511306;BRDN0003510846;BRDN0003511184;BRDN0003511179;BRDN0003511073;BRDN0003510849;BRDN0003510938;BRDN0003510966;BRDN0003511210;BRDN0003511041;BRDN0003511632;BRDN0003511121;BRDN0003511167;BRDN0003511109;BRDN0003510853;BRDN0003511012;BRDN0003511172;BRDN0003511230;BRDN0003511058;BRDN0003510931;BRDN0003510946;BRDN0003510906;BRDN0003511138;BRDN0003511186;BRDN0003511207;BRDN0003510975;BRDN0003511291;BRDN0003510868;BRDN0003511097;BRDN0003510891;BRDN0003511057;BRDN0003511019;BRDN0003511021;BRDN0003511339;BRDN0003510873;BRDN0003510927;BRDN0003511275;BRDN0003510863;BRDN0003511254	347	12.288287960549207	8.41619453965318	0.0	0.0	0.0
Alg3	6	336;375;597;721;795;953	BRDN0003494870;BRDN0003494871;BRDN0003494866;BRDN0003494868;BRDN0003494867;BRDN0003494869	6	7.7061227308284375	4.114271065235228	0.0	0.0	0.0
Slc39a1	6	15;20;22;192;606;3857	BRDN0003507924;BRDN0003507923;BRDN0003507927;BRDN0003507922;BRDN0003507926;BRDN0003507925	3	7.463605688532301	5.330557811731595	0.0	0.0	0.0
Nfkbia	6	30;50;341;618;680;6261	BRDN0003503733;BRDN0003503732;BRDN0003503730;BRDN0003503729;BRDN0003503731;BRDN0003503728	5	6.3929444403138245	3.970350629735413	1.0760749090676924e-06	0.0003912300919396032	0.0003912300919396032
Glyr1	6	431;472;578;620;773;7975	BRDN0003500039;BRDN0003500040;BRDN0003500043;BRDN0003500042;BRDN0003500038;BRDN0003500041	5	6.116884371846986	3.203513408752904	1.7934581818535023e-06	0.0005705438841021483	0.0005071501192019037
Mtf1	6	16;60;62;670;5188;15320	BRDN0003503152;BRDN0003503153;BRDN0003503155;BRDN0003503157;BRDN0003503156;BRDN0003503154	3	6.116546496306214	3.7827996023908366	1.7934581818535023e-06	0.0005071501192019037	0.0005071501192019037
Kdm2a	6	38;170;858;936;1779;2079	BRDN0003502107;BRDN0003502106;BRDN0003502102;BRDN0003502105;BRDN0003502104;BRDN0003502103	6	5.67355319866958	3.6019186862178567	5.739066182175456e-06	0.0014605923433636714	0.0014605923433636714
