p-value=0 means <3.586916362818826e-07, FDR=0 means <0.00031564863992806624
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Pten	6	2;32;69;72;92;103	BRDN0003505887;BRDN0003505884;BRDN0003505882;BRDN0003505883;BRDN0003505886;BRDN0003505885	6	13.503656786427364	7.6972460896951125	0.0	0.0	0.0
Kctd10	6	26;38;45;56;70;4820	BRDN0003501977;BRDN0003501976;BRDN0003501979;BRDN0003501981;BRDN0003501980;BRDN0003501978	5	11.315252597637713	6.081060464826077	0.0	0.0	0.0
Nfkbia	6	68;104;139;165;768;1171	BRDN0003503729;BRDN0003503733;BRDN0003503730;BRDN0003503731;BRDN0003503732;BRDN0003503728	6	7.169338764224216	5.062240276960561	0.0	0.0	0.0
Kctd5	6	152;203;232;260;644;8355	BRDN0003502068;BRDN0003502066;BRDN0003502070;BRDN0003502069;BRDN0003502071;BRDN0003502067	5	6.510175356709382	3.879245898475572	1.0760749090676924e-06	0.0007102094399846464	0.0007102094399846464
Hnf4a	6	98;179;204;517;7509;10440	BRDN0003500837;BRDN0003500840;BRDN0003500836;BRDN0003500838;BRDN0003500839;BRDN0003500841	4	5.048567626179136	2.8082901341617834	3.981477163894631e-05	0.021022199425363056	0.021022199425363056
Slc9a1	6	239;675;699;1550;1586;5156	BRDN0003508502;BRDN0003508498;BRDN0003508500;BRDN0003508503;BRDN0003508499;BRDN0003508501	5	4.576842617677643	2.8293186935744425	0.00012805291419015763	0.05634328224366831	0.05634328224366831
Chst13	6	181;211;228;3968;8557;15959	BRDN0003496889;BRDN0003496893;BRDN0003496892;BRDN0003496890;BRDN0003496888;BRDN0003496891	3	4.4318025077728285	2.249759658688207	0.00017719366837520845	0.06682732635864927	0.06682732635864927
Slc44a1	6	315;951;1279;1306;3000;3520	BRDN0003508061;BRDN0003508065;BRDN0003508060;BRDN0003508062;BRDN0003508063;BRDN0003508064	6	4.3014241537896085	2.6308247804191027	0.0002403233963792495	0.07930672080515182	0.07533480875157614
Dhrsx	6	296;939;1116;1408;1825;12863	BRDN0003498250;BRDN0003498252;BRDN0003498253;BRDN0003498251;BRDN0003498255;BRDN0003498254	5	4.278283371526503	2.5210280723923835	0.00025682321165310107	0.07533480875157614	0.07533480875157614
Slc6a13	6	124;156;273;3027;17815;18101	BRDN0003508301;BRDN0003508303;BRDN0003508300;BRDN0003508304;BRDN0003508302;BRDN0003508305	3	4.200359844201417	2.6741649189996144	0.0003066813491109377	0.08096387616528762	0.08096387616528762
Kdm1a	6	127;482;724;875;15905;17593	BRDN0003502097;BRDN0003502096;BRDN0003502099;BRDN0003502100;BRDN0003502101;BRDN0003502098	4	4.152120023018235	2.6355582282036605	0.0003454200458407053	0.08290081100176956	0.08290081100176956
Dgkb	6	433;486;608;1529;1997;12814	BRDN0003498104;BRDN0003498103;BRDN0003498105;BRDN0003498102;BRDN0003498101;BRDN0003498100	5	4.08725363500485	2.6818610730961443	0.0004031693992990748	0.08869726784579697	0.08869726784579697
Pip4k2a	6	676;940;1472;1491;2085;12488	BRDN0003505147;BRDN0003505145;BRDN0003505149;BRDN0003505146;BRDN0003505144;BRDN0003505148	5	3.995958181993816	2.3161588313536003	0.0004888967003955358	0.09928363761878649	0.09928363761878649
Mtrr	6	6;334;348;6537;8038;17885	BRDN0003503207;BRDN0003503209;BRDN0003503208;BRDN0003503206;BRDN0003503210;BRDN0003503211	3	3.8895292587251578	2.2390687766156	0.0006320146633140844	0.11917990793922595	0.1174212940876654
Slc16a9	6	304;309;356;2645;2998;5305	BRDN0003506828;BRDN0003506824;BRDN0003506829;BRDN0003506825;BRDN0003506826;BRDN0003506827	3	3.860496377843465	2.6813104270422943	0.000667166443679923	0.1174212940876654	0.1174212940876654
Slc35c2	6	115;329;377;3345;5735;17711	BRDN0003507763;BRDN0003507760;BRDN0003507765;BRDN0003507761;BRDN0003507764;BRDN0003507762	3	3.787344423755031	2.287539601582853	0.000789838983324409	0.13032343224852666	0.12357644256808047
Aadacl3	6	836;1221;2817;2850;3017;4295	BRDN0003493519;BRDN0003493520;BRDN0003493521;BRDN0003493517;BRDN0003493516;BRDN0003493518	6	3.7829011256548273	2.0876285385188083	0.0008027518822343316	0.12466264524109566	0.12357644256808047
Kctd13	6	51;1917;3084;3398;3824;4336	BRDN0003501996;BRDN0003501999;BRDN0003501997;BRDN0003501998;BRDN0003501994;BRDN0003501995	6	3.7581444934764123	2.0733079371549925	0.0008425666538732779	0.12357644256808047	0.12357644256808047
Scly	6	208;383;464;8737;11672;15546	BRDN0003506246;BRDN0003506244;BRDN0003506245;BRDN0003506247;BRDN0003506243;BRDN0003506242	3	3.5231393985048123	1.9025861027674065	0.001416114580456318	0.19676539433708826	0.19676539433708826
Slc39a1	6	63;277;1237;1976;3941;4817	BRDN0003507927;BRDN0003507923;BRDN0003507924;BRDN0003507925;BRDN0003507922;BRDN0003507926	6	3.4840202567717906	2.572092631041583	0.0015517000190106156	0.20482440250940145	0.20228568559036952
St6galnac4	6	1453;1773;2400;2487;2681;6690	BRDN0003508880;BRDN0003508877;BRDN0003508881;BRDN0003508879;BRDN0003508878;BRDN0003508876	5	3.4662253247983177	1.9299199663742783	0.0016090906808324812	0.20228568559036952	0.20228568559036952
Slc35b2	6	42;93;3922;7823;15285;16131	BRDN0003507739;BRDN0003507740;BRDN0003507737;BRDN0003507736;BRDN0003507738;BRDN0003507741	2	3.4226666937645	1.7747672683091458	0.0017715779921159136	0.21258935905391038	0.21258935905391038
Stard10	6	515;1095;1197;2451;2834;12279	BRDN0003508939;BRDN0003508938;BRDN0003508937;BRDN0003508941;BRDN0003508940;BRDN0003508936	5	3.3499738623823703	2.0704157947379973	0.002080052799408816	0.23875388654083912	0.23807798673557826
Slc7a8	6	31;534;540;2430;8918;14542	BRDN0003508465;BRDN0003508463;BRDN0003508464;BRDN0003508462;BRDN0003508467;BRDN0003508466	3	3.331062469424052	2.1622771256058906	0.002164345333959816	0.23807798673557826	0.23807798673557826
Rdh9	6	691;1723;2476;2647;3965;5227	BRDN0003510265;BRDN0003510266;BRDN0003510264;BRDN0003510267;BRDN0003510263;BRDN0003510262	6	3.271165134071892	1.9204431928887973	0.0024530921012514417	0.25904652589215094	0.25904652589215094
Kcnh7	6	1438;2266;3410;5002;5405;5406	BRDN0003501662;BRDN0003501660;BRDN0003501658;BRDN0003501661;BRDN0003501659;BRDN0003501663	6	3.183423886482156	1.5168426464589704	0.002989336097650175	0.3035325883767859	0.3035325883767859
Itpkc	6	184;453;2643;2940;3091;7544	BRDN0003501417;BRDN0003501414;BRDN0003501413;BRDN0003501415;BRDN0003501416;BRDN0003501412	5	3.168735537882414	2.0650021348332426	0.0031091391042034067	0.304004712410999	0.304004712410999
Nudt1	6	2375;3782;3822;5303;5464;5645	BRDN0003504025;BRDN0003504023;BRDN0003504026;BRDN0003504027;BRDN0003504022;BRDN0003504024	6	3.0706964570924744	1.4009940793331392	0.003842663500615129	0.3623082729151403	0.35876189047312806
Gpd2	6	182;287;670;3423;6600;14974	BRDN0003500179;BRDN0003500180;BRDN0003500178;BRDN0003500177;BRDN0003500181;BRDN0003500176	3	3.059568622301799	2.0646861980841367	0.0039409450089851195	0.35876189047312806	0.35876189047312806
Sult6b1	6	340;807;1131;1707;14635;16498	BRDN0003509091;BRDN0003509087;BRDN0003509086;BRDN0003509088;BRDN0003509089;BRDN0003509090	4	3.033609180734097	2.013779524210319	0.004154725224271849	0.36561581973592305	0.3594117966273937
Man1a2	6	518;536;1052;1716;5508;10485	BRDN0003502595;BRDN0003502596;BRDN0003502599;BRDN0003502594;BRDN0003502598;BRDN0003502597	4	3.0249441892202165	1.9581326538838484	0.0042203657937307515	0.3594117966273937	0.3594117966273937
Ech1	6	96;154;6822;7923;9161;10784	BRDN0003498477;BRDN0003498474;BRDN0003498475;BRDN0003498472;BRDN0003498476;BRDN0003498473	2	2.9904076517975047	1.3809480039058293	0.004558253315207428	0.3760558985046138	0.3760558985046138
Qsox2	6	65;410;738;2389;10603;14219	BRDN0003506024;BRDN0003506025;BRDN0003506023;BRDN0003506021;BRDN0003506022;BRDN0003506020	3	2.9386469738525665	2.011196792095893	0.005106692827243298	0.40853542617946165	0.40853542617946165
Entpd2	6	503;756;1762;3461;3499;10441	BRDN0003498706;BRDN0003498710;BRDN0003498711;BRDN0003498708;BRDN0003498707;BRDN0003498709	5	2.911287484409772	1.7793162531197249	0.005429156608355301	0.4215580425311157	0.4110626172994594
Chsy1	6	39;171;1129;3666;5247;12787	BRDN0003496952;BRDN0003496951;BRDN0003496948;BRDN0003496950;BRDN0003496949;BRDN0003496953	2	2.9010813412865484	2.222880902877409	0.005569763729819099	0.42011932133492497	0.4110626172994594
Uck1	6	314;2007;2470;3783;4446;6061	BRDN0003509635;BRDN0003509637;BRDN0003509636;BRDN0003509633;BRDN0003509632;BRDN0003509634	6	2.8854144305983342	1.7574550025591475	0.005773141887650546	0.4233637384277057	0.4110626172994594
